gene	qtl_coloc_rows	max_h4	strong_h4_disease_count	strong_h4_diseases	ms_max_h4	myeloid_relevant_rows
FCGR2B	18	0.99905797562315	4	AS;Crohn;SLE;UC	0.0	0
LILRB2	2	0.995646102356686	2	Crohn;T1D	0.0	0
LAIR1	3	0.9955570639258462	2	Celiac;RA	0.0	0
LILRB4	2	0.9945836326856348	2	Psoriasis;RA	0.0	0
CD300A	3	0.9912719714101416	2	Celiac;T1D	0.0	0
CD300LF	2	0.9884335016139002	2	Crohn;RA	0.0	0
