sample_id	product_id	url
CSM67UH7	CSM67UH7	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UH7_taxonomic_profile.biom
HSM5MD5B_P	HSM5MD5B	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD5B_taxonomic_profile.biom
HSM6XRT8	HSM6XRT8	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRT8_taxonomic_profile.biom
HSM5MD6I_P	HSM5MD6I	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD6I_taxonomic_profile.biom
HSM5MD6Q	HSM5MD6Q	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM5MD6Q_taxonomic_profile.biom
HSM6XRQS	HSM6XRQS	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRQS_taxonomic_profile.biom
HSM67VEO	HSM67VEO	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM67VEO_taxonomic_profile.biom
HSM6XRUL	HSM6XRUL	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM6XRUL_taxonomic_profile.biom
HSM67VDT_P	HSM67VDT	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSM67VDT_taxonomic_profile.biom
HSMA33NY	HSMA33NY	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/HSMA33NY_taxonomic_profile.biom
CSM5FZ4M	CSM5FZ4M	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5FZ4M_taxonomic_profile.biom
CSM5MCXH	CSM5MCXH	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCXH_taxonomic_profile.biom
CSM5MCY4	CSM5MCY4	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCY4_taxonomic_profile.biom
CSM5MCUO	CSM5MCUO	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM5MCUO_taxonomic_profile.biom
CSM67UEW_TR	CSM67UEW_TR	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UEW_TR_taxonomic_profile.biom
CSM67U9H_P	CSM67U9H	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67U9H_taxonomic_profile.biom
CSM67UAK	CSM67UAK	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM67UAK_taxonomic_profile.biom
CSM79HNE	CSM79HNE	https://g-227ca.190ebd.75bc.data.globus.org/ibdmdb//products/HMP2/MGX/2018-05-04/tax_profiles/CSM79HNE_taxonomic_profile.biom
