gene	wave81_call	wave81_score	direct_perturbation	direct_perturbation_detail	foundation_model_support	foundation_model_detail	ms_expr_anchor	ms_delta_log2	ms_p	ms_genetic_anchor	strong_l2g_disease_count	positive_broad_disease_count	positive_broad_diseases	best_ibd_raw_response_p	best_ibd_raw_response_fdr	best_ibd_paired_p	best_ibd_paired_fdr	wave62_call
DAB2	PARK_PERTURBATION_FIRST_CANDIDATE	9.0	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0		1	0.5378984279794476	0.0111306912319104	0	0	0		0.0836599691107984	1.0	0.047169838467308	1.0	
CD9	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	1	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0		1	1.1100295973517351	0.0019686305906988	0	0	0		0.1780830366271985	1.0	0.1854140139866797	1.0	
PARK7	PARK_PERTURBATION_FIRST_CANDIDATE	8.0	0		1	wave57:support=2,strong=0,token_contexts=3	0	0.1710418567143854	0.4469378955677691	0	0	2	psoriasis;ulcerative colitis	0.6241174547054757	1.0	0.007300224821745	0.6155718115592173	NO_GO_WAVE62_TARGET_RESOLUTION
PSAP	PARK_PERTURBATION_FIRST_CANDIDATE	7.0	0		1	wave57:support=1,strong=0,token_contexts=6	1	0.4733416802617221	0.0222704205658317	0	0	0		0.355494913816343	1.0	0.3035476276872365	1.0	
LYN	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	0		1	wave70c:support=3,strong=1,token_contexts=6	0	0.1003572031246236	0.4510979646191576	0	0	3	Crohn disease;psoriasis;ulcerative colitis	0.0124701068861812	0.735902312729011	0.8536441932351698	1.0	
HEXA	PARK_PERTURBATION_FIRST_CANDIDATE	5.0	0		1	wave57:support=1,strong=1,token_contexts=3	0	-0.2333966796222828	0.3783657469096832	0	0	1	Crohn disease	0.2452265677169609	1.0	0.0013822504255144	0.5416990453726748	
HEXB	PARK_PERTURBATION_FIRST_CANDIDATE	5.0	0		1	wave57:support=1,strong=1,token_contexts=4	0	0.2440950857530737	0.2023278254000029	0	0	0		0.2747581303543149	1.0	0.0351922658670569	1.0	
SP140	NO_GO_PERTURBATION_FIRST_BLOCKED	8.0	0		0		0	-0.0867628128456026	0.7262224269643743	1	3	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0152328403374826	0.7417124806231342	0.6397325281783008	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
RGS14	NO_GO_NO_PERTURBATION_SUPPORT	9.0	0		0		1	-0.5035394425450566	0.0463387063426136	1	3	1	Crohn disease	0.0231153036723188	1.0	0.0287252207518441	1.0	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE
STAT4	NO_GO_PERTURBATION_FIRST_BLOCKED	7.0	0		0		0	0.8684079555977076	0.4607005214454064	1	8	2	Crohn disease;ulcerative colitis	0.0015163184704909	0.5873562852590756	0.5808361587347401	1.0	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
