module	genes
receptor_cd44_cxcr4	CD44;CXCR4
hla_regulatory_ciita_rfx5	CIITA;RFX5
mif_ddt_ligand	MIF;DDT
ifn_unique	STAT1;IRF1;CXCL10;GBP1
lysosomal_unique	CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3
