contrast	module	source_url	present_gene_count	median_log2fc	sig_down_count	sig_up_count	sig_down_genes	sig_up_genes	fisher_down_p	fisher_up_p
SP140_siRNA_M1_vs_scrambled	ifn_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	8	-0.14788940349999996	0	0			1.0	1.0
SP140_siRNA_M1_vs_scrambled	hla_ii_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	7	-0.026390509	0	0			1.0	1.0
SP140_siRNA_M1_vs_scrambled	lysosomal_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	7	0.011503712	0	0			1.0	1.0
SP140_siRNA_M1_vs_scrambled	lipid_loader_repair	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	12	0.022861465499999997	0	0			1.0	1.0
SP140_siRNA_M1_vs_scrambled	inflammatory_nfkb	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	8	0.283644487	0	0			1.0	1.0
SP140_siRNA_M1_vs_scrambled	topoisomerase_axis	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM2_ESM.xlsx	7	-0.070626887	0	0			1.0	1.0
SP140_siRNA_M1_4h_LPS_vs_scrambled	ifn_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	8	0.0302734125	0	0			1.0	1.0
SP140_siRNA_M1_4h_LPS_vs_scrambled	hla_ii_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	7	-0.048316754	1	0	HLA-DPB1		0.28511584055573425	1.0
SP140_siRNA_M1_4h_LPS_vs_scrambled	lysosomal_apc	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	7	0.005798618	0	0			1.0	1.0
SP140_siRNA_M1_4h_LPS_vs_scrambled	lipid_loader_repair	https://static-content.springer.com/esm/art%3A10.1186%2Fs12915-022-01380-6/MediaObjects/12915_2022_1380_MOESM3_ESM.xlsx	12	0.0530888575	1	0	MSR1		0.4375651948522475	1.0
