metric	value
manifest	analysis/received_package_intake/20260710_synthetic_monitoring_manifest/manifest.tsv
expected_output	analysis/received_package_intake/20260710_synthetic_monitoring_manifest/route_classification.tsv
replayed_output	analysis/v52_received_package_dry_run_replay/replayed_route_classification.tsv
expected_rows	1
replayed_rows	1
exact_row_match	True
