safe_class	check	status	detail	score_values_read
BLOCKED_TERMS_OR_RECEIPT_GATES	safe_class_covered	PASS	BLOCKED_TERMS_OR_RECEIPT_GATES	false
BLOCKED_TERMS_OR_RECEIPT_GATES	stop_only_missing_examples_have_reason	PASS	BLOCKED_TERMS_OR_RECEIPT_GATES	false
BLOCKED_TERMS_OR_RECEIPT_GATES	score_values_read_false	PASS	BLOCKED_TERMS_OR_RECEIPT_GATES	false
BLOCKED_REDACTION	safe_class_covered	PASS	BLOCKED_REDACTION	false
BLOCKED_REDACTION	stop_only_missing_examples_have_reason	PASS	BLOCKED_REDACTION	false
BLOCKED_REDACTION	score_values_read_false	PASS	BLOCKED_REDACTION	false
BLOCKED_COMPLETENESS	safe_class_covered	PASS	BLOCKED_COMPLETENESS	false
BLOCKED_COMPLETENESS	stop_only_missing_examples_have_reason	PASS	BLOCKED_COMPLETENESS	false
BLOCKED_COMPLETENESS	score_values_read_false	PASS	BLOCKED_COMPLETENESS	false
BLOCKED_RETURN_GATE	safe_class_covered	PASS	BLOCKED_RETURN_GATE	false
BLOCKED_RETURN_GATE	stop_only_missing_examples_have_reason	PASS	BLOCKED_RETURN_GATE	false
BLOCKED_RETURN_GATE	score_values_read_false	PASS	BLOCKED_RETURN_GATE	false
BLOCKED_SCHEMA	safe_class_covered	PASS	BLOCKED_SCHEMA	false
BLOCKED_SCHEMA	stop_only_missing_examples_have_reason	PASS	BLOCKED_SCHEMA	false
BLOCKED_SCHEMA	score_values_read_false	PASS	BLOCKED_SCHEMA	false
BLOCKED_METADATA_CONTRADICTION	safe_class_covered	PASS	BLOCKED_METADATA_CONTRADICTION	false
BLOCKED_METADATA_CONTRADICTION	stop_only_missing_examples_have_reason	PASS	BLOCKED_METADATA_CONTRADICTION	false
BLOCKED_METADATA_CONTRADICTION	score_values_read_false	PASS	BLOCKED_METADATA_CONTRADICTION	false
CONTEXT_ONLY_OR_LABELS_NEEDED	safe_class_covered	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
CONTEXT_ONLY_OR_LABELS_NEEDED	stop_only_missing_examples_have_reason	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
CONTEXT_ONLY_OR_LABELS_NEEDED	score_values_read_false	PASS	CONTEXT_ONLY_OR_LABELS_NEEDED	false
BELOW_V45_PLANNING_FLOOR	safe_class_covered	PASS	BELOW_V45_PLANNING_FLOOR	false
BELOW_V45_PLANNING_FLOOR	stop_only_missing_examples_have_reason	PASS	BELOW_V45_PLANNING_FLOOR	false
BELOW_V45_PLANNING_FLOOR	score_values_read_false	PASS	BELOW_V45_PLANNING_FLOOR	false
INCONCLUSIVE_SMALL_COHORT	safe_class_covered	PASS	INCONCLUSIVE_SMALL_COHORT	false
INCONCLUSIVE_SMALL_COHORT	stop_only_missing_examples_have_reason	PASS	INCONCLUSIVE_SMALL_COHORT	false
INCONCLUSIVE_SMALL_COHORT	score_values_read_false	PASS	INCONCLUSIVE_SMALL_COHORT	false
MINIMUM_DECISION_GRADE_CAUTION	safe_class_covered	PASS	MINIMUM_DECISION_GRADE_CAUTION	false
MINIMUM_DECISION_GRADE_CAUTION	stop_only_missing_examples_have_reason	PASS	MINIMUM_DECISION_GRADE_CAUTION	false
MINIMUM_DECISION_GRADE_CAUTION	score_values_read_false	PASS	MINIMUM_DECISION_GRADE_CAUTION	false
CAUTION_BATCH_OR_CONFOUNDER	safe_class_covered	PASS	CAUTION_BATCH_OR_CONFOUNDER	false
CAUTION_BATCH_OR_CONFOUNDER	stop_only_missing_examples_have_reason	PASS	CAUTION_BATCH_OR_CONFOUNDER	false
CAUTION_BATCH_OR_CONFOUNDER	score_values_read_false	PASS	CAUTION_BATCH_OR_CONFOUNDER	false
ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	safe_class_covered	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	false
ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	stop_only_missing_examples_have_reason	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	false
ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	score_values_read_false	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	false
