gene	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url
ATOX1					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ATOX1&limit=10	O00244	Copper transport protein ATOX1	Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AATOX1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TPM4	CHEMBL4295789	Tropomyosin alpha-4 chain	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TPM4&limit=10	P67936	Tropomyosin alpha-4 chain	Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments (By similarity). Binds calcium (PubMed:1836432). Plays a role in platelet biogenesis	Cytoplasm, cytoskeleton	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATPM4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
LDLRAD3					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LDLRAD3&limit=10	Q86YD5	Low-density lipoprotein receptor class A domain-containing protein 3	(Microbial infection) Acts as a receptor for Venezuelan equine encephalitis virus	Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALDLRAD3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SQLE	CHEMBL3592	Squalene monooxygenase	SINGLE PROTEIN	Homo sapiens	99	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SQLE&limit=10	Q14534	Squalene monooxygenase	Catalyzes the stereospecific oxidation of squalene to (S)-2,3-epoxysqualene, and is considered to be a rate-limiting enzyme in steroid biosynthesis	Microsome membrane;Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASQLE%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
C1QTNF1					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=C1QTNF1&limit=10	Q9BXJ1	Complement C1q tumor necrosis factor-related protein 1		Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AC1QTNF1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
HIF1A	CHEMBL4296108	HIF1A/p300/CREB-binding protein	PROTEIN-PROTEIN INTERACTION	Homo sapiens	7	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HIF1A&limit=10	Q16665	Hypoxia-inducible factor 1-alpha	(Microbial infection) Upon infection by human coronavirus SARS-CoV-2, is required for induction of glycolysis in monocytes and the consequent pro-inflammatory state (PubMed:32697943). In monocytes, induces expression of ACE2 and cytokines such as IL1B, TNF, IL6, and interferons (PubMed:32697943). Promotes human coronavirus SARS-CoV-2 replication and monocyte inflammatory response (PubMed:32697943)	Cytoplasm;Nucleus;Nucleus speckle	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AHIF1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CFB	CHEMBL5731	Complement factor B	SINGLE PROTEIN	Homo sapiens	341	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CFB&limit=10	P00751	Complement factor B	Involved in proliferation and differentiation of preactivated B-lymphocytes, rapid spreading of peripheral blood monocytes, stimulation of lymphocyte blastogenesis and lysis of erythrocytes	Cell surface	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACFB%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TIMP1					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TIMP1&limit=10	P01033	Metalloproteinase inhibitor 1	Metalloproteinase inhibitor that functions by forming one to one complexes with target metalloproteinases, such as collagenases, and irreversibly inactivates them by binding to their catalytic zinc cofactor. Acts on MMP1, MMP2, MMP3, MMP7, MMP8, MMP9, MMP10, MMP11, MMP12, MMP13 and MMP16. Does not act on MMP14. Also functions as a growth factor that regulates cell differentiation, migration and cell death and activates cellular signaling cascades via CD63 and ITGB1. Plays a role in integrin signaling. Mediates erythropoiesis in vitro; but, unlike IL3, it is species-specific, stimulating the growth and differentiation of only human and murine erythroid progenitors	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATIMP1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
COL4A1	CHEMBL2364188	Collagen	PROTEIN COMPLEX GROUP	Homo sapiens	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=COL4A1&limit=10	P02462	Collagen alpha-1(IV) chain	Arresten, comprising the C-terminal NC1 domain, inhibits angiogenesis and tumor formation. The C-terminal half is found to possess the anti-angiogenic activity. Specifically inhibits endothelial cell proliferation, migration and tube formation	Secreted, extracellular space, extracellular matrix, basement membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACOL4A1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PDLIM7					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDLIM7&limit=10	Q9NR12	PDZ and LIM domain protein 7	May function as a scaffold on which the coordinated assembly of proteins can occur. May play a role as an adapter that, via its PDZ domain, localizes LIM-binding proteins to actin filaments of both skeletal muscle and nonmuscle tissues. Involved in both of the two fundamental mechanisms of bone formation, direct bone formation (e.g. embryonic flat bones mandible and cranium), and endochondral bone formation (e.g. embryonic long bone development). Plays a role during fracture repair. Involved in BMP6 signaling pathway (By similarity)	Cytoplasm;Cytoplasm, cytoskeleton	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDLIM7%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
