gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
ATOX1	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	0.5235633697570927	0.5641167566536998	False	3	3	0	3	3	1	1	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.544,p=0.00036;ibd_crohn_stromal:0.422,p=0.016;psoriasis_skin_stromal:0.302,p=0.028	ibd_uc_stromal|complement_effector:0.547,p=0.00029;ibd_uc_stromal|ifn_apc:0.548,p=0.00045;ibd_uc_stromal|hla_ii_apc:0.529,p=0.00078;ibd_uc_stromal|lysosomal_apc:0.51,p=0.0012;ibd_crohn_stromal|inflammatory_nfkb:0.277,p=0.0058;ibd_crohn_stromal|hif_nampt_metabolic:0.264,p=0.0058;ibd_crohn_stromal|complement_effector:0.438,p=0.006;ibd_uc_stromal|lipid_loader_repair:0.425,p=0.0068	19
SQLE	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	-0.3408177110309154	0.3307572199460259	False	3	3	0	3	3	1	1	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.481,p=0.0008;psoriasis_skin_stromal:0.289,p=0.0054;ibd_crohn_stromal:0.664,p=0.011	ibd_uc_stromal|complement_effector:0.483,p=0.00052;ibd_uc_stromal|hla_ii_apc:0.466,p=0.00058;ibd_uc_stromal|lysosomal_apc:0.474,p=0.0011;ibd_uc_stromal|ifn_apc:0.476,p=0.0011;psoriasis_skin_stromal|lipid_loader_repair:0.296,p=0.0021;ibd_uc_stromal|core_lysosomal_lipid:0.385,p=0.0036;ibd_uc_stromal|lipid_loader_repair:0.379,p=0.0059;ibd_uc_stromal|hif_nampt_metabolic:0.37,p=0.0059	19
TPM4	top_rank	18.003112515845523	3.0	0.0	False	-0.0374723547260309	0.9001013429967964	False	7	3	0	7	3	1	1	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_epithelial:0.528,p=0.00064;ibd_crohn_epithelial:0.478,p=0.00099;ibd_crohn_myeloid:0.528,p=0.0019;ibd_uc_myeloid:0.564,p=0.0036;ibd_crohn_stromal:0.703,p=0.0075;ibd_uc_stromal:0.583,p=0.011;psoriasis_skin_stromal:0.558,p=0.036	ibd_uc_epithelial|complement_phagocytosis:0.511,p=4.4e-05;ibd_uc_epithelial|lysosomal_apc:0.511,p=0.00018;ibd_crohn_epithelial|lysosomal_apc:0.4,p=0.0012;ibd_uc_epithelial|lipid_loader_repair:0.51,p=0.0014;ibd_crohn_epithelial|complement_phagocytosis:0.456,p=0.0017;ibd_crohn_stromal|lysosomal_apc:0.731,p=0.0021;ibd_crohn_myeloid|hla_ii_apc:0.521,p=0.0024;ibd_uc_epithelial|core_lysosomal_lipid:0.434,p=0.0028	19
LDLRAD3	top_rank	17.0	3.0	0.0	False	0.174502585370285	0.8376004526982199	False	6	3	0	5	3	2	1	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_crohn_stromal:0.655,p=0.006;ibd_uc_stromal:0.647,p=0.0062;ibd_crohn_myeloid:0.652,p=0.011;psoriasis_skin_apc:0.282,p=0.022;ibd_uc_myeloid:1.99,p=0.041;psoriasis_skin_stromal:0.433,p=0.049	ibd_uc_stromal|complement_effector:0.655,p=0.001;ibd_uc_stromal|hla_ii_apc:0.605,p=0.0027;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.374,p=0.0038;ibd_uc_stromal|lysosomal_apc:0.661,p=0.004;ibd_uc_stromal|ifn_apc:0.655,p=0.0046;ibd_crohn_stromal|complement_effector:0.649,p=0.0065;ibd_crohn_stromal|lysosomal_apc:0.637,p=0.008;ibd_crohn_stromal|inflammatory_nfkb:0.637,p=0.0084	19
C1QTNF1	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	-0.2172605175146804	0.8642634636230562	False	2	2	0	2	2	0	0	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.53,p=0.0047;ibd_crohn_stromal:0.647,p=0.027	ibd_uc_stromal|hla_ii_apc:0.486,p=0.0015;ibd_uc_stromal|ifn_apc:0.537,p=0.0021;ibd_uc_stromal|lysosomal_apc:0.55,p=0.0024;ibd_uc_stromal|complement_effector:0.527,p=0.0045;ibd_uc_stromal|core_lysosomal_lipid:0.416,p=0.01;ibd_crohn_stromal|lysosomal_apc:0.649,p=0.027;ibd_uc_stromal|inflammatory_nfkb:0.395,p=0.028;ibd_uc_stromal|lipid_loader_repair:0.399,p=0.029	16
HIF1A	mechanistic_scout;top_rank	22.0	3.0	0.0	False	-0.1231736174707265	0.7282461776522897	False	5	2	0	5	2	0	0	2	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:1.12,p=0.00061;ibd_crohn_epithelial:0.36,p=0.0019;ibd_uc_myeloid:0.836,p=0.0075;ibd_crohn_stromal:0.902,p=0.014;ibd_crohn_myeloid:0.621,p=0.036	ibd_uc_stromal|lysosomal_apc:1.16,p=8.9e-05;ibd_uc_stromal|hla_ii_apc:1.05,p=0.00019;ibd_uc_stromal|complement_effector:1.13,p=0.00024;ibd_uc_stromal|ifn_apc:1.14,p=0.00036;ibd_uc_stromal|core_lysosomal_lipid:0.884,p=0.0013;ibd_crohn_epithelial|lysosomal_apc:0.303,p=0.0025;ibd_crohn_epithelial|complement_phagocytosis:0.34,p=0.0027;ibd_crohn_stromal|hif_nampt_metabolic:0.559,p=0.0027	16
CBX3	four_disease_low_contradiction;ms_positive_three_disease;top_rank	33.0	4.0	0.0	True	0.3505111291715241	0.0165873089490037	False	4	3	0	4	3	3	2	1	1	ibd_uc_stromal:ulcerative colitis	psoriasis_skin_stromal:0.279,p=0.00077;ibd_uc_stromal:0.393,p=0.0014;t1d_stellate_cell:0.337,p=0.035;t1d_acinar_cell:0.352,p=0.043	psoriasis_skin_stromal|inflammatory_nfkb:0.279,p=0.0002;ibd_uc_stromal|complement_effector:0.394,p=0.001;ibd_uc_stromal|ifn_apc:0.385,p=0.0011;ibd_uc_stromal|hla_ii_apc:0.393,p=0.0014;t1d_stellate_cell|c1q_phagocytic_myeloid:0.381,p=0.0024;ibd_uc_stromal|lysosomal_apc:0.377,p=0.0026;t1d_stellate_cell|lysosomal_apc:0.315,p=0.0026;psoriasis_skin_stromal|hif_nampt_metabolic:0.273,p=0.0042	16
CFB	four_disease_low_contradiction;top_rank	25.004597697631812	4.0	0.0	False	-0.9822682065524936	0.2868607768107353	False	7	4	0	7	4	4	2	1	1	ibd_crohn_stromal:Crohn disease	psoriasis_skin_stromal:0.214,p=0.0056;ibd_crohn_epithelial:0.406,p=0.0071;ibd_crohn_stromal:0.419,p=0.0079;ibd_uc_epithelial:0.567,p=0.02;t1d_stellate_cell:0.927,p=0.025;psoriasis_keratinocyte:0.628,p=0.035;t1d_ductal_cell:1.15,p=0.044	t1d_stellate_cell|core_lysosomal_lipid:0.754,p=2.5e-05;t1d_stellate_cell|lipid_loader_repair:0.794,p=0.00081;psoriasis_skin_stromal|inflammatory_nfkb:0.213,p=0.0039;psoriasis_skin_stromal|hif_nampt_metabolic:0.215,p=0.0048;ibd_crohn_stromal|lysosomal_apc:0.42,p=0.0077;ibd_uc_epithelial|complement_phagocytosis:0.542,p=0.0081;ibd_crohn_epithelial|complement_phagocytosis:0.391,p=0.0089;ibd_crohn_epithelial|lysosomal_apc:0.358,p=0.0093	15
TIMP1	four_disease_low_contradiction;mechanistic_scout;top_rank	28.0	4.0	0.0	False	-0.5836919250703687	0.415232450290228	False	6	3	0	6	3	3	2	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:1.08,p=0.00045;ibd_uc_myeloid:1.69,p=0.00076;psoriasis_keratinocyte:0.545,p=0.0065;ibd_uc_epithelial:1.2,p=0.0066;t1d_stellate_cell:0.308,p=0.034;t1d_acinar_cell:0.87,p=0.035	ibd_uc_stromal|ifn_apc:1.06,p=2.8e-05;ibd_uc_stromal|hla_ii_apc:1.1,p=9.3e-05;ibd_uc_stromal|complement_effector:1.09,p=0.00016;ibd_uc_stromal|lysosomal_apc:0.978,p=0.00093;ibd_uc_myeloid|hla_ii_apc:1.39,p=0.0017;ibd_uc_stromal|lipid_loader_repair:0.878,p=0.0028;ibd_uc_stromal|hif_nampt_metabolic:0.875,p=0.0032;ibd_uc_stromal|core_lysosomal_lipid:0.863,p=0.0032	14
REG1A	top_rank	21.0	3.0	0.0	False			False	5	2	0	5	2	4	1	2	1	t1d_ductal_cell:type 1 diabetes mellitus;t1d_endothelial_cell:type 1 diabetes mellitus	t1d_stellate_cell:1.19,p=0.00026;t1d_endothelial_cell:0.864,p=0.0016;t1d_ductal_cell:0.826,p=0.0016;t1d_beta_cell:0.669,p=0.011;ibd_uc_epithelial:190,p=0.012	t1d_stellate_cell|lysosomal_apc:1.26,p=6e-06;t1d_ductal_cell|lipid_loader_repair:1.03,p=9.2e-06;t1d_stellate_cell|lipid_loader_repair:1.33,p=1.5e-05;t1d_stellate_cell|core_lysosomal_lipid:1.13,p=1.8e-05;t1d_endothelial_cell|lysosomal_apc:0.991,p=8.5e-05;t1d_ductal_cell|hif_nampt_metabolic:0.961,p=0.00012;t1d_ductal_cell|core_lysosomal_lipid:0.823,p=0.00013;t1d_stellate_cell|c1q_phagocytic_myeloid:0.955,p=0.00017	13
