entity	positive_evidence_rows	positive_source_units	positive_modalities	modalities	source_files	recurrence_empirical_entity_p	recurrence_empirical_fwer_p	recurrence_q_bh	train_joint_z	train_empirical_fwer_p	holdout_support_z	holdout_supported_p_lt_0_05
apc_hla_ifn_monitoring	81	78	11	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;lead_slate;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v20_lead_slate/lead_slate_v20.tsv;analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v28_heterogeneous_response/cohort_adjusted_models.tsv;analysis/v28_heterogeneous_response/heterogeneous_method_metrics.tsv;analysis/v32_confounder_audit/v32_confounder_adjustment_metrics.tsv;analysis/v32_confounder_audit/v32_joint_adjustment_metrics.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v35_lysosomal_apc_specificity/summary.json;analysis/v35_metabolic_sterol_setpoint/summary.json	9.999000099990002e-05	9.999000099990002e-05	0.0006166050061660501	8.054844913966898	0.0683931606839316	5.000961463621753	True
apc_axis	47	45	12	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;lead_slate;network_topology;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v20_lead_slate/lead_slate_v20.tsv;analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v35_lysosomal_apc_specificity/summary.json;analysis/v35_metabolic_sterol_setpoint/summary.json;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv;analysis/v40_dimension_probes/apc_network_topology_probe.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	9.999000099990002e-05	9.999000099990002e-05	0.0006166050061660501	7.773585031963566	0.18698130186981302	2.324857177760912	True
ifn_apc	22	21	11	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;lead_slate;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v20_lead_slate/lead_slate_v20.tsv;analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v35_lysosomal_apc_specificity/summary.json;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	9.999000099990002e-05	9.999000099990002e-05	0.0006166050061660501	7.154916583327206	0.926907309269073	2.0329343228866392	True
hla_ii_apc	21	20	11	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;lead_slate;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v20_lead_slate/lead_slate_v20.tsv;analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v35_metabolic_sterol_setpoint/summary.json;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	9.999000099990002e-05	9.999000099990002e-05	0.0006166050061660501	7.601908274821308	0.3210678932106789	2.324857177760912	True
coupled_apc_axis	19	18	10	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v35_lysosomal_apc_specificity/summary.json;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	9.999000099990002e-05	9.999000099990002e-05	0.0006166050061660501	7.487342430479729	0.7776222377762224	2.324857177760912	True
mif_cd74_receptor_state	17	16	9	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;perturbation;perturbation_mixscale;treatment_pharmacodynamic;treatment_response;treatment_response_tests	analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	9.999000099990002e-05	0.0008999100089991	0.0006166050061660501	7.487342430479729	0.7776222377762224	2.324857177760912	True
lysosomal_apc	13	13	7	cell_state_h5ad;corpus_synthesis;cross_disease_summary;deep_structure;exploratory;treatment_pharmacodynamic;treatment_response_tests	analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v35_lysosomal_apc_specificity/summary.json;docs/reports/FINDINGS_SCORES_V37.tsv	0.00039996000399960006	0.0382961703829617	0.002114074306855029	5.266123250414903	1.0	0.0	False
metabolic_sterol	13	13	4	corpus_synthesis;deep_structure;exploratory;treatment_response	analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v32_confounder_audit/v32_confounder_adjustment_metrics.tsv;analysis/v35_metabolic_sterol_setpoint/summary.json;analysis/v39_immune_tone_anomaly/immune_tone_anomaly_spaces.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	0.0007999200079992001	0.0382961703829617	0.0036996300369963007	3.5979862551011634	1.0	3.4808903002570455	True
mixscale_validated_ifng_readout	12	12	5	cell_state_h5ad;cross_disease_summary;deep_structure;network_topology;treatment_pharmacodynamic	analysis/v26_deep_structure/workstream_a_latent_axes.tsv;analysis/v26_deep_structure/workstream_b_module_dependencies.tsv;analysis/v40_dimension_probes/apc_network_topology_probe.tsv	0.0018998100189981002	0.12438756124387561	0.0078103300781033015	5.6410936604953115	1.0	0.0	False
tb_readable_compartment	9	9	3	corpus_synthesis;exploratory;treatment_response	analysis/v32_confounder_audit/v32_confounder_adjustment_metrics.tsv;analysis/v32_confounder_audit/v32_joint_adjustment_metrics.tsv;analysis/v35_tb_compartment_gate/tb_compartment_gate.tsv;docs/reports/FINDINGS_SCORES_V37.tsv	0.0385961403859614	0.9577042295770423	0.1428057194280572	2.6547590333403277	1.0	2.483947308581782	True
