entity	train_support_modalities	train_joint_z	train_joint_p_analytic	train_closure_modalities	train_closure_z_max	train_empirical_entity_p	train_empirical_fwer_p	train_joint_q_bh	holdout_support_z	holdout_supported_p_lt_0_05
apc_hla_ifn_monitoring	8	8.054844913966898	3.9789822263123977e-16	10	3.1748285874492073	0.0010998900109989002	0.0683931606839316	2.6659180916293066e-14	5.000961463621753	True
apc_axis	8	7.773585031963566	3.8147698403542864e-15	9	3.1748285874492073	0.0034996500349965005	0.18698130186981302	1.277947896518686e-13	2.324857177760912	True
hla_ii_apc	7	7.601908274821308	1.4589776747678617e-14	8	2.8013857874475137	0.004399560043995601	0.3210678932106789	3.2583834736482245e-13	2.324857177760912	True
genetic_backdrop_ms_uc	1	7.535167067614062	2.4385500000000085e-14	1	2.575829303548901	0.016198380161983803	0.7115288471152885	3.2676570000000113e-13	0.0	False
ms_uc_genetic_backdrop	1	7.535167067614062	2.4385500000000085e-14	0	0.0	0.013298670132986702	0.7115288471152885	3.2676570000000113e-13	0.0	False
coupled_apc_axis	7	7.487342430479729	3.51410811802338e-14	9	2.575829303548901	0.015198480151984802	0.7776222377762224	3.363503484393806e-13	2.324857177760912	True
mif_cd74_receptor_state	7	7.487342430479729	3.51410811802338e-14	9	2.575829303548901	0.014598540145985401	0.7776222377762224	3.363503484393806e-13	2.324857177760912	True
ifn_apc	7	7.154916583327206	4.186190901430976e-13	9	3.1748285874492073	0.0226977302269773	0.926907309269073	3.505934879948442e-12	2.0329343228866392	True
hla_ii_apc__mif_cd74_receptor_state	4	5.992856382807678	1.0309346583201947e-09	1	2.088734447220566	0.032896710328967106	1.0	7.674735789717005e-09	0.0	False
mixscale_validated_ifng_readout	5	5.6410936604953115	8.448670465694923e-09	4	3.0903807621810726	0.03799620037996201	1.0	5.6606092120155985e-08	0.0	False
lysosomal_apc	5	5.266123250414903	6.966737899932189e-08	7	2.956694906058436	0.046995300469953004	1.0	4.243376720867788e-07	0.0	False
ifn_apc__mixscale_validated_ifng_readout	3	4.72193468757868	1.1680585404721644e-06	0	0.0	0.08599140085991401	1.0	6.521660184302918e-06	0.0	False
ifn_apc__lysosomal_apc	3	4.290181664612609	8.926351057106747e-06	1	1.367673517754863	0.1571842815718428	1.0	4.600504006355015e-05	0.0	False
ifn_apc__mif_cd74_receptor_state	3	4.048969439950566	2.5721830490366825e-05	2	2.1085608087562173	0.19718028197180282	1.0	0.0001230973316324698	0.0	False
hla_ii_apc__ifn_apc	2	4.006737781595028	3.078157242538698e-05	3	2.3912393044596754	0.2206779322067793	1.0	0.00013749102350006184	0.0	False
hla_ii_apc__mixscale_validated_ifng_readout	2	3.865467132998866	5.543839009771271e-05	1	0.9434470755247945	0.26107389261073893	1.0	0.000232148258534172	0.0	False
complement_lipid_axis	3	3.6262044667180313	0.0001438088229429878	6	3.0903807621810726	0.30626937306269375	1.0	0.0005352883965100102	0.0	False
lipid_loader_repair	3	3.6262044667180313	0.0001438088229429878	5	3.0903807621810726	0.30586941305869414	1.0	0.0005352883965100102	0.0	False
