entity	modality	support_z	closure_z	n_rows	min_p	sources
apc_axis	cell_state_h5ad	2.6970107222673985	1.7685947995871087	25	0.0069965017491254	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_axis	cross_disease_summary	2.3912393044596754	2.3912393044596754	20	0.016791604197901	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_axis	deep_structure	2.576002149423304	1.5984402744436446	10	0.0099950024987506	analysis/v26_deep_structure/workstream_a_latent_axes.tsv
apc_axis	failure_structure	0.0	2.575829303548901	5	0.01	analysis/v39_failure_structure_exclusion/v39_exclusion_list.tsv;analysis/v39_failure_structure_exclusion/v39_failure_catalogue.tsv
apc_axis	network_topology	1.8592359539791858	1.100365548796042	6	0.062993700629937	analysis/v40_dimension_probes/apc_network_topology_probe.tsv
apc_axis	perturbation	3.1748285874492073	3.1748285874492073	6	0.0014992503748125	analysis/v35_lysosomal_apc_specificity/perturbation_module_pair_rankings.tsv
apc_axis	perturbation_mixscale	3.1748285874492073	3.1748285874492073	6	0.0014992503748125	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_axis	treatment_pharmacodynamic	3.0903807621810726	3.0903807621810726	25	0.0019990004997501	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_axis	treatment_response	2.324857177760912	3.6622727355849025	12	0.0002499875006249	analysis/v28_heterogeneous_response/heterogeneous_method_metrics.tsv;analysis/v36_therapy_branch_map/therapy_branch_evidence.tsv
apc_axis	treatment_response_tests	3.0234926937176767	1.6029507528153686	10	0.0024987506246876	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_hla_ifn_monitoring	cell_state_h5ad	2.6970107222673985	1.367673517754863	13	0.0069965017491254	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_hla_ifn_monitoring	cross_disease_summary	2.3912393044596754	2.3912393044596754	11	0.016791604197901	analysis/v26_deep_structure/workstream_b_module_dependencies.tsv
apc_hla_ifn_monitoring	deep_structure	2.576002149423304	1.5984402744436446	10	0.0099950024987506	analysis/v26_deep_structure/workstream_a_latent_axes.tsv
apc_hla_ifn_monitoring	exploratory	2.6547590333403277	1.1408330906611082	13	0.0079365079365079	analysis/v35_tb_compartment_gate/tb_compartment_gate.tsv;analysis/v39_immune_tone_anomaly/immune_tone_anomaly_spaces.tsv
