scope	item	check	status	detail	score_values_read
coverage	safe_classes	safe_class_set_exact	PASS	BLOCKED_TERMS_OR_RECEIPT_GATES,BLOCKED_REDACTION,BLOCKED_COMPLETENESS,BLOCKED_RETURN_GATE,BLOCKED_SCHEMA,BLOCKED_METADATA_CONTRADICTION,CONTEXT_ONLY_OR_LABELS_NEEDED,BELOW_V45_PLANNING_FLOOR,INCONCLUSIVE_SMALL_COHORT,MINIMUM_DECISION_GRADE_CAUTION,CAUTION_BATCH_OR_CONFOUNDER,ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	false
coverage	safe_classes	safe_classes_unique	PASS	12	false
template_map	BLOCKED_TERMS_OR_RECEIPT_GATES	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_TERMS_OR_RECEIPT_GATES	no_literal_result_values	PASS	clean	false
template_map	BLOCKED_REDACTION	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_REDACTION	no_literal_result_values	PASS	clean	false
template_map	BLOCKED_COMPLETENESS	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_COMPLETENESS	no_literal_result_values	PASS	clean	false
template_map	BLOCKED_RETURN_GATE	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_RETURN_GATE	no_literal_result_values	PASS	clean	false
template_map	BLOCKED_SCHEMA	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_SCHEMA	no_literal_result_values	PASS	clean	false
template_map	BLOCKED_METADATA_CONTRADICTION	mode_requirements	PASS	STOP_ONLY	false
template_map	BLOCKED_METADATA_CONTRADICTION	no_literal_result_values	PASS	clean	false
template_map	CONTEXT_ONLY_OR_LABELS_NEEDED	mode_requirements	PASS	STOP_ONLY	false
template_map	CONTEXT_ONLY_OR_LABELS_NEEDED	no_literal_result_values	PASS	clean	false
template_map	BELOW_V45_PLANNING_FLOOR	mode_requirements	PASS	STOP_ONLY	false
template_map	BELOW_V45_PLANNING_FLOOR	no_literal_result_values	PASS	clean	false
template_map	INCONCLUSIVE_SMALL_COHORT	mode_requirements	PASS	RESULT_SKELETON_ALLOWED_AFTER_GATES	false
template_map	INCONCLUSIVE_SMALL_COHORT	no_literal_result_values	PASS	clean	false
template_map	MINIMUM_DECISION_GRADE_CAUTION	mode_requirements	PASS	RESULT_SKELETON_ALLOWED_AFTER_GATES	false
template_map	MINIMUM_DECISION_GRADE_CAUTION	no_literal_result_values	PASS	clean	false
template_map	CAUTION_BATCH_OR_CONFOUNDER	mode_requirements	PASS	RESULT_SKELETON_ALLOWED_AFTER_GATES	false
template_map	CAUTION_BATCH_OR_CONFOUNDER	no_literal_result_values	PASS	clean	false
template_map	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	mode_requirements	PASS	RESULT_SKELETON_ALLOWED_AFTER_GATES	false
template_map	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	no_literal_result_values	PASS	clean	false
report_linter	BLOCKED_TERMS_OR_RECEIPT_GATES	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BLOCKED_REDACTION	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BLOCKED_COMPLETENESS	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BLOCKED_RETURN_GATE	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BLOCKED_SCHEMA	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BLOCKED_METADATA_CONTRADICTION	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	CONTEXT_ONLY_OR_LABELS_NEEDED	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	BELOW_V45_PLANNING_FLOOR	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	INCONCLUSIVE_SMALL_COHORT	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	MINIMUM_DECISION_GRADE_CAUTION	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	CAUTION_BATCH_OR_CONFOUNDER	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
report_linter	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	skeleton_passes_result_report_safe_class_linter	PASS	PASS	false
