safe_class	report_linter_returncode	observed_status	n_linter_checks	n_linter_fail	summary	stdout_tail	stderr_tail	score_values_read
BLOCKED_TERMS_OR_RECEIPT_GATES	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_terms_or_receipt_gates/result_report_safe_class_lint_summary.json	"_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_terms_or_receipt_gates/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_terms_or_receipt_gates.md"",
  ""safe_class"": ""BLOCKED_TERMS_OR_RECEIPT_GATES"",
  ""synthetic"": true
}
"		false
BLOCKED_REDACTION	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_redaction/result_report_safe_class_lint_summary.json	"tatus"": ""PASS"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_redaction/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_redaction.md"",
  ""safe_class"": ""BLOCKED_REDACTION"",
  ""synthetic"": true
}
"		false
BLOCKED_COMPLETENESS	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_completeness/result_report_safe_class_lint_summary.json	"PASS"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_completeness/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_completeness.md"",
  ""safe_class"": ""BLOCKED_COMPLETENESS"",
  ""synthetic"": true
}
"		false
BLOCKED_RETURN_GATE	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_return_gate/result_report_safe_class_lint_summary.json	": ""PASS"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_return_gate/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_return_gate.md"",
  ""safe_class"": ""BLOCKED_RETURN_GATE"",
  ""synthetic"": true
}
"		false
BLOCKED_SCHEMA	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_schema/result_report_safe_class_lint_summary.json	"xpected_status"": ""PASS"",
  ""lint"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_schema/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_schema.md"",
  ""safe_class"": ""BLOCKED_SCHEMA"",
  ""synthetic"": true
}
"		false
BLOCKED_METADATA_CONTRADICTION	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_metadata_contradiction/result_report_safe_class_lint_summary.json	"_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/blocked_metadata_contradiction/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/blocked_metadata_contradiction.md"",
  ""safe_class"": ""BLOCKED_METADATA_CONTRADICTION"",
  ""synthetic"": true
}
"		false
CONTEXT_ONLY_OR_LABELS_NEEDED	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/context_only_or_labels_needed/result_report_safe_class_lint_summary.json	"v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/context_only_or_labels_needed/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md"",
  ""safe_class"": ""CONTEXT_ONLY_OR_LABELS_NEEDED"",
  ""synthetic"": true
}
"		false
BELOW_V45_PLANNING_FLOOR	0	PASS	13	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/below_v45_planning_floor/result_report_safe_class_lint_summary.json	"nt"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/below_v45_planning_floor/result_report_safe_class_lint.tsv"",
  ""n_checks"": 13,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md"",
  ""safe_class"": ""BELOW_V45_PLANNING_FLOOR"",
  ""synthetic"": true
}
"		false
INCONCLUSIVE_SMALL_COHORT	0	PASS	5	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/inconclusive_small_cohort/result_report_safe_class_lint_summary.json	""": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/inconclusive_small_cohort/result_report_safe_class_lint.tsv"",
  ""n_checks"": 5,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/inconclusive_small_cohort.md"",
  ""safe_class"": ""INCONCLUSIVE_SMALL_COHORT"",
  ""synthetic"": true
}
"		false
MINIMUM_DECISION_GRADE_CAUTION	0	PASS	5	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/minimum_decision_grade_caution/result_report_safe_class_lint_summary.json	"6_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/minimum_decision_grade_caution/result_report_safe_class_lint.tsv"",
  ""n_checks"": 5,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/minimum_decision_grade_caution.md"",
  ""safe_class"": ""MINIMUM_DECISION_GRADE_CAUTION"",
  ""synthetic"": true
}
"		false
CAUTION_BATCH_OR_CONFOUNDER	0	PASS	5	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/caution_batch_or_confounder/result_report_safe_class_lint_summary.json	"alysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/caution_batch_or_confounder/result_report_safe_class_lint.tsv"",
  ""n_checks"": 5,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/caution_batch_or_confounder.md"",
  ""safe_class"": ""CAUTION_BATCH_OR_CONFOUNDER"",
  ""synthetic"": true
}
"		false
ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	0	PASS	5	0	analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/report_lint/eligible_for_preregistered_interpretation/result_report_safe_class_lint_summary.json	"te/safe_class_report_template_readiness/report_lint/eligible_for_preregistered_interpretation/result_report_safe_class_lint.tsv"",
  ""n_checks"": 5,
  ""n_fail"": 0,
  ""observed_status"": ""PASS"",
  ""purpose"": ""V46 result-report safe-class linter; no biological claim"",
  ""report"": ""analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/eligible_for_preregistered_interpretation.md"",
  ""safe_class"": ""ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION"",
  ""synthetic"": true
}
"		false
