document	reference	status	detail
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	analysis/received_package_intake/README.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/POST_VALIDATION_ROUTE_UPDATE_PLAYBOOK_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/THERAPEUTIC_PATH_SUMMARY_CARD_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/THERAPEUTIC_PATH_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/THERAPEUTIC_ROUTE_DECISION_LOG_TEMPLATE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/THERAPEUTIC_ROUTE_STATUS_DASHBOARD_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/V52_OPERATOR_ARTIFACT_HASH_SNAPSHOT.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/reports/V52_OPERATOR_ARTIFACT_HASH_VERIFY_COMMANDS.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/INCOMING_PACKAGE_MANIFEST_TEMPLATE_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/INCOMING_PACKAGE_PREFLIGHT_CHECKLIST_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MANIFEST_METADATA_VS_RAW_DATA_GIT_POLICY_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_MINIMUM_VIABLE_PACKAGE_CHECKLIST_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_OPERATOR_ONE_PAGE_CARD_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_PUBLIC_WORDING_TABLE_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_VALIDATION_COMMAND_MANIFEST_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_VALIDATION_DECISION_TREE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/MONITORING_VALIDATION_RESULT_REPORT_TEMPLATE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/PACKAGE_CHECKSUM_INTAKE_CHECKLIST_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/PACKAGE_ID_VALIDATION_NOTE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/PACKAGE_INTAKE_OPERATOR_QUICKSTART_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/PACKAGE_ROUTE_CLASSIFIER_OPERATOR_NOTE_V52.md	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/PACKAGE_ROUTE_CLASSIFIER_STATUS_DECISION_TABLE_V52.tsv	PASS	exists
docs/validation/THERAPEUTIC_PACKAGE_HANDOFF_BUNDLE_INDEX_V52.md	docs/validation/RECEIPT_BLOCKER_TEMPLATE_V52.md	PASS	exists
