n_per_arm	true_responder_effect_sd	responder_fraction	attrition	power_alpha_0_05	median_observed_d	p10_observed_d	p90_observed_d	n_trials
40	0.35	0.35	0.15	0.075	0.11738828590085625	-0.19605168910560408	0.4384329034538064	4000
80	0.35	0.35	0.15	0.1085	0.1264245300931033	-0.09691916432179416	0.34356893273425754	4000
120	0.35	0.35	0.15	0.1515	0.1259007654435819	-0.06058891614048111	0.31061001149802825	4000
160	0.35	0.35	0.15	0.178	0.12080630593397113	-0.03740469052726159	0.28225442912740295	4000
40	0.35	0.5	0.15	0.108	0.17007927048698357	-0.1452840888855439	0.4922879994688644	4000
80	0.35	0.5	0.15	0.177	0.17349163036552456	-0.050733215633221015	0.4007193279117677	4000
120	0.35	0.5	0.15	0.242	0.17464796890092169	-0.006629712799158835	0.3564963149137743	4000
160	0.35	0.5	0.15	0.3065	0.17886038226381745	0.027305490930830827	0.33392314495644915	4000
40	0.35	0.65	0.15	0.1505	0.22656450606077616	-0.09387700351659667	0.5469225570591307	4000
80	0.35	0.65	0.15	0.26975	0.22728048125605108	0.003769074842236811	0.4602279876527145	4000
120	0.35	0.65	0.15	0.376	0.22652016999036684	0.038224197888992145	0.4084339291709156	4000
160	0.35	0.65	0.15	0.44975	0.22382335240306137	0.06917011629993554	0.3808701071414833	4000
40	0.5	0.35	0.15	0.11425	0.1831914892764579	-0.142160909759805	0.49745628128417846	4000
80	0.5	0.35	0.15	0.16025	0.17049307324362473	-0.05129313680287997	0.3935063094402152	4000
120	0.5	0.35	0.15	0.233	0.1725137791051749	-0.008960415575194312	0.3538794796736082	4000
160	0.5	0.35	0.15	0.306	0.17613955974939635	0.01912040503121453	0.3302954168510538	4000
40	0.5	0.5	0.15	0.17225	0.24423632793841005	-0.06626457652524868	0.5666679537131615	4000
80	0.5	0.5	0.15	0.29075	0.24725290471581599	0.025452084119676786	0.47485463940557127	4000
120	0.5	0.5	0.15	0.4255	0.24968483734725958	0.06975450426148211	0.4267084309315918	4000
160	0.5	0.5	0.15	0.533	0.24831100085809715	0.08811884924643981	0.4133707301182981	4000
40	0.5	0.65	0.15	0.24775	0.32011000555274244	0.017100731173800503	0.633902478879608	4000
80	0.5	0.65	0.15	0.45375	0.3176689030730362	0.09768408348407838	0.5448275067275838	4000
120	0.5	0.65	0.15	0.62375	0.3213236908978023	0.14742122443476507	0.5063895398098675	4000
160	0.5	0.65	0.15	0.73575	0.32227430447715155	0.15824038027251697	0.4805851309769403	4000
40	0.65	0.35	0.15	0.149	0.2174307702826928	-0.09955760097746075	0.545103442858483	4000
80	0.65	0.35	0.15	0.2495	0.21944404704326342	0.0010244098837794895	0.4406544898373765	4000
120	0.65	0.35	0.15	0.3565	0.22234508770192601	0.04276110303599899	0.40490778791304527	4000
160	0.65	0.35	0.15	0.44275	0.22018191639814283	0.06300583446778536	0.3749217667983331	4000
40	0.65	0.5	0.15	0.2555	0.31922579425077613	0.0007169660043118103	0.6463231274030442	4000
80	0.65	0.5	0.15	0.45125	0.3174541857119372	0.09881334923345919	0.539253490897024	4000
120	0.65	0.5	0.15	0.62325	0.3179471435298389	0.1384438016903454	0.4998465328332921	4000
160	0.65	0.5	0.15	0.74575	0.3188914730640162	0.16754695746088588	0.4728150561602522	4000
40	0.65	0.65	0.15	0.37675	0.40877843786333445	0.10079345410717006	0.7343068102741565	4000
80	0.65	0.65	0.15	0.6705	0.41691172930086295	0.19641377734238336	0.6442472307050134	4000
120	0.65	0.65	0.15	0.8295	0.4100681333733044	0.23260948876636517	0.5950380271139246	4000
160	0.65	0.65	0.15	0.9215	0.40798917049050965	0.2570415094399916	0.5636945185090283	4000
