activity	active_area_median	active_area_p25	active_area_p75	high_inflam_area_median	total_debris_median	total_inflammation_median	active_area_reduction_vs_baseline	inflammation_reduction_vs_baseline
0.2	53.0	48.0	59.0	0.0	49.0877160789006	44.15815101620386	-3.8181818181818183	-2.031250296709634
0.4	32.0	27.0	35.0	0.0	31.651151518055514	28.86832916091249	-1.9090909090909092	-0.9816756209383991
0.6	20.0	17.0	24.0	0.0	22.774599476123825	21.757029912954582	-0.8181818181818182	-0.49351822622652863
0.8	15.0	12.0	17.0	0.0	17.495973494884034	17.37959958898813	-0.36363636363636365	-0.19302813180477701
1.0	11.0	9.0	13.0	0.0	13.880078267906425	14.56763602271205	0.0	0.0
