dataset	comparison	feature_type	feature	present_genes	n_case	n_control	mean_case	mean_control	delta	hedges_g	p	limitation
GSE10325	SLE_myeloid_vs_healthy_myeloid	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,CTSB,CTSD,LAMP1,LIPA	11	10	1.2464922035276755	0.3603489723492	0.8861432311784756	1.2206722733164281	0.009746560317720124	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	11	10	1.4338372699229733	0.9374135307732058	0.49642373914976756	0.5965671057814068	0.16781332531272286	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_myeloid_vs_healthy_myeloid	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	11	10	0.8751457212107333	-0.04488306941038024	0.9200287906211135	0.7431563620299007	0.09177183554312622	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,CTSB,CTSD,LAMP1,LIPA	14	9	-0.34031239190879753	-0.3077187537406362	-0.032593638168161354	-0.6815219904713378	0.08397079562676825	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	14	9	-0.6105714362731206	-0.6041646411580625	-0.00640679511505815	-0.12391960760118646	0.7844055467601414	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD4_T_vs_healthy_CD4_T	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	14	9	-0.08578674412819771	-0.33616578000125336	0.25037903587305566	0.6637735060566528	0.06643182736105988	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,CTSB,CTSD,LAMP1,LIPA	14	9	-0.4243204187363222	-0.4267306477332251	0.002410228996902908	0.044905916733281204	0.911074504656322	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	14	9	-0.4914572279817008	-0.47560691187718895	-0.01585031610451182	-0.18877528085483566	0.6487406119063857	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE10325	SLE_CD19_B_vs_healthy_CD19_B	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	14	9	-0.17689060225072148	-0.27497748554423496	0.09808688329351348	0.382138336501149	0.2665507118273589	sorted peripheral blood subsets; not tissue lesions, but cell-type specific for SLE
GSE23117	Sjogren_all_SS_vs_nonSS_control	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	10	4	0.10483187974902793	-0.2059902302642569	0.3108221100132848	0.47864470845414236	0.19854017945395355	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	10	4	0.1981130499808733	-0.3922392864139307	0.590352336394804	0.7199300548063832	0.06571631766708423	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_all_SS_vs_nonSS_control	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	10	4	0.19859151614477985	-0.446283550424086	0.6448750665688658	1.0981583234160803	0.02627909577075033	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	module	LDAM_MODULE	ACSL1,APOE,GPNMB,LPL,TREM2,SPP1,PLIN2,CD36,C1QA,C1QB,C1QC,CTSB,CTSD,LAMP1,LIPA	2	4	1.1146007803649316	-0.2059902302642569	1.3205910106291885	12.7411479832224	0.0065773102808089935	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	module	MYELOID_DENSITY	CSF1R,ITGAM,AIF1,LYZ,CTSS	2	4	1.4611340317840837	-0.3922392864139307	1.8533733181980145	6.3741648038634775	0.09688116611464	bulk minor salivary gland; cell-composition and inflammation confounding
GSE23117	Sjogren_advanced_SS_vs_nonSS_control	module	INFLAMMATION	IL1B,TNF,CXCL10,NFKBIA,CCL2,CCL4	2	4	1.1021536276677826	-0.446283550424086	1.5484371780918686	4.392990102592502	0.0010403702281527561	bulk minor salivary gland; cell-composition and inflammation confounding
