cohort	validation_scope	therapy	therapy_class	disease	n	hedges_g	var_g
GSE235357	primary_locked	dimethyl_fumarate	Class C	MS	10	0.6512291126085582	0.42650620981930815
GSE250453	primary_locked	fingolimod	Class C	MS	10	0.15023033010758816	0.4014105720052647
GSE253006_TOF	exploratory_module_approximation	tofacitinib	Class A	ulcerative_colitis	9	1.5221148378698623	0.6154881128331141
GSE253006_TOF_exact	primary_locked_exact_all_cell_compartment_unresolved	tofacitinib	Class A	ulcerative_colitis	9	1.8110591428518386	0.6842810870648026
GSE85034_ADA	primary_locked	adalimumab	Class A	psoriasis	14	0.04420897273132324	0.3111925458306927
