seed	effect_scale	donors_per_context	technical_wells	donor_guide_wells_per_candidate	method	prob_any_uniform_rescue	prob_any_context_harm	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected
57301	0.80	8	1	48	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	8	1	48	orthogonal_safety_confirmation	0.135000	0.000000	0.000000	0.035250	1.000000	0.141000
57301	0.80	8	2	96	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	8	2	96	orthogonal_safety_confirmation	0.208000	0.000000	0.000000	0.058000	1.000000	0.232000
57301	0.80	8	4	192	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	8	4	192	orthogonal_safety_confirmation	0.337000	0.000000	0.000000	0.098250	1.000000	0.393000
57301	0.80	12	1	72	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	12	1	72	orthogonal_safety_confirmation	0.765000	0.000000	0.000000	0.309000	1.000000	1.236000
57301	0.80	12	2	144	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	12	2	144	orthogonal_safety_confirmation	0.877000	0.000000	0.000000	0.419250	1.000000	1.677000
57301	0.80	12	4	288	discovery_nomination	0.933000	0.800000	0.000000	0.519000	0.631579	3.287000
57301	0.80	12	4	288	orthogonal_safety_confirmation	0.911000	0.000000	0.000000	0.466000	1.000000	1.864000
57301	1.00	8	1	48	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	8	1	48	orthogonal_safety_confirmation	0.237000	0.000000	0.000000	0.063750	1.000000	0.255000
57301	1.00	8	2	96	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	8	2	96	orthogonal_safety_confirmation	0.419000	0.000000	0.000000	0.131750	1.000000	0.527000
57301	1.00	8	4	192	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	8	4	192	orthogonal_safety_confirmation	0.538000	0.000000	0.000000	0.185500	1.000000	0.742000
57301	1.00	12	1	72	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	12	1	72	orthogonal_safety_confirmation	0.767000	0.000000	0.000000	0.330500	1.000000	1.322000
57301	1.00	12	2	144	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	12	2	144	orthogonal_safety_confirmation	0.889000	0.000000	0.000000	0.441500	1.000000	1.766000
57301	1.00	12	4	288	discovery_nomination	0.935000	0.847000	0.000000	0.533500	0.613042	3.481000
57301	1.00	12	4	288	orthogonal_safety_confirmation	0.918000	0.000000	0.000000	0.491500	1.000000	1.966000
57302	0.80	8	1	48	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	8	1	48	orthogonal_safety_confirmation	0.121000	0.000000	0.000000	0.032250	1.000000	0.129000
57302	0.80	8	2	96	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	8	2	96	orthogonal_safety_confirmation	0.251000	0.000000	0.000000	0.069250	1.000000	0.277000
57302	0.80	8	4	192	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	8	4	192	orthogonal_safety_confirmation	0.334000	0.000000	0.000000	0.100000	1.000000	0.400000
57302	0.80	12	1	72	discovery_nomination	0.934000	0.821000	0.000000	0.515000	0.625759	3.292000
57302	0.80	12	1	72	orthogonal_safety_confirmation	0.772000	0.000000	0.000000	0.324750	1.000000	1.299000
