seed	effect_scale	donors_per_context	technical_wells	check	status
57301	0.80	8	1	context_harm_le_0.05	PASS
57301	0.80	8	1	any_uniform_rescue_ge_0.80	FAIL
57301	0.80	8	1	precision_ge_0.90	PASS
57301	0.80	8	1	context_harm_below_discovery	PASS
57301	0.80	8	1	uniform_rescue_loss_le_0.10	FAIL
57301	0.80	8	2	context_harm_le_0.05	PASS
57301	0.80	8	2	any_uniform_rescue_ge_0.80	FAIL
57301	0.80	8	2	precision_ge_0.90	PASS
57301	0.80	8	2	context_harm_below_discovery	PASS
57301	0.80	8	2	uniform_rescue_loss_le_0.10	FAIL
57301	0.80	8	4	context_harm_le_0.05	PASS
57301	0.80	8	4	any_uniform_rescue_ge_0.80	FAIL
57301	0.80	8	4	precision_ge_0.90	PASS
57301	0.80	8	4	context_harm_below_discovery	PASS
57301	0.80	8	4	uniform_rescue_loss_le_0.10	FAIL
57301	0.80	12	1	context_harm_le_0.05	PASS
57301	0.80	12	1	any_uniform_rescue_ge_0.80	FAIL
57301	0.80	12	1	precision_ge_0.90	PASS
57301	0.80	12	1	context_harm_below_discovery	PASS
57301	0.80	12	1	uniform_rescue_loss_le_0.10	FAIL
57301	0.80	12	2	context_harm_le_0.05	PASS
57301	0.80	12	2	any_uniform_rescue_ge_0.80	PASS
57301	0.80	12	2	precision_ge_0.90	PASS
57301	0.80	12	2	context_harm_below_discovery	PASS
57301	0.80	12	2	uniform_rescue_loss_le_0.10	PASS
57301	0.80	12	4	context_harm_le_0.05	PASS
57301	0.80	12	4	any_uniform_rescue_ge_0.80	PASS
57301	0.80	12	4	precision_ge_0.90	PASS
57301	0.80	12	4	context_harm_below_discovery	PASS
57301	0.80	12	4	uniform_rescue_loss_le_0.10	PASS
57301	1.00	8	1	context_harm_le_0.05	PASS
57301	1.00	8	1	any_uniform_rescue_ge_0.80	FAIL
57301	1.00	8	1	precision_ge_0.90	PASS
57301	1.00	8	1	context_harm_below_discovery	PASS
57301	1.00	8	1	uniform_rescue_loss_le_0.10	FAIL
57301	1.00	8	2	context_harm_le_0.05	PASS
57301	1.00	8	2	any_uniform_rescue_ge_0.80	FAIL
57301	1.00	8	2	precision_ge_0.90	PASS
57301	1.00	8	2	context_harm_below_discovery	PASS
57301	1.00	8	2	uniform_rescue_loss_le_0.10	FAIL
57301	1.00	8	4	context_harm_le_0.05	PASS
57301	1.00	8	4	any_uniform_rescue_ge_0.80	FAIL
57301	1.00	8	4	precision_ge_0.90	PASS
57301	1.00	8	4	context_harm_below_discovery	PASS
57301	1.00	8	4	uniform_rescue_loss_le_0.10	FAIL
57301	1.00	12	1	context_harm_le_0.05	PASS
57301	1.00	12	1	any_uniform_rescue_ge_0.80	FAIL
57301	1.00	12	1	precision_ge_0.90	PASS
57301	1.00	12	1	context_harm_below_discovery	PASS
57301	1.00	12	1	uniform_rescue_loss_le_0.10	FAIL
57301	1.00	12	2	context_harm_le_0.05	PASS
57301	1.00	12	2	any_uniform_rescue_ge_0.80	PASS
57301	1.00	12	2	precision_ge_0.90	PASS
57301	1.00	12	2	context_harm_below_discovery	PASS
57301	1.00	12	2	uniform_rescue_loss_le_0.10	PASS
57301	1.00	12	4	context_harm_le_0.05	PASS
57301	1.00	12	4	any_uniform_rescue_ge_0.80	PASS
57301	1.00	12	4	precision_ge_0.90	PASS
57301	1.00	12	4	context_harm_below_discovery	PASS
57301	1.00	12	4	uniform_rescue_loss_le_0.10	PASS
57302	0.80	8	1	context_harm_le_0.05	PASS
57302	0.80	8	1	any_uniform_rescue_ge_0.80	FAIL
57302	0.80	8	1	precision_ge_0.90	PASS
57302	0.80	8	1	context_harm_below_discovery	PASS
57302	0.80	8	1	uniform_rescue_loss_le_0.10	FAIL
57302	0.80	8	2	context_harm_le_0.05	PASS
57302	0.80	8	2	any_uniform_rescue_ge_0.80	FAIL
57302	0.80	8	2	precision_ge_0.90	PASS
57302	0.80	8	2	context_harm_below_discovery	PASS
57302	0.80	8	2	uniform_rescue_loss_le_0.10	FAIL
57302	0.80	8	4	context_harm_le_0.05	PASS
57302	0.80	8	4	any_uniform_rescue_ge_0.80	FAIL
57302	0.80	8	4	precision_ge_0.90	PASS
57302	0.80	8	4	context_harm_below_discovery	PASS
57302	0.80	8	4	uniform_rescue_loss_le_0.10	FAIL
57302	0.80	12	1	context_harm_le_0.05	PASS
57302	0.80	12	1	any_uniform_rescue_ge_0.80	FAIL
57302	0.80	12	1	precision_ge_0.90	PASS
57302	0.80	12	1	context_harm_below_discovery	PASS
57302	0.80	12	1	uniform_rescue_loss_le_0.10	FAIL
57302	0.80	12	2	context_harm_le_0.05	PASS
57302	0.80	12	2	any_uniform_rescue_ge_0.80	PASS
57302	0.80	12	2	precision_ge_0.90	PASS
57302	0.80	12	2	context_harm_below_discovery	PASS
57302	0.80	12	2	uniform_rescue_loss_le_0.10	PASS
57302	0.80	12	4	context_harm_le_0.05	PASS
57302	0.80	12	4	any_uniform_rescue_ge_0.80	PASS
57302	0.80	12	4	precision_ge_0.90	PASS
57302	0.80	12	4	context_harm_below_discovery	PASS
57302	0.80	12	4	uniform_rescue_loss_le_0.10	PASS
57302	1.00	8	1	context_harm_le_0.05	PASS
57302	1.00	8	1	any_uniform_rescue_ge_0.80	FAIL
57302	1.00	8	1	precision_ge_0.90	PASS
57302	1.00	8	1	context_harm_below_discovery	PASS
57302	1.00	8	1	uniform_rescue_loss_le_0.10	FAIL
57302	1.00	8	2	context_harm_le_0.05	PASS
57302	1.00	8	2	any_uniform_rescue_ge_0.80	FAIL
57302	1.00	8	2	precision_ge_0.90	PASS
57302	1.00	8	2	context_harm_below_discovery	PASS
57302	1.00	8	2	uniform_rescue_loss_le_0.10	FAIL
57302	1.00	8	4	context_harm_le_0.05	PASS
57302	1.00	8	4	any_uniform_rescue_ge_0.80	FAIL
57302	1.00	8	4	precision_ge_0.90	PASS
57302	1.00	8	4	context_harm_below_discovery	PASS
57302	1.00	8	4	uniform_rescue_loss_le_0.10	FAIL
57302	1.00	12	1	context_harm_le_0.05	PASS
57302	1.00	12	1	any_uniform_rescue_ge_0.80	FAIL
57302	1.00	12	1	precision_ge_0.90	PASS
57302	1.00	12	1	context_harm_below_discovery	PASS
57302	1.00	12	1	uniform_rescue_loss_le_0.10	FAIL
57302	1.00	12	2	context_harm_le_0.05	PASS
57302	1.00	12	2	any_uniform_rescue_ge_0.80	PASS
57302	1.00	12	2	precision_ge_0.90	PASS
57302	1.00	12	2	context_harm_below_discovery	PASS
57302	1.00	12	2	uniform_rescue_loss_le_0.10	PASS
57302	1.00	12	4	context_harm_le_0.05	PASS
57302	1.00	12	4	any_uniform_rescue_ge_0.80	PASS
57302	1.00	12	4	precision_ge_0.90	PASS
57302	1.00	12	4	context_harm_below_discovery	PASS
57302	1.00	12	4	uniform_rescue_loss_le_0.10	PASS
57303	0.80	8	1	context_harm_le_0.05	PASS
57303	0.80	8	1	any_uniform_rescue_ge_0.80	FAIL
57303	0.80	8	1	precision_ge_0.90	PASS
57303	0.80	8	1	context_harm_below_discovery	PASS
57303	0.80	8	1	uniform_rescue_loss_le_0.10	FAIL
57303	0.80	8	2	context_harm_le_0.05	PASS
57303	0.80	8	2	any_uniform_rescue_ge_0.80	FAIL
57303	0.80	8	2	precision_ge_0.90	PASS
57303	0.80	8	2	context_harm_below_discovery	PASS
57303	0.80	8	2	uniform_rescue_loss_le_0.10	FAIL
57303	0.80	8	4	context_harm_le_0.05	PASS
57303	0.80	8	4	any_uniform_rescue_ge_0.80	FAIL
57303	0.80	8	4	precision_ge_0.90	PASS
57303	0.80	8	4	context_harm_below_discovery	PASS
57303	0.80	8	4	uniform_rescue_loss_le_0.10	FAIL
57303	0.80	12	1	context_harm_le_0.05	PASS
57303	0.80	12	1	any_uniform_rescue_ge_0.80	FAIL
57303	0.80	12	1	precision_ge_0.90	PASS
57303	0.80	12	1	context_harm_below_discovery	PASS
57303	0.80	12	1	uniform_rescue_loss_le_0.10	FAIL
57303	0.80	12	2	context_harm_le_0.05	PASS
57303	0.80	12	2	any_uniform_rescue_ge_0.80	PASS
57303	0.80	12	2	precision_ge_0.90	PASS
57303	0.80	12	2	context_harm_below_discovery	PASS
57303	0.80	12	2	uniform_rescue_loss_le_0.10	PASS
57303	0.80	12	4	context_harm_le_0.05	PASS
57303	0.80	12	4	any_uniform_rescue_ge_0.80	PASS
57303	0.80	12	4	precision_ge_0.90	PASS
57303	0.80	12	4	context_harm_below_discovery	PASS
57303	0.80	12	4	uniform_rescue_loss_le_0.10	PASS
57303	1.00	8	1	context_harm_le_0.05	PASS
57303	1.00	8	1	any_uniform_rescue_ge_0.80	FAIL
57303	1.00	8	1	precision_ge_0.90	PASS
57303	1.00	8	1	context_harm_below_discovery	PASS
57303	1.00	8	1	uniform_rescue_loss_le_0.10	FAIL
57303	1.00	8	2	context_harm_le_0.05	PASS
57303	1.00	8	2	any_uniform_rescue_ge_0.80	FAIL
57303	1.00	8	2	precision_ge_0.90	PASS
57303	1.00	8	2	context_harm_below_discovery	PASS
57303	1.00	8	2	uniform_rescue_loss_le_0.10	FAIL
57303	1.00	8	4	context_harm_le_0.05	PASS
57303	1.00	8	4	any_uniform_rescue_ge_0.80	FAIL
57303	1.00	8	4	precision_ge_0.90	PASS
57303	1.00	8	4	context_harm_below_discovery	PASS
57303	1.00	8	4	uniform_rescue_loss_le_0.10	FAIL
57303	1.00	12	1	context_harm_le_0.05	PASS
57303	1.00	12	1	any_uniform_rescue_ge_0.80	PASS
