seed	effect_scale	donors_per_context	technical_wells	truth_class	n_nominated_candidate_instances	efficacy_component_pass_rate	viability_component_pass_rate	joint_confirmation_rate
57301	0.80	8	1	uniform_broad_rescue	2076	0.411368	0.162813	0.067919
57301	0.80	8	1	context_harm	1211	0.000000	0.159372	0.000000
57301	0.80	8	2	uniform_broad_rescue	2076	0.411368	0.290462	0.111753
57301	0.80	8	2	context_harm	1211	0.000000	0.287366	0.000000
57301	0.80	8	4	uniform_broad_rescue	2076	0.411368	0.444123	0.189306
57301	0.80	8	4	context_harm	1211	0.000000	0.445087	0.000000
57301	0.80	12	1	uniform_broad_rescue	2076	0.971098	0.615125	0.595376
57301	0.80	12	1	context_harm	1211	0.000000	0.631709	0.000000
57301	0.80	12	2	uniform_broad_rescue	2076	0.971098	0.833815	0.807803
57301	0.80	12	2	context_harm	1211	0.000000	0.842279	0.000000
57301	0.80	12	4	uniform_broad_rescue	2076	0.971098	0.922447	0.897881
57301	0.80	12	4	context_harm	1211	0.000000	0.920727	0.000000
57301	1.00	8	1	uniform_broad_rescue	2134	0.777882	0.154171	0.119494
57301	1.00	8	1	context_harm	1347	0.000000	0.156644	0.000000
57301	1.00	8	2	uniform_broad_rescue	2134	0.777882	0.322868	0.246954
57301	1.00	8	2	context_harm	1347	0.000000	0.314031	0.000000
57301	1.00	8	4	uniform_broad_rescue	2134	0.777882	0.435333	0.347704
57301	1.00	8	4	context_harm	1347	0.000000	0.455828	0.000000
57301	1.00	12	1	uniform_broad_rescue	2134	0.998594	0.620431	0.619494
57301	1.00	12	1	context_harm	1347	0.000000	0.609503	0.000000
57301	1.00	12	2	uniform_broad_rescue	2134	0.998594	0.828491	0.827554
57301	1.00	12	2	context_harm	1347	0.000000	0.818114	0.000000
57301	1.00	12	4	uniform_broad_rescue	2134	0.998594	0.922680	0.921275
57301	1.00	12	4	context_harm	1347	0.000000	0.926503	0.000000
57302	0.80	8	1	uniform_broad_rescue	2060	0.421845	0.159709	0.062621
57302	0.80	8	1	context_harm	1232	0.000000	0.153409	0.000000
57302	0.80	8	2	uniform_broad_rescue	2060	0.421845	0.323786	0.134466
57302	0.80	8	2	context_harm	1232	0.000000	0.306818	0.000000
57302	0.80	8	4	uniform_broad_rescue	2060	0.421845	0.458252	0.194175
57302	0.80	8	4	context_harm	1232	0.000000	0.415584	0.000000
57302	0.80	12	1	uniform_broad_rescue	2060	0.977184	0.646117	0.630583
57302	0.80	12	1	context_harm	1232	0.000000	0.612825	0.000000
57302	0.80	12	2	uniform_broad_rescue	2060	0.977184	0.832524	0.816019
57302	0.80	12	2	context_harm	1232	0.000000	0.835227	0.000000
57302	0.80	12	4	uniform_broad_rescue	2060	0.977184	0.919903	0.900485
57302	0.80	12	4	context_harm	1232	0.000000	0.925325	0.000000
57302	1.00	8	1	uniform_broad_rescue	2150	0.781860	0.165116	0.130233
57302	1.00	8	1	context_harm	1345	0.000000	0.174721	0.000000
57302	1.00	8	2	uniform_broad_rescue	2150	0.781860	0.318605	0.249302
57302	1.00	8	2	context_harm	1345	0.000000	0.298885	0.000000
57302	1.00	8	4	uniform_broad_rescue	2150	0.781860	0.433488	0.339070
57302	1.00	8	4	context_harm	1345	0.000000	0.400743	0.000000
57302	1.00	12	1	uniform_broad_rescue	2150	0.999535	0.593023	0.592558
57302	1.00	12	1	context_harm	1345	0.000000	0.602230	0.000000
57302	1.00	12	2	uniform_broad_rescue	2150	0.999535	0.830233	0.829767
57302	1.00	12	2	context_harm	1345	0.000000	0.855762	0.000000
57302	1.00	12	4	uniform_broad_rescue	2150	0.999535	0.924651	0.924186
57302	1.00	12	4	context_harm	1345	0.000000	0.930855	0.000000
57303	0.80	8	1	uniform_broad_rescue	2018	0.406838	0.145193	0.066402
57303	0.80	8	1	context_harm	1180	0.000000	0.159322	0.000000
57303	0.80	8	2	uniform_broad_rescue	2018	0.406838	0.304262	0.127354
57303	0.80	8	2	context_harm	1180	0.000000	0.328814	0.000000
57303	0.80	8	4	uniform_broad_rescue	2018	0.406838	0.435084	0.169970
57303	0.80	8	4	context_harm	1180	0.000000	0.448305	0.000000
57303	0.80	12	1	uniform_broad_rescue	2018	0.977205	0.610010	0.596630
57303	0.80	12	1	context_harm	1180	0.000000	0.630508	0.000000
57303	0.80	12	2	uniform_broad_rescue	2018	0.977205	0.833003	0.813181
57303	0.80	12	2	context_harm	1180	0.000000	0.844915	0.000000
57303	0.80	12	4	uniform_broad_rescue	2018	0.977205	0.925669	0.905352
57303	0.80	12	4	context_harm	1180	0.000000	0.913559	0.000000
57303	1.00	8	1	uniform_broad_rescue	2221	0.747861	0.154885	0.113913
57303	1.00	8	1	context_harm	1344	0.000000	0.143601	0.000000
57303	1.00	8	2	uniform_broad_rescue	2221	0.747861	0.306168	0.228276
57303	1.00	8	2	context_harm	1344	0.000000	0.283482	0.000000
57303	1.00	8	4	uniform_broad_rescue	2221	0.747861	0.454300	0.350743
57303	1.00	8	4	context_harm	1344	0.000000	0.432292	0.000000
57303	1.00	12	1	uniform_broad_rescue	2221	0.998649	0.617740	0.616389
57303	1.00	12	1	context_harm	1344	0.000000	0.577381	0.000000
57303	1.00	12	2	uniform_broad_rescue	2221	0.998649	0.835209	0.833859
57303	1.00	12	2	context_harm	1344	0.000000	0.820685	0.000000
57303	1.00	12	4	uniform_broad_rescue	2221	0.998649	0.923008	0.921657
57303	1.00	12	4	context_harm	1344	0.000000	0.918899	0.000000
