seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57061	4	0.60	averaged_endpoint	broad_rescue	0.125000
57061	4	0.60	averaged_endpoint	narrow_one_endpoint	0.015500
57061	4	0.60	averaged_endpoint	tradeoff	0.008500
57061	4	0.60	averaged_endpoint	toxic_pseudorescue	0.002500
57061	4	0.60	averaged_endpoint	null	0.003000
57061	4	0.60	replicated_broad_rescue	broad_rescue	0.000000
57061	4	0.60	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	4	0.60	replicated_broad_rescue	tradeoff	0.000000
57061	4	0.60	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	4	0.60	replicated_broad_rescue	null	0.000000
57061	4	0.80	averaged_endpoint	broad_rescue	0.260000
57061	4	0.80	averaged_endpoint	narrow_one_endpoint	0.025000
57061	4	0.80	averaged_endpoint	tradeoff	0.012000
57061	4	0.80	averaged_endpoint	toxic_pseudorescue	0.005000
57061	4	0.80	averaged_endpoint	null	0.001000
57061	4	0.80	replicated_broad_rescue	broad_rescue	0.000000
57061	4	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	4	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	4	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	4	0.80	replicated_broad_rescue	null	0.000000
57061	4	1.00	averaged_endpoint	broad_rescue	0.393500
57061	4	1.00	averaged_endpoint	narrow_one_endpoint	0.030000
57061	4	1.00	averaged_endpoint	tradeoff	0.021500
57061	4	1.00	averaged_endpoint	toxic_pseudorescue	0.004500
57061	4	1.00	averaged_endpoint	null	0.002500
57061	4	1.00	replicated_broad_rescue	broad_rescue	0.000000
57061	4	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	4	1.00	replicated_broad_rescue	tradeoff	0.000000
57061	4	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	4	1.00	replicated_broad_rescue	null	0.000000
57061	6	0.60	averaged_endpoint	broad_rescue	0.492000
57061	6	0.60	averaged_endpoint	narrow_one_endpoint	0.025500
57061	6	0.60	averaged_endpoint	tradeoff	0.019000
57061	6	0.60	averaged_endpoint	toxic_pseudorescue	0.002500
57061	6	0.60	averaged_endpoint	null	0.003750
57061	6	0.60	replicated_broad_rescue	broad_rescue	0.004500
57061	6	0.60	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	6	0.60	replicated_broad_rescue	tradeoff	0.000000
