seed	donors	effect_scale	method	prob_any_broad_rescue	prob_any_false_promotion	broad_rescue_recall	selection_precision	mean_n_selected
57061	4	0.60	averaged_endpoint	0.416000	0.118000	0.125000	0.793651	0.630000
57061	4	0.60	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57061	4	0.80	averaged_endpoint	0.712000	0.154000	0.260000	0.855263	1.216000
57061	4	0.80	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57061	4	1.00	averaged_endpoint	0.836000	0.212000	0.393500	0.865787	1.818000
57061	4	1.00	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57061	6	0.60	averaged_endpoint	0.942000	0.192000	0.492000	0.900274	2.186000
57061	6	0.60	replicated_broad_rescue	0.018000	0.000000	0.004500	1.000000	0.018000
57061	6	0.80	averaged_endpoint	0.994000	0.316000	0.777500	0.889079	3.498000
57061	6	0.80	replicated_broad_rescue	0.036000	0.000000	0.009000	1.000000	0.036000
57061	6	1.00	averaged_endpoint	1.000000	0.460000	0.930500	0.856026	4.348000
57061	6	1.00	replicated_broad_rescue	0.134000	0.000000	0.034000	1.000000	0.136000
57061	8	0.60	averaged_endpoint	0.998000	0.336000	0.826000	0.888172	3.720000
57061	8	0.60	replicated_broad_rescue	0.134000	0.000000	0.036500	1.000000	0.146000
57061	8	0.80	averaged_endpoint	1.000000	0.528000	0.969000	0.831046	4.664000
57061	8	0.80	replicated_broad_rescue	0.372000	0.000000	0.110000	1.000000	0.440000
57061	8	1.00	averaged_endpoint	1.000000	0.748000	0.998500	0.735002	5.434000
57061	8	1.00	replicated_broad_rescue	0.566000	0.000000	0.202000	1.000000	0.808000
57061	12	0.60	averaged_endpoint	1.000000	0.572000	0.988000	0.814509	4.852000
57061	12	0.60	replicated_broad_rescue	0.748000	0.000000	0.311000	1.000000	1.244000
57061	12	0.80	averaged_endpoint	1.000000	0.848000	1.000000	0.686342	5.828000
57061	12	0.80	replicated_broad_rescue	0.940000	0.000000	0.512000	1.000000	2.048000
57061	12	1.00	averaged_endpoint	1.000000	0.964000	0.999500	0.569516	7.020000
57061	12	1.00	replicated_broad_rescue	0.930000	0.000000	0.534000	1.000000	2.136000
57062	4	0.60	averaged_endpoint	0.402000	0.128000	0.122000	0.784566	0.622000
57062	4	0.60	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57062	4	0.80	averaged_endpoint	0.680000	0.130000	0.258000	0.885077	1.166000
57062	4	0.80	replicated_broad_rescue	0.000000	0.000000	0.000000	1.000000	0.000000
57062	4	1.00	averaged_endpoint	0.888000	0.256000	0.413000	0.840285	1.966000
57062	4	1.00	replicated_broad_rescue	0.004000	0.000000	0.001000	1.000000	0.004000
57062	6	0.60	averaged_endpoint	0.942000	0.224000	0.513000	0.892950	2.298000
57062	6	0.60	replicated_broad_rescue	0.006000	0.000000	0.001500	1.000000	0.006000
57062	6	0.80	averaged_endpoint	0.996000	0.340000	0.790500	0.882254	3.584000
57062	6	0.80	replicated_broad_rescue	0.052000	0.000000	0.013000	1.000000	0.052000
