n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	seed
800	800	38	0.0475	0.03480005831285475	0.06452482465328206	0.025	0.0225	0.08023463309167286	0.016376526655946827	24.0	162.0	clean	none	none	none	balanced	guarded_within_site_stratified	180	0.15	1.0	54201
800	800	71	0.08875	0.07095812172603243	0.11047250395313614	0.005	0.08375	-0.7459480729285481	-0.15062662859050435	24.0	162.0	clean	none	none	none	balanced	naive_global_pooled	180	0.15	1.0	54201
800	800	289	0.36125	0.3286992484853855	0.3951268896616897	0.36	0.00125	1.6250494600878629	0.33975589902770803	24.0	162.0	clean	none	none	none	balanced	guarded_within_site_stratified	180	0.15	1.5	54201
800	800	44	0.055	0.04122362792595932	0.07302957189709236	0.05	0.005	0.21403033998761417	0.0440276484591707	24.0	162.0	clean	none	none	none	balanced	naive_global_pooled	180	0.15	1.5	54201
800	800	37	0.04625	0.033738403716588684	0.06309842644006232	0.02	0.02625	0.00962674266630742	0.001304657315068159	48.0	162.0	clean	none	none	none	balanced	guarded_within_site_stratified	180	0.3	1.0	54201
800	800	128	0.16	0.1362295231630031	0.18702011265685667	0.0	0.16	-1.1122045140801768	-0.15693454893436465	48.0	162.0	clean	none	none	none	balanced	naive_global_pooled	180	0.3	1.0	54201
800	800	457	0.57125	0.5366958422369358	0.6051231679037555	0.57125	0.0	2.102652403323842	0.31101693990674784	49.0	162.0	clean	none	none	none	balanced	guarded_within_site_stratified	180	0.3	1.5	54201
800	800	58	0.0725	0.05650070581885901	0.09258523333699402	0.06625	0.00625	0.4147717746193531	0.058637790252752175	49.0	162.0	clean	none	none	none	balanced	naive_global_pooled	180	0.3	1.5	54201
800	800	40	0.05	0.036931386385980994	0.06736960219912745	0.02625	0.02375	0.05633408688587492	0.009030698589003617	43.0	288.0	clean	none	none	none	balanced	guarded_within_site_stratified	320	0.15	1.0	54201
800	800	115	0.14375	0.12113970273925098	0.16976524655729322	0.0	0.14375	-1.0039017426879477	-0.15611058141560658	43.0	288.0	clean	none	none	none	balanced	naive_global_pooled	320	0.15	1.0	54201
800	800	453	0.56625	0.5316719852806203	0.6001948136221277	0.56625	0.0	2.0978356994448175	0.3220551844669577	43.0	288.0	clean	none	none	none	balanced	guarded_within_site_stratified	320	0.15	1.5	54201
800	800	40	0.05	0.036931386385980994	0.06736960219912745	0.04375	0.00625	0.30177523066870704	0.04628467369791507	43.0	288.0	clean	none	none	none	balanced	naive_global_pooled	320	0.15	1.5	54201
800	800	46	0.0575	0.04338329484491769	0.0758460105971056	0.025	0.0325	-0.02712135635820996	-0.0029481766159812537	86.0	288.0	clean	none	none	none	balanced	guarded_within_site_stratified	320	0.3	1.0	54201
