stack	route	n_null_cells	median_null_probability	maximum_null_probability	maximum_ci_low	maximum_ci_high	maximum_family_tail_probability	strict_cell_flag	strict_cell_flag_but_family_compatible	invalid_null_family
attendance_score_only	guarded_within_site_stratified	6	0.050416666666666665	0.05333333333333334	0.04503639802309759	0.0630578599685132	0.8057430059385517	False	False	False
attendance_score_only	naive_global_pooled	6	0.17979166666666666	0.34958333333333336	0.3307602831078259	0.36888713026434905	0.0	True	False	True
attendance_weak_joint	guarded_within_site_stratified	6	0.05416666666666667	0.05708333333333333	0.04848975209110023	0.06709252052558098	0.32469444523464763	False	False	False
attendance_weak_joint	naive_global_pooled	6	0.201875	0.41333333333333333	0.39378608620212185	0.43315757579625036	0.0	True	False	True
clean	guarded_within_site_stratified	6	0.051250000000000004	0.057916666666666665	0.049258714468766084	0.06798756139793077	0.23630538681710256	False	False	False
clean	naive_global_pooled	6	0.19520833333333332	0.385	0.3657309594990205	0.4046365919988196	0.0	True	False	True
death_risk_only	guarded_within_site_stratified	6	0.051041666666666666	0.05708333333333333	0.04848975209110023	0.06709252052558098	0.32469444523464763	False	False	False
death_risk_only	naive_global_pooled	6	0.188125	0.36333333333333334	0.34432383258150434	0.3827796344159289	0.0	True	False	True
death_weak_joint	guarded_within_site_stratified	6	0.05	0.05875	0.05002821591782905	0.06888206319888344	0.1654623128334496	True	True	False
death_weak_joint	naive_global_pooled	6	0.20145833333333335	0.40291666666666665	0.38346378506648915	0.4226798363066874	0.0	True	False	True
separable_all	guarded_within_site_stratified	6	0.051458333333333335	0.058333333333333334	0.049643398483901285	0.0684348790078034	0.1986625884224258	False	False	False
separable_all	naive_global_pooled	6	0.160625	0.32375	0.30532470831970254	0.34273860430198716	0.0	True	False	True
switch_score_only	guarded_within_site_stratified	6	0.049375	0.05416666666666667	0.04580279198779465	0.06395546925383178	0.7090293802459182	False	False	False
switch_score_only	naive_global_pooled	6	0.18312499999999998	0.36875	0.349671727517772	0.38824776060476296	0.0	True	False	True
switch_weak_joint	guarded_within_site_stratified	6	0.04708333333333333	0.058333333333333334	0.049643398483901285	0.0684348790078034	0.1986625884224258	False	False	False
switch_weak_joint	naive_global_pooled	6	0.195625	0.40291666666666665	0.38346378506648915	0.4226798363066874	0.0	True	False	True
weak_joint_all	guarded_within_site_stratified	6	0.057916666666666665	0.06166666666666667	0.0527255656379856	0.0720087248537817	0.03628345153969792	True	False	True
weak_joint_all	naive_global_pooled	6	0.19333333333333336	0.40625	0.3867659285856295	0.4260337057876097	0.0	True	False	True
weak_joint_all_site_linked	guarded_within_site_stratified	6	0.05229166666666667	0.056666666666666664	0.048105476487250436	0.06664479450442293	0.3748568033440708	False	False	False
weak_joint_all_site_linked	naive_global_pooled	6	0.03854166666666667	0.05583333333333333	0.047337343534431905	0.06574892420722582	0.4840550630947831	False	False	False
