combined_stack	route	constituents	all_constituents_calibrated	combined_invalid	compounded_invalidity
separable_all	guarded_within_site_stratified	attendance_score_only;death_risk_only;switch_score_only	True	False	False
separable_all	naive_global_pooled	attendance_score_only;death_risk_only;switch_score_only	False	True	False
weak_joint_all	guarded_within_site_stratified	attendance_weak_joint;death_weak_joint;switch_weak_joint	True	True	True
weak_joint_all	naive_global_pooled	attendance_weak_joint;death_weak_joint;switch_weak_joint	False	True	False
weak_joint_all_site_linked	guarded_within_site_stratified	attendance_weak_joint;death_weak_joint;switch_weak_joint	True	False	False
weak_joint_all_site_linked	naive_global_pooled	attendance_weak_joint;death_weak_joint;switch_weak_joint	False	False	False
