route	route_label	pert_id	cmap_name	target	moa	compound_aliases
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K60287130	BRD-K60287130			5,7-dichlorokynurenic-acid
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K84214706	BRD-K84214706			7-chlorokynurenic-acid
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K60298136	ITE	AHR	Aryl hydrocarbon receptor agonist	ite
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K36739687	stemregenin-1	AHR	Aryl hydrocarbon receptor antagonist	STEMREGENIN-1
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-A31227688	kynuramine			
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K85872723	kynurenic-acid			
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K17849083	tranilast			
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K19533706	tranilast			
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-U24807961	shahrm			
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-A42270467	tenatoprazole	IDO1	ATPase inhibitor	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K63430059	methoxsalen	CYP1A1	DNA synthesis inhibitor	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K94436377	diosmin	AHR	Capillary stabilizing agent	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K61463582	BRD-K61463582	AHR	Aryl hydrocarbon receptor agonist	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K94436377	diosmin	AHR	Aryl hydrocarbon receptor agonist	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-A58955223	sulforaphane	NFE2L2	Aryl hydrocarbon receptor antagonist	
ahr_tryptophan	AHR / tryptophan-kynurenine sensing	BRD-K93255255	indoximod	IDO1	Indoleamine 2,3-dioxygenase inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K24656285	farnesol	MAOB	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K34170797	fexaramine	NR1H4	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K88186167	GW-4064	NR1H4	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K64245000	GW-4064	NR1H4	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K67097529	SR-12813	NR1I2	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K54640016	WAY-362450	NR1H4	FXR agonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	IKK inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	IKK inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K26674531	GR-235	NR1H4	FXR antagonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	FXR antagonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	FXR antagonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K57139258	z-guggulsterone	NR1H4	FXR antagonist	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	Caspase activator	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	Caspase activator	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	Apoptosis stimulant	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	Apoptosis stimulant	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A59808129	guggulsterone	NR1H4	Cholesterol inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-A86109770	guggulsterone	NR1H4	Cholesterol inhibitor	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K45401373	betulinic-acid	GPBAR1	NFkB pathway activator	
bile_acid_fxr_tgr5	Bile-acid receptors FXR/TGR5	BRD-K38744518	betulinic-acid	GPBAR1	NFkB pathway activator	
