gene	routes	broad_tested_compartment_count	broad_positive_compartment_count	broad_negative_compartment_count	broad_positive_fdr10_compartment_count	broad_negative_fdr10_compartment_count	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	top_positive_compartments	ms_wm_delta_log2	ms_wm_p	discovery_priority_score	residual_summary_present	raw_positive_disease_count	retained_positive_disease_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	top_retained_tests	residual_gate_priority_score	residual_test_rows	residual_raw_positive_diseases_from_tests	residual_retained_positive_diseases_from_tests	residual_direction_retained_diseases_from_tests	best_residual_p	best_raw_p	wave19_controller_call	wave19_controller_classes	wave19_controller_local_score	wave19_residual_state_support_diseases	wave19_lysosomal_route	wave19_lysosomal_local_call	local_genetics_rows	local_genetics_max_score	local_genetics_disease_count_any	local_genetics_diseases_any	local_genetics_disease_count_ge_0_5	local_genetics_diseases_ge_0_5	expression_only_flag
IDO1	ahr_tryptophan	13	7	0	0	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		ibd_crohn_myeloid:5.73,p=0.0032;ibd_uc_myeloid:4.95,p=0.0076;ibd_crohn_epithelial:2.71,p=0.025;ibd_crohn_stromal:3.24,p=0.027;psoriasis_skin_stromal:0.324,p=0.03;sjogren_gland_apc:2.42,p=0.032;ibd_uc_epithelial:3.09,p=0.05			19.0	True	3	3	1	0		ibd_crohn_myeloid|hla_ii_apc:1.51,p=0.0076;ibd_crohn_myeloid|complement_effector:1.42,p=0.011;ibd_uc_myeloid|hla_ii_apc:0.974,p=0.012;ibd_crohn_myeloid|lipid_loader_repair:1.64,p=0.013;ibd_crohn_myeloid|core_lysosomal_lipid:1.2,p=0.016;ibd_crohn_myeloid|c1q_phagocytic_myeloid:1.55,p=0.017;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.865,p=0.02;ibd_uc_myeloid|lipid_loader_repair:0.86,p=0.02	5.0	238	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	Crohn disease;Sjogren syndrome;ulcerative colitis	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0047078076347961	0.0066296473218376			0.0	0.0			0	0.0	0		0		False
KYNU	ahr_tryptophan	16	7	1	1	0	4	1	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	Sjogren syndrome	ibd_uc_myeloid:2.37,p=0.00073;ibd_crohn_myeloid:2.03,p=0.0015;sjogren_gland_epithelial:1.2,p=0.0072;ibd_uc_epithelial:2.57,p=0.0078;ibd_uc_stromal:2.66,p=0.031;ibd_crohn_stromal:2.31,p=0.033;psoriasis_keratinocyte:3.88,p=0.045	-0.0567426647334272	0.8832960580858076	17.0	True	2	2	0	0		ibd_uc_myeloid|hla_ii_apc:1.08,p=0.017;ibd_uc_myeloid|c1q_phagocytic_myeloid:1.04,p=0.02;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.611,p=0.023;ibd_uc_epithelial|lipid_loader_repair:0.628,p=0.023;ibd_crohn_myeloid|hla_ii_apc:0.677,p=0.025;ibd_uc_myeloid|lipid_loader_repair:0.884,p=0.026;ibd_crohn_myeloid|complement_effector:0.563,p=0.029;ibd_uc_epithelial|core_lysosomal_lipid:0.603,p=0.03	2.0	238	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	Crohn disease;ulcerative colitis	Crohn disease;ulcerative colitis	0.0001241050216633	0.0077551919900899			0.0	0.0			0	0.0	0		0		False
LTA4H	eicosanoid_receptors	17	3	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid:1.23,p=0.0072;t1d_acinar_cell:0.427,p=0.0087;ibd_uc_myeloid:1.18,p=0.02	0.8088474560590342	0.0063566148101549	19.27253730081992	True	2	2	0	0		ibd_crohn_myeloid|hla_ii_apc:0.291,p=0.0015;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.28,p=0.002;ibd_crohn_myeloid|lipid_loader_repair:0.257,p=0.0028;ibd_crohn_myeloid|complement_effector:0.269,p=0.0034;ibd_crohn_myeloid|complement_phagocytosis:0.261,p=0.0043;ibd_uc_myeloid|hla_ii_apc:0.425,p=0.0067;ibd_crohn_myeloid|mif_cd74_receptor_state:0.243,p=0.0092;ibd_crohn_myeloid|lysosomal_apc:0.215,p=0.014	4.0	238	Crohn disease;ulcerative colitis	Crohn disease;ulcerative colitis	Crohn disease;ulcerative colitis	0.001461591949614	0.0006431810940655			0.0	0.0			0	0.0	0		0		False
PTGS2	eicosanoid_receptors	17	2	0	0	0	2	0	Crohn disease;Sjogren syndrome		ibd_crohn_myeloid:1.35,p=0.018;sjogren_gland_stromal:1.01,p=0.049	-0.3302668666926305	0.2953446140272054	9.0	True	1	1	0	0		ibd_crohn_myeloid|hla_ii_apc:0.337,p=0.012;ibd_crohn_myeloid|mif_cd74_receptor_state:0.313,p=0.038	2.0	238	Crohn disease	Crohn disease	Crohn disease	0.00271244384374	0.0482586210406243			0.0	0.0			0	0.0	0		0		False
FFAR2	scfa_ffar_hcar	14	5	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		ibd_crohn_myeloid:4.21,p=0.0022;ibd_uc_epithelial:2.5,p=0.01;ibd_uc_myeloid:3.48,p=0.011;ibd_crohn_epithelial:1.47,p=0.025;psoriasis_keratinocyte:0.715,p=0.044	-0.2826334061654503	0.7481241345994041	14.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
SGPL1	s1p_receptors	17	4	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_stromal:0.791,p=0.0069;t1d_stellate_cell:0.613,p=0.016;ibd_crohn_epithelial:0.489,p=0.016;ibd_uc_stromal:0.685,p=0.034	0.0602882834996414	0.7206754872087139	13.076260064436688	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
HCAR3	scfa_ffar_hcar	9	3	0	0	0	3	0	Crohn disease;Sjogren syndrome;ulcerative colitis		ibd_uc_myeloid:2.59,p=0.0014;ibd_crohn_myeloid:3.5,p=0.003;sjogren_gland_apc:2.56,p=0.0097	0.1709593568318723	0.7114553432380333	12.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
PTGIR	eicosanoid_receptors	17	4	2	0	0	3	2	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_myeloid:2.75,p=0.0078;psoriasis_skin_stromal:0.783,p=0.013;ibd_crohn_stromal:1.4,p=0.014;ibd_uc_myeloid:2.28,p=0.04	0.7432535657857313	0.4732036963579258	5.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
FPR2	eicosanoid_receptors	7	2	0	2	0	2	0	Crohn disease;ulcerative colitis		ibd_crohn_myeloid:4.64,p=0.00026;ibd_uc_myeloid:4.12,p=0.00059	-0.9326378815790796	0.3722169524391185	12.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
HCAR2	scfa_ffar_hcar	11	2	0	1	0	2	0	Crohn disease;ulcerative colitis		ibd_crohn_myeloid:2.85,p=0.00066;ibd_uc_myeloid:2.27,p=0.0014	-0.0848985387310872	0.8285648340862942	10.0	False	0	0	0	0			0.0	0								0.0	0.0			0	0.0	0		0		True
