n_requested	event_probability	allocation	effect_pattern	n_simulated_cohorts	n_valid_fits	global_positive_count	global_positive_probability	global_positive_ci_low	global_positive_ci_high	minimum_seed_global_positive_probability	all_site_sign_count	all_site_sign_probability	all_site_sign_ci_low	all_site_sign_ci_high	minimum_seed_all_site_sign_probability	all_site_ci_positive_count	all_site_ci_positive_probability	all_site_ci_positive_ci_low	all_site_ci_positive_ci_high	minimum_seed_all_site_ci_positive_probability	all_leave_site_out_ci_positive_count	all_leave_site_out_ci_positive_probability	all_leave_site_out_ci_positive_ci_low	all_leave_site_out_ci_positive_ci_high	minimum_seed_all_leave_site_out_ci_positive_probability	sign_transport_count	sign_transport_probability	sign_transport_ci_low	sign_transport_ci_high	minimum_seed_sign_transport_probability	strict_precision_count	strict_precision_probability	strict_precision_ci_low	strict_precision_ci_high	minimum_seed_strict_precision_probability	median_minimum_site_events_across_seeds	median_widest_site_ci_half_width_across_seeds	median_minimum_site_z_across_seeds	one_site_only_hr15	one_site_reversed_hr15	precision_ready
450	0.15	balanced	homogeneous_hr13	1200	1200	434	0.3616666666666667	0.33496252410584154	0.3892536527275818	0.36	647	0.5391666666666667	0.5108837262363688	0.5671996453830837	0.525	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0025	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.0575	60	0.05	0.039041012521836546	0.06383088802062488	0.0325	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0025	11.0	0.5909079826133695	0.04696062650136487	0.0	0.0	False
450	0.15	balanced	homogeneous_hr15	1200	1200	839	0.6991666666666667	0.6726163521319376	0.7244458992946398	0.69	890	0.7416666666666667	0.7161572475981892	0.7656337687771555	0.735	27	0.0225	0.015508790005400645	0.0325386155702112	0.0175	296	0.24666666666666667	0.22311089307852666	0.2718392138935257	0.2225	226	0.18833333333333332	0.16721954105531994	0.21143618265371816	0.18	22	0.018333333333333333	0.01213783483588724	0.02760282907808073	0.015	12.0	0.5757411288056062	0.5258103975879874	0.0	0.0	False
450	0.15	imbalanced_60_30_10	homogeneous_hr13	1200	1200	419	0.3491666666666667	0.3227150160126375	0.37658093583585417	0.305	654	0.545	0.5167261900075589	0.5729866199381951	0.4875	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	78	0.065	0.052393091788581946	0.08038307873579742	0.0525	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.04	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	12.0	0.5905482720401618	0.10723521981876472	0.0	0.0	False
450	0.15	imbalanced_60_30_10	homogeneous_hr15	1200	1200	844	0.7033333333333334	0.6768728520261644	0.7284961410620567	0.7	865	0.7208333333333333	0.6947785052194055	0.7454788028477197	0.7175	26	0.021666666666666667	0.014828213638331268	0.0315578436049518	0.015	291	0.2425	0.21909686006855766	0.2675465052418508	0.23	220	0.18333333333333332	0.16246266564680795	0.20622496806825746	0.1725	18	0.015	0.009509012635622722	0.02358625794903015	0.01	11.0	0.598472446463153	0.4914509141708391	0.0	0.0	False
450	0.3	balanced	homogeneous_hr13	1200	1200	716	0.5966666666666667	0.5686449001068568	0.6240715064432811	0.5525	831	0.6925	0.6658112053642415	0.7179602594037056	0.6725	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	210	0.175	0.1545480957649856	0.1975260546267921	0.165	203	0.16916666666666666	0.14901840831587682	0.19142630374959946	0.1625	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	25.0	0.39343170241999925	0.36779243899234637	0.0	0.0	False
450	0.3	balanced	homogeneous_hr15	1200	1200	1096	0.9133333333333333	0.8960668146132054	0.927961958221867	0.9	1069	0.8908333333333334	0.8719261167094017	0.9072462511527939	0.885	119	0.09916666666666667	0.08351361169106683	0.11737784045879232	0.08	662	0.5516666666666666	0.5234080421732913	0.5795955544310928	0.5325	640	0.5333333333333333	0.5050451301498083	0.5614088031433427	0.515	118	0.09833333333333333	0.08274586919614174	0.11648423462138863	0.0775	25.0	0.39228463518263357	1.0833211113814816	0.0	0.0	False
450	0.3	imbalanced_60_30_10	homogeneous_hr13	1200	1200	716	0.5966666666666667	0.5686449001068568	0.6240715064432811	0.59	809	0.6741666666666667	0.6471295275475787	0.7000922739091354	0.645	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	216	0.18	0.159294768096585	0.20274747228916534	0.1625	209	0.17416666666666666	0.15375759954961554	0.19665520250983337	0.1575	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	21.0	0.445397487428121	0.3599617558778493	0.0	0.0	False
450	0.3	imbalanced_60_30_10	homogeneous_hr15	1200	1200	1079	0.8991666666666667	0.8808360328999894	0.9149498182854938	0.89	1025	0.8541666666666666	0.8330673613353962	0.8730056799043332	0.8475	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.055	601	0.5008333333333334	0.47258624211695766	0.5290751062153712	0.4925	580	0.48333333333333334	0.45515769115924815	0.5116153421941763	0.4725	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.055	21.0	0.44499119639547596	0.9287708334706315	0.0	0.0	False
600	0.15	balanced	homogeneous_hr13	1200	1200	567	0.4725	0.4443858969573734	0.5007896080757769	0.4625	758	0.6316666666666667	0.6039956992870544	0.6584973372208921	0.625	5	0.004166666666666667	0.0017810244240327924	0.009716717840346006	0.0025	130	0.10833333333333334	0.09198189717988407	0.1271843866255916	0.0975	123	0.1025	0.08658817221917421	0.12094867326000001	0.0925	5	0.004166666666666667	0.0017810244240327924	0.009716717840346006	0.0025	15.0	0.503462199154362	0.22418550400428378	0.0	0.0	False
600	0.15	balanced	homogeneous_hr15	1200	1200	994	0.8283333333333334	0.8059584293898875	0.84861281354765	0.8225	1010	0.8416666666666667	0.8199261341958092	0.8612266820589886	0.83	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.045	474	0.395	0.36771836389772544	0.42295174622884885	0.375	446	0.37166666666666665	0.344774826000899	0.3993775308204695	0.35	60	0.05	0.039041012521836546	0.06383088802062488	0.045	16.0	0.49713659212816075	0.814257068964787	0.0	0.0	False
