n_requested	event_probability	allocation	effect_pattern	n_simulated_cohorts	n_valid_fits	median_minimum_site_events	median_widest_site_ci_half_width	median_minimum_site_z	global_positive_count	global_positive_probability	global_positive_ci_low	global_positive_ci_high	all_site_sign_count	all_site_sign_probability	all_site_sign_ci_low	all_site_sign_ci_high	all_site_ci_positive_count	all_site_ci_positive_probability	all_site_ci_positive_ci_low	all_site_ci_positive_ci_high	all_leave_site_out_ci_positive_count	all_leave_site_out_ci_positive_probability	all_leave_site_out_ci_positive_ci_low	all_leave_site_out_ci_positive_ci_high	sign_transport_count	sign_transport_probability	sign_transport_ci_low	sign_transport_ci_high	strict_precision_count	strict_precision_probability	strict_precision_ci_low	strict_precision_ci_high	seed
450	0.15	balanced	null	400	400	11.0	0.592305438658999	-0.7873859089510675	5	0.0125	0.005350750779971611	0.028923736195967484	54	0.135	0.10496299061600528	0.1719809842480312	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
450	0.15	imbalanced_60_30_10	null	400	400	11.0	0.5914588150308341	-0.8440576396762447	12	0.03	0.017243020965143054	0.05169853570909567	45	0.1125	0.08514845878595949	0.14722356932312028	0	0.0	8.673617379884035e-19	0.009512294334296508	2	0.005	0.0013722529547103846	0.018044918436243156	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
450	0.3	balanced	null	400	400	25.0	0.39380986084174796	-0.860170237696408	8	0.02	0.010168386791664645	0.03896341576926	39	0.0975	0.07214511778538757	0.1305122791537211	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
450	0.3	imbalanced_60_30_10	null	400	400	21.0	0.4392182730501364	-0.8229286459808992	10	0.025	0.013635091745936023	0.045401587871645666	56	0.14	0.10940962137459034	0.1774392305461032	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
600	0.15	balanced	null	400	400	15.0	0.5031889750162226	-0.830462723670853	10	0.025	0.013635091745936023	0.045401587871645666	44	0.11	0.08296867911910685	0.1444509104616444	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
600	0.15	imbalanced_60_30_10	null	400	400	15.0	0.5082853411696584	-0.8589393665725201	10	0.025	0.013635091745936023	0.045401587871645666	47	0.1175	0.08952194095010377	0.15275496421563303	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
600	0.3	balanced	null	400	400	34.0	0.340768664699731	-0.8030368653636697	8	0.02	0.010168386791664645	0.03896341576926	45	0.1125	0.08514845878595949	0.14722356932312028	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
600	0.3	imbalanced_60_30_10	null	400	400	29.0	0.378613933823622	-0.8452736697241281	11	0.0275	0.015423636260295411	0.048565481885614784	45	0.1125	0.08514845878595949	0.14722356932312028	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
900	0.15	balanced	null	400	400	23.0	0.4090929327625464	-0.8945068183273316	8	0.02	0.010168386791664645	0.03896341576926	47	0.1175	0.08952194095010377	0.15275496421563303	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
900	0.15	imbalanced_60_30_10	null	400	400	24.0	0.4085865297089456	-0.7822433601912266	12	0.03	0.017243020965143054	0.05169853570909567	52	0.13	0.10053125228664084	0.1665078455207386	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
900	0.3	balanced	null	400	400	50.0	0.27738424621765095	-0.8492059462083518	10	0.025	0.013635091745936023	0.045401587871645666	50	0.125	0.09611512323676381	0.1610190975139586	0	0.0	8.673617379884035e-19	0.009512294334296508	1	0.0025	0.0004414477868016362	0.01402328507582339	1	0.0025	0.0004414477868016362	0.01402328507582339	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
900	0.3	imbalanced_60_30_10	null	400	400	42.0	0.3065782521683261	-0.828161754229179	9	0.0225	0.011881583530495034	0.04220265755875813	45	0.1125	0.08514845878595949	0.14722356932312028	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
1500	0.15	balanced	null	400	400	38.0	0.31700080016840904	-0.8421859863839978	9	0.0225	0.011881583530495034	0.04220265755875813	52	0.13	0.10053125228664084	0.1665078455207386	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	0	0.0	8.673617379884035e-19	0.009512294334296508	55431
