n_requested	event_probability	allocation	effect_pattern	n_simulated_cohorts	n_valid_fits	global_positive_count	global_positive_probability	global_positive_ci_low	global_positive_ci_high	minimum_seed_global_positive_probability	all_site_sign_count	all_site_sign_probability	all_site_sign_ci_low	all_site_sign_ci_high	minimum_seed_all_site_sign_probability	all_site_ci_positive_count	all_site_ci_positive_probability	all_site_ci_positive_ci_low	all_site_ci_positive_ci_high	minimum_seed_all_site_ci_positive_probability	all_leave_site_out_ci_positive_count	all_leave_site_out_ci_positive_probability	all_leave_site_out_ci_positive_ci_low	all_leave_site_out_ci_positive_ci_high	minimum_seed_all_leave_site_out_ci_positive_probability	sign_transport_count	sign_transport_probability	sign_transport_ci_low	sign_transport_ci_high	minimum_seed_sign_transport_probability	strict_precision_count	strict_precision_probability	strict_precision_ci_low	strict_precision_ci_high	minimum_seed_strict_precision_probability	median_minimum_site_events_across_seeds	median_widest_site_ci_half_width_across_seeds	median_minimum_site_z_across_seeds
450	0.15	balanced	homogeneous_hr13	1200	1200	434	0.3616666666666667	0.33496252410584154	0.3892536527275818	0.36	647	0.5391666666666667	0.5108837262363688	0.5671996453830837	0.525	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0025	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.0575	60	0.05	0.039041012521836546	0.06383088802062488	0.0325	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0025	11.0	0.5909079826133695	0.04696062650136487
450	0.15	balanced	homogeneous_hr15	1200	1200	839	0.6991666666666667	0.6726163521319376	0.7244458992946398	0.69	890	0.7416666666666667	0.7161572475981892	0.7656337687771555	0.735	27	0.0225	0.015508790005400645	0.0325386155702112	0.0175	296	0.24666666666666667	0.22311089307852666	0.2718392138935257	0.2225	226	0.18833333333333332	0.16721954105531994	0.21143618265371816	0.18	22	0.018333333333333333	0.01213783483588724	0.02760282907808073	0.015	12.0	0.5757411288056062	0.5258103975879874
450	0.15	balanced	null	1200	1200	22	0.018333333333333333	0.01213783483588724	0.02760282907808073	0.0125	136	0.11333333333333333	0.09661774402157602	0.1325166297778723	0.0925	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	11.0	0.587958743711515	-0.8102049256714978
450	0.15	balanced	one_site_only_hr15	1200	1200	80	0.06666666666666667	0.053890931096324014	0.08220793609271289	0.06	273	0.2275	0.20467240595227312	0.2520666893762174	0.215	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	9	0.0075	0.003950744027501389	0.014192391566192508	0.005	8	0.006666666666666667	0.003381911675911539	0.013099875585453582	0.0025	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	12.0	0.5684528582935635	-0.5716338159077212
450	0.15	balanced	one_site_reversed_hr15	1200	1200	43	0.035833333333333335	0.026710684549926922	0.047918294342945325	0.03	44	0.03666666666666667	0.027426059843153	0.048864267382048014	0.02	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	12.0	0.5736864892907583	-1.76149474209913
450	0.15	imbalanced_60_30_10	homogeneous_hr13	1200	1200	419	0.3491666666666667	0.3227150160126375	0.37658093583585417	0.305	654	0.545	0.5167261900075589	0.5729866199381951	0.4875	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	78	0.065	0.052393091788581946	0.08038307873579742	0.0525	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.04	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	12.0	0.5905482720401618	0.10723521981876472
450	0.15	imbalanced_60_30_10	homogeneous_hr15	1200	1200	844	0.7033333333333334	0.6768728520261644	0.7284961410620567	0.7	865	0.7208333333333333	0.6947785052194055	0.7454788028477197	0.7175	26	0.021666666666666667	0.014828213638331268	0.0315578436049518	0.015	291	0.2425	0.21909686006855766	0.2675465052418508	0.23	220	0.18333333333333332	0.16246266564680795	0.20622496806825746	0.1725	18	0.015	0.009509012635622722	0.02358625794903015	0.01	11.0	0.598472446463153	0.4914509141708391
450	0.15	imbalanced_60_30_10	null	1200	1200	30	0.025	0.01756709059517496	0.03546435997742321	0.015	152	0.12666666666666668	0.10903206614603636	0.1466838809706724	0.1125	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	3	0.0025	0.0008505818993887718	0.007324463700332479	0.0	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	11.0	0.5914588150308341	-0.8440576396762447
450	0.15	imbalanced_60_30_10	one_site_only_hr15	1200	1200	272	0.22666666666666666	0.2038722790059714	0.2512054679901903	0.2175	280	0.23333333333333334	0.21027697421450603	0.25809155944028594	0.2075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	24	0.02	0.013476268672128098	0.029587091906497436	0.015	18	0.015	0.009509012635622722	0.02358625794903015	0.0075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	11.0	0.593019179648263	-0.5733154113140435
450	0.15	imbalanced_60_30_10	one_site_reversed_hr15	1200	1200	423	0.3525	0.3259790539544749	0.3799622912233318	0.3275	149	0.12416666666666666	0.10669893783785533	0.14403296428186707	0.1075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	28	0.023333333333333334	0.016192221802047435	0.03351653210589319	0.02	11	0.009166666666666667	0.005126148473237232	0.016339683785114217	0.0075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	11.0	0.5963816777181831	-0.9964802638403678
450	0.3	balanced	homogeneous_hr13	1200	1200	716	0.5966666666666667	0.5686449001068568	0.6240715064432811	0.5525	831	0.6925	0.6658112053642415	0.7179602594037056	0.6725	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	210	0.175	0.1545480957649856	0.1975260546267921	0.165	203	0.16916666666666666	0.14901840831587682	0.19142630374959946	0.1625	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	25.0	0.39343170241999925	0.36779243899234637
450	0.3	balanced	homogeneous_hr15	1200	1200	1096	0.9133333333333333	0.8960668146132054	0.927961958221867	0.9	1069	0.8908333333333334	0.8719261167094017	0.9072462511527939	0.885	119	0.09916666666666667	0.08351361169106683	0.11737784045879232	0.08	662	0.5516666666666666	0.5234080421732913	0.5795955544310928	0.5325	640	0.5333333333333333	0.5050451301498083	0.5614088031433427	0.515	118	0.09833333333333333	0.08274586919614174	0.11648423462138863	0.0775	25.0	0.39228463518263357	1.0833211113814816
450	0.3	balanced	null	1200	1200	28	0.023333333333333334	0.016192221802047435	0.03351653210589319	0.02	143	0.11916666666666667	0.10204006080625294	0.13872375131949682	0.0975	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	3	0.0025	0.0008505818993887718	0.007324463700332479	0.0	3	0.0025	0.0008505818993887718	0.007324463700332479	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	25.0	0.3951037114544956	-0.8211579652158634
450	0.3	balanced	one_site_only_hr15	1200	1200	142	0.11833333333333333	0.10126456619264831	0.13783789760077264	0.1025	304	0.25333333333333335	0.2295396608347833	0.27870123279589926	0.2375	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	20	0.016666666666666666	0.01081468204022554	0.025603285209084888	0.0125	20	0.016666666666666666	0.01081468204022554	0.025603285209084888	0.0125	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	26.0	0.3893171435663859	-0.5183777176535365
450	0.3	balanced	one_site_reversed_hr15	1200	1200	58	0.04833333333333333	0.037574011009416555	0.06197519286838732	0.035	15	0.0125	0.00758963685401205	0.020521588733654502	0.0075	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	2	0.0016666666666666668	0.00045717916470629574	0.006056518102686179	0.0	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	25.0	0.39368150532217555	-2.213846917566843
450	0.3	imbalanced_60_30_10	homogeneous_hr13	1200	1200	716	0.5966666666666667	0.5686449001068568	0.6240715064432811	0.59	809	0.6741666666666667	0.6471295275475787	0.7000922739091354	0.645	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	216	0.18	0.159294768096585	0.20274747228916534	0.1625	209	0.17416666666666666	0.15375759954961554	0.19665520250983337	0.1575	16	0.013333333333333334	0.008223626029584015	0.021548947890411313	0.01	21.0	0.445397487428121	0.3599617558778493
450	0.3	imbalanced_60_30_10	homogeneous_hr15	1200	1200	1079	0.8991666666666667	0.8808360328999894	0.9149498182854938	0.89	1025	0.8541666666666666	0.8330673613353962	0.8730056799043332	0.8475	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.055	601	0.5008333333333334	0.47258624211695766	0.5290751062153712	0.4925	580	0.48333333333333334	0.45515769115924815	0.5116153421941763	0.4725	85	0.07083333333333333	0.05764621629135312	0.08675939255932767	0.055	21.0	0.44499119639547596	0.9287708334706315
450	0.3	imbalanced_60_30_10	null	1200	1200	31	0.025833333333333333	0.01825827524499464	0.03643452365993231	0.02	159	0.1325	0.11448517636972877	0.1528602090732814	0.115	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	3	0.0025	0.0008505818993887718	0.007324463700332479	0.0	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	21.0	0.4392182730501364	-0.8232728792091009
