gene	call	fresh_score	support_channels	ms	broad_cell_state	response	genetics	perturbation_or_model	modality	ms_delta_log2	ms_p	ms_fdr	broad_positive_disease_count	response_contexts	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave55_genetic_disease_count	blocker_flag	blocker_text	would_have_been_substring_closed
NAMPT-AS1	NO_GO_FRESH_SCAN	0.4	0	False	False	False	False	False	False	0.0	1.0	1.0	2	0	0	0	0	False	    	True
ANXA10	NO_GO_FRESH_SCAN	0.2	0	False	False	False	False	False	False	0.0	1.0	1.0	1	0	0	0	0	False	    	True
CD93	NO_GO_FRESH_SCAN	0.2	0	False	False	False	False	False	False	-0.8291549930735709	0.1388677786160819	0.8989378106274888	1	0	0	0	0	False	    	True
PIMREG	NO_GO_FRESH_SCAN	0.2	0	False	False	False	False	False	False	0.0	1.0	1.0	1	0	0	0	0	False	    	True
PRPSAP1	NO_GO_FRESH_SCAN	0.2	0	False	False	False	False	False	False	-0.1116820254147477	0.494972949199357	0.9274484982877348	1	0	0	0	0	False	    	True
PRPSAP2	NO_GO_FRESH_SCAN	0.2	0	False	False	False	False	False	False	0.2216512453351651	0.1953037242978318	0.8993702893651148	1	0	0	0	0	False	    	True
ANXA11	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.14717539449253	0.520699742343635	0.9352591033176444	0	0	0	0	2	False	    	True
ANXA13	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.0	1.0	1.0	0	0	0	0	0	False	    	True
CD44-AS1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.0	1.0	1.0	0	0	0	0	0	False	    	True
CD44-DT	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.0	1.0	1.0	0	0	0	0	0	False	    	True
CD96	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	-0.6117700071889192	0.6215949380167836	0.9490245393797272	0	0	0	0	0	False	    	True
CD99	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.0962331213595018	0.4281481381960551	0.9195199515584406	0	0	0	0	0	False	    	True
CD99L2	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	-0.0741348549036491	0.7245573580965913	0.9677805697088556	0	0	0	0	0	False	    	True
CD99P1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.5814744378032985	0.1426192179529626	0.8989378106274888	0	0	0	0	0	False	    	True
CSPP1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	-0.0496585130590236	0.843871159745447	0.9761732664217524	0	0	0	0	0	False	    	True
DAB2IP	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.3948030385189298	0.5247881831895129	0.9356560417077476	0	0	0	0	0	False	    	True
FABP5P3	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	-0.5397404079778285	0.6004665417573612	0.9466965949245808	0	0	0	0	0	False	    	True
LYNX1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.6661446495344538	0.0873845195659498	0.8989378106274888	0	0	0	0	0	False	    	True
PSAPL1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.0	1.0	1.0	0	0	0	0	0	False	    	True
RPSAP58	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.1141014376523354	0.4292568566947495	0.9195199515584406	0	0	0	0	0	False	    	True
RPSAP9	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.5493329798975717	0.3764101507497589	0.9141270983319502	0	0	0	0	0	False	    	True
YWHAEP1	NO_GO_FRESH_SCAN	0.0	0	False	False	False	False	False	False	0.1208246866152213	0.8834996164516463	0.984156675655436	0	0	0	0	0	False	    	True
