candidate	source	count_or_signal	top_hits
ATOX1	PubMed	17	PMID:39589160; PMID:38796413; PMID:36139494; PMID:30545441; PMID:31553645
ATOX1	Europe PMC	742	PMID:41892335;DOI:10.3390/cells15060545 | 2026 | Cells | Multifaceted Role of Copper Homeostasis in Gut Health: From Molecular Mechanisms to Therapeutic Interventions.; PMID:40148470;DOI:10.1038/s41598-025-94053-7 | 2025 | Sci Rep | Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy.; PMID:41985411;DOI:10.1016/j.redox.2026.104164 | 2026 | Redox Biol | Glutaredoxin 1 promotes intestinal epithelial cell copper toxicity in inflammatory bowel disease.; PMID:39970778;DOI:10.1016/j.redox.2025.103552 | 2025 | Redox Biol | Copper in melanoma: At the crossroad of protumorigenic and anticancer roles.; PMID:41837409;DOI:10.1080/15384047.2026.2644674 | 2026 | Cancer Biol Ther | The role of copper and cuproptosis in digestive system cancers: novel therapeutic strategies and mechanistic insights.
ATOX1	Europe PMC preprints	6	DOI:10.21203/rs.3.rs-910516/v1 | 2021 | PPR | Differential Brain and Cerebrospinal Fluid Proteomic Responses To Acute Prenatal Endotoxin Exposure; DOI:10.1101/2025.06.12.659348 | 2025 | PPR | Spatially-distinct programming of macrophage diversity within the granulomas of  <i>Mycobacterium tuberculosis</i>  infected nonhuman primat; DOI:10.21203/rs.3.rs-2379226/v1 | 2023 | PPR | Proteomic Characterization of Acute Kidney Injury in Patients Hospitalized with SARS-CoV2 Infection; DOI:10.1101/2021.12.09.21267548 | 2021 | PPR | Proteomic Characterization of Acute Kidney Injury in Patients Hospitalized with SARS-CoV2 Infection; DOI:10.1101/2021.03.28.437379 | 2021 | PPR | High-dimensional profiling demonstrates complexity, tissue imprinting, and lineage-specific precursors within the mononuclear phagocyte comp
ATOX1	ClinicalTrials.gov	0	
ATOX1	Google Patents	5	HTML saved; result-count not parsed
ATOX1	ChEMBL	target_hits:0	
ATOX1	UniProt	3	O00244 | ATOX1 | Copper transport protein ATOX1; E5RIM7 | ATOX1 | Copper transport protein ATOX1; E5RGN3 | ATOX1 | Copper transport protein ATOX1
SQLE	PubMed	37	PMID:40695827; PMID:35867799; PMID:40865345; PMID:40762538; PMID:40145543
SQLE	Europe PMC	2134	PMID:41688662;DOI:10.1038/s41598-026-38233-z | 2026 | Sci Rep | Network and molecular insights into the antidiabetic potential of squalene in alloxan-induced diabetes.; PMID:42075762;DOI:10.3390/pathogens15040435 | 2026 | Pathogens | Molecular Characterization and Preliminary NGS Profiling of Terbinafine-Resistant &lt;i&gt;Trichophyton indotineae&lt;/i&gt; Isolates in Ita; PMID:41804367;DOI:10.2147/idr.s592684 | 2026 | Infect Drug Resist | Global Emergence of &lt;i&gt;Trichophyton mentagrophytes&lt;/i&gt; ITS Genotype VIII (&lt;i&gt;Trichophyton indotineae&lt;/i&gt;): A Scoping; PMID:41833674;DOI:10.1016/j.ijbiomac.2026.151416 | 2026 | Int J Biol Macromol | Bletilla striata polysaccharide alleviates obesity by remodeling the gut microbiota-metabolite-liver axis and suppressing the hepatic AMPK-S; PMID:40762538;DOI:10.1167/iovs.66.11.9 | 2025 | Invest Ophthalmol Vis Sci | Effects of Cholesterol Metabolism on Corneal Endothelial Dysfunction in Patients With Type 1 Diabetes.
SQLE	Europe PMC preprints	17	DOI:10.1101/2024.05.10.590792 | 2024 | PPR | 25-hydroxycholesterol promotes brain endothelial dysfunction by remodelling cholesterol metabolism; DOI:10.1101/2024.11.29.626085 | 2024 | PPR | DNA methylation and gene expression trajectories of human postprandial metabolism; DOI:10.21203/rs.3.rs-9384143/v1 | 2026 | PPR | A unique transcriptomic landscape defines African-specific grade group 1 prostate cancer; DOI:10.1101/2025.08.12.669757 | 2025 | PPR | Meal timing is a critical factor for maintenance of gut homeostasis around the clock; DOI:10.21203/rs.3.rs-2616509/v1 | 2023 | PPR | PTEN acts as a metabolic checkpoint molecule in mature B cells to suppress TLR9-mediated inflammation
SQLE	ClinicalTrials.gov	3	NCT07365423 | RECRUITING | Recurrent Prostate Cancer | Terbinafine for Biochemically Recurrent Prostate Cancer (TerbinaPro); NCT07148141 | ACTIVE_NOT_RECRUITING | Breast Cancer Female, Infertility, Female | Impact of Breast Cancer on Human Folliculogenesis; NCT04724044 | COMPLETED | Community-acquired Pneumonia, Sepsis, Inflammatory Response | Anti-inflammatory Action of Oral Clarithromycin in Community-acquired Pneumonia
SQLE	Google Patents	5	HTML saved; result-count not parsed
SQLE	ChEMBL	CHEMBL3592:100	CHEMBL5436 | Squalene epoxidase | Sus scrofa | SINGLE PROTEIN; CHEMBL4241 | Squalene monooxygenase | Rattus norvegicus | SINGLE PROTEIN; CHEMBL3592 | Squalene monooxygenase | Homo sapiens | SINGLE PROTEIN
SQLE	UniProt	3	Q14534 | SQLE | Squalene monooxygenase; E7EVQ6 | SQLE | Squalene monooxygenase; H0YBN7 | SQLE | Squalene monooxygenase
LDLRAD3	PubMed	1	PMID:37752970
LDLRAD3	Europe PMC	174	PMID:40733635;DOI:10.3390/v17071019 | 2025 | Viruses | Insights into the Landscape of Alphavirus Receptor and Antibody Interactions.; PMID:41600940;DOI:10.3390/vaccines14010023 | 2025 | Vaccines (Basel) | Venezuelan Equine Encephalitis Virus: Structural Biology, Vaccines, and Advances in Functional Antibodies.; PMID:42004740;DOI:10.1016/j.imj.2026.100249 | 2026 | Infect Med (Beijing) | Current status on encephalitic alphavirus vaccines development: Advances, challenges, and global health perspectives.; 2026 | Pathogens | Silent Intruders: The Gut Virome in Brain Aging and Cognitive Decline; PMID:41862693;DOI:10.1038/s44298-026-00186-5 | 2026 | Npj Viruses | Venezuelan equine encephalitis virus: novel live-attenuated vaccines for inducing complete protective immunity.
LDLRAD3	Europe PMC preprints	1	DOI:10.1101/2025.08.04.25332125 | 2025 | PPR | Multi-omic triangulation identifies molecular candidates of atopic dermatitis severity
LDLRAD3	ClinicalTrials.gov	0	
LDLRAD3	Google Patents	5	HTML saved; result-count not parsed
LDLRAD3	ChEMBL	target_hits:0	
LDLRAD3	UniProt	2	Q86YD5 | LDLRAD3 | Low-density lipoprotein receptor class A domain-containing protein 3; E9PR86 | LDLRAD3
IL15	PubMed	2335	PMID:32017656; PMID:35173738; PMID:35606650; PMID:38172242; PMID:39604730
IL15	Europe PMC	38993	PMID:41107624;DOI:10.1007/s00011-025-02084-7 | 2025 | Inflamm Res | Interleukin 15 and autoimmune disorders: pathophysiology, therapeutic potential, and clinical implications.; PMID:41978157;DOI:10.3390/nu18071107 | 2026 | Nutrients | Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated Systematic Review and Meta-Analysis of Randomized ; PMID:41257445;DOI:10.1080/07853890.2025.2587931 | 2025 | Ann Med | Chronic obstructive pulmonary disease (COPD) and autoimmune diseases: unravelling complex interactions.; PMID:41041077;DOI:10.7150/thno.121766 | 2025 | Theranostics | GM-CSF&lt;sup&gt;+&lt;/sup&gt; Th: a central player in autoimmunity.; PMID:41472521;DOI:10.1080/1744666x.2025.2611897 | 2026 | Expert Rev Clin Immunol | The role of interleukin-15 in the spectrum of inflammatory diseases.
IL15	Europe PMC preprints	476	DOI:10.21203/rs.3.rs-7272649/v1 | 2025 | PPR | Unveiling the miR-26b-3p/XAF1 Axis: A New Frontier in Systemic Lupus Erythematosus Inflammation Running Head: miR-26b-3p–XAF1 regulation in ; DOI:10.21203/rs.3.rs-9648114/v1 | 2026 | PPR | Critical Dynamics of Peripheral Immune Tolerance: A Treg-Tpex Antagonism Framework for Phase Transition and Immune State Stratification; DOI:10.64898/2026.05.07.723340 | 2026 | PPR | Nephrotoxicity of Immune Checkpoint Inhibitors in Mice with a Human Immune System; DOI:10.1101/2025.09.23.677874 | 2025 | PPR | Functional and dysfunctional T regulatory cell states in human tissues in RA and other autoimmune arthritic diseases; DOI:10.1101/2023.07.25.23293146 | 2023 | PPR | Plasma proteomic profiles of UK Biobank participants with Multiple Sclerosis
IL15	ClinicalTrials.gov	5	NCT07553390 | NOT_YET_RECRUITING | Breast Cancer | Phase 1b Study Of TRICK-NK In Combination With T-Dxd In Treatment-Refractory Breast Cancers; NCT03683147 | COMPLETED | Stage IV Breast Cancer | Mindfulness-Based Stress Reduction in Helping Participants With Metastatic Breast Cancer; NCT02138734 | ACTIVE_NOT_RECRUITING | Non-muscle Invasive Bladder Cancer | A Study of Intravesical BCG in Combination With ALT-803 in Patients With Non-Muscle Invasive Bladder Cancer; NCT03563157 | TERMINATED | Colorectal Cancer Metastatic, mCRC | QUILT 3.071: NANT Colorectal Cancer (CRC) Vaccine; NCT06418295 | NOT_YET_RECRUITING | Chronic Post Operative Pain | Cytokine Alterations and Chronic Post-Surgical Pain
IL15	Google Patents	5	HTML saved; result-count not parsed
IL15	ChEMBL	CHEMBL4106128:108;CHEMBL3712954:51;CHEMBL4665586:0	CHEMBL4106128 | IL15-IL15 receptor | Homo sapiens | PROTEIN-PROTEIN INTERACTION; CHEMBL3712954 | Interleukin-15 | Homo sapiens | SINGLE PROTEIN; CHEMBL4879439 | Interleukin-15 | Mus musculus | SINGLE PROTEIN; CHEMBL4665586 | Interleukin-21 | Homo sapiens | SINGLE PROTEIN; CHEMBL4665592 | Interleukin-15 receptor | Homo sapiens | PROTEIN COMPLEX
IL15	UniProt	1	P40933 | IL15 | Interleukin-15
CD82	PubMed	34	PMID:40731107; PMID:31408613; PMID:40896540; PMID:29980577; PMID:40299574
CD82	Europe PMC	2513	PMID:41096634;DOI:10.3390/ijms26199365 | 2025 | Int J Mol Sci | Special Issue: Autoimmune Diseases: A Swing Dance of Immune Cells.; PMID:41895287;DOI:10.1016/j.xcrm.2026.102703 | 2026 | Cell Rep Med | Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease.; PMID:42040173;DOI:10.3390/lymphatics4010001 | 2026 | Lymphatics | Pancreatic Lymphatics in Health and Disease: Evolution, Embryology, and Neural Control.; PMID:40731107;DOI:10.1038/s44161-025-00686-2 | 2025 | Nat Cardiovasc Res | Tetraspanin-enriched membrane domains regulate vascular leakage by altering membrane cholesterol accessibility to balance antagonistic GTPas; PMID:40396297;DOI:10.2174/0115665240371789250425113320 | 2025 | Curr Mol Med | CD82 Methylation Patterns in Inflammatory Arthritis and their Clinical Association with Hypertension in Rheumatoid Arthritis.
CD82	Europe PMC preprints	9	DOI:10.2139/ssrn.3885240 | 2021 | PPR | Maturation Trajectories and Transcriptional Landscape of Plasmablasts and Autoreactive B Cells in COVID-19; DOI:10.1101/2024.12.10.627805 | 2024 | PPR | Enhancer lncRNA LOC730338 modulates BCR signaling and immune evasion in lymphoma by regulating RNA homeostasis; DOI:10.1101/2022.12.19.521064 | 2022 | PPR | Different B cell activation patterns in asymptomatic and symptomatic COVID-19 patients; DOI:10.1101/2022.10.25.513771 | 2022 | PPR | Proximity-dependent labeling identifies dendritic cells that drive the tumor-specific CD4  <sup>+</sup>  T cell response; DOI:10.1101/2024.11.20.624470 | 2024 | PPR | Intrinsic and extrinsic mechanisms alter neural cell fate specification in EPM1 Epilepsy
