gene	source	selection_reasons	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	raw_positive_disease_count	retained_positive_disease_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	residual_gate_priority_score	top_retained_tests
ATOX1	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	four_disease_low_contradiction;top_rank	4.0	0.0	False	0.5235633697570927	0.5641167566536998	3	3	1	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	19	ibd_uc_stromal|complement_effector:0.547,p=0.00029;ibd_uc_stromal|ifn_apc:0.548,p=0.00045;ibd_uc_stromal|hla_ii_apc:0.529,p=0.00078;ibd_uc_stromal|lysosomal_apc:0.51,p=0.0012;ibd_crohn_stromal|inflammatory_nfkb:0.277,p=0.0058;ibd_crohn_stromal|hif_nampt_metabolic:0.264,p=0.0058;ibd_crohn_stromal|complement_effector:0.438,p=0.006;ibd_uc_stromal|lipid_loader_repair:0.425,p=0.0068
SQLE	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	four_disease_low_contradiction;top_rank	4.0	0.0	False	-0.3408177110309154	0.3307572199460259	3	3	1	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	19	ibd_uc_stromal|complement_effector:0.483,p=0.00052;ibd_uc_stromal|hla_ii_apc:0.466,p=0.00058;ibd_uc_stromal|lysosomal_apc:0.474,p=0.0011;ibd_uc_stromal|ifn_apc:0.476,p=0.0011;psoriasis_skin_stromal|lipid_loader_repair:0.296,p=0.0021;ibd_uc_stromal|core_lysosomal_lipid:0.385,p=0.0036;ibd_uc_stromal|lipid_loader_repair:0.379,p=0.0059;ibd_uc_stromal|hif_nampt_metabolic:0.37,p=0.0059
LDLRAD3	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	top_rank	3.0	0.0	False	0.174502585370285	0.8376004526982199	3	3	1	2	ibd_crohn_stromal:Crohn disease;ibd_uc_stromal:ulcerative colitis	19	ibd_uc_stromal|complement_effector:0.655,p=0.001;ibd_uc_stromal|hla_ii_apc:0.605,p=0.0027;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.374,p=0.0038;ibd_uc_stromal|lysosomal_apc:0.661,p=0.004;ibd_uc_stromal|ifn_apc:0.655,p=0.0046;ibd_crohn_stromal|complement_effector:0.649,p=0.0065;ibd_crohn_stromal|lysosomal_apc:0.637,p=0.008;ibd_crohn_stromal|inflammatory_nfkb:0.637,p=0.0084
IL15	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	1.1957614008388182	0.1225512579945805	3	2	2	0		6	psoriasis_skin_stromal|inflammatory_nfkb:0.272,p=0.014;psoriasis_skin_stromal|hif_nampt_metabolic:0.256,p=0.018;sjogren_gland_apc|hif_nampt_metabolic:0.225,p=0.025;sjogren_gland_apc|lysosomal_apc:0.219,p=0.03;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.238,p=0.031;sjogren_gland_apc|hla_ii_apc:0.222,p=0.031;psoriasis_skin_stromal|lipid_loader_repair:0.259,p=0.035;sjogren_gland_apc|mif_cd74_receptor_state:0.212,p=0.043
CD82	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	0.5036946542270737	0.1728910748647989	1	1	0	0		1	ibd_uc_stromal|complement_effector:0.686,p=0.0018;ibd_uc_stromal|hla_ii_apc:0.701,p=0.018;ibd_uc_stromal|ifn_apc:0.636,p=0.019;ibd_uc_stromal|lysosomal_apc:0.702,p=0.024;ibd_uc_stromal|inflammatory_nfkb:0.691,p=0.027
PSME1	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	-0.2037368565985371	0.3993275020823	3	3	2	0		7	t1d_acinar_cell|lysosomal_apc:0.362,p=4.5e-05;ibd_uc_myeloid|lipid_loader_repair:0.421,p=0.0036;t1d_acinar_cell|ifn_apc:0.342,p=0.0048;t1d_acinar_cell|complement_phagocytosis:0.464,p=0.0091;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.36,p=0.01;ibd_uc_myeloid|hla_ii_apc:0.354,p=0.011;ibd_uc_myeloid|complement_effector:0.382,p=0.011;t1d_ductal_cell|complement_phagocytosis:0.437,p=0.02
PSME2	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	-0.2525338557141818	0.4970034386143676	2	2	1	0		4	ibd_uc_stromal|complement_effector:0.421,p=0.00039;ibd_uc_myeloid|lipid_loader_repair:0.599,p=0.0038;psoriasis_skin_apc|mif_cd74_receptor_state:0.714,p=0.0045;ibd_uc_stromal|lysosomal_apc:0.423,p=0.0056;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.558,p=0.0061;ibd_uc_stromal|ifn_apc:0.417,p=0.0081;psoriasis_skin_apc|hif_nampt_metabolic:0.791,p=0.0082;ibd_uc_myeloid|hla_ii_apc:0.513,p=0.0089
POMP	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	-0.0430089608388559	0.762824900529835	3	2	1	0		4	psoriasis_skin_stromal|inflammatory_nfkb:0.296,p=0.0012;psoriasis_skin_stromal|hif_nampt_metabolic:0.307,p=0.0016;ibd_uc_stromal|hla_ii_apc:0.415,p=0.0052;ibd_uc_stromal|ifn_apc:0.467,p=0.0056;psoriasis_skin_stromal|lipid_loader_repair:0.28,p=0.0067;ibd_uc_stromal|complement_effector:0.459,p=0.0088;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.295,p=0.0093;ibd_uc_stromal|lysosomal_apc:0.461,p=0.01
IFITM2	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	-0.5240543955909676	0.2031260631187718	4	4	2	0		8	ibd_crohn_myeloid|hla_ii_apc:1.25,p=0.00058;ibd_uc_myeloid|hla_ii_apc:1.09,p=0.0039;t1d_acinar_cell|mif_cd74_receptor_state:0.513,p=0.0064;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.856,p=0.007;t1d_ductal_cell|complement_phagocytosis:0.666,p=0.0074;ibd_uc_myeloid|lipid_loader_repair:0.877,p=0.0077;psoriasis_keratinocyte|inflammatory_nfkb:0.299,p=0.0091;t1d_stellate_cell|c1q_phagocytic_myeloid:0.517,p=0.0099
IFITM3	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	5.0	0.0	False	-0.4945365481899664	0.2965069179161008	4	4	2	0		8	t1d_acinar_cell|lysosomal_apc:0.614,p=0.00021;t1d_acinar_cell|mif_cd74_receptor_state:0.681,p=0.0003;t1d_acinar_cell|hla_ii_apc:0.642,p=0.00072;t1d_acinar_cell|ifn_apc:0.487,p=0.0014;t1d_ductal_cell|complement_phagocytosis:0.627,p=0.004;ibd_crohn_epithelial|lysosomal_apc:0.384,p=0.0043;t1d_acinar_cell|complement_phagocytosis:0.661,p=0.0045;ibd_crohn_epithelial|complement_phagocytosis:0.352,p=0.0052
