gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	s1_median_efficient_lfc	s3_median_efficient_lfc	s1_median_noneater_lfc	s3_median_noneater_lfc	efficient_consistent_positive	noneater_consistent_positive	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	modules	tracked_candidate	efficient_fdr	noneater_fdr	contrast_fdr	screen_call	gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	gwas_catalog_trait_count	gwas_catalog_min_p	druggable_activity_count	chembl_target_id	clinicaltrials_autoimmune_count	europepmc_autoimmune_hit_count	wave34_call	manual_blocker_class	primary_blocker	chembl_target_id_api	chembl_pref_name	chembl_target_type	chembl_activity_count	chembl_best_nM	chembl_search_total	europepmc_query	europepmc_hit_count	europepmc_examples_json	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	desired_intervention	directional_disease_support_count	directional_conflict_count	ms_anchor_directional	has_chembl_target	has_activity	prior_art_heavy	rescue_score	gate_failures	wave38_call
LRRC61	2	0.6433061788842683	-0.0367176148914675	0.6800237937757359	0.7629736925495922	0.5236386652189444	0.0710198397949744	-0.1444550695779094	True	False					False				KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	LRRC61	17.0	6.0	0.0	1.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0006806053749276	0.0987648290296002	2.6302575724237283	1.3649957498719274			t1d_stellate_cell:2.63,p=0.00068;t1d_ductal_cell:1.29,p=0.0036;ibd_crohn_myeloid:1.88,p=0.013;sjogren_gland_stromal:0.906,p=0.03;ibd_uc_stromal:1.33,p=0.042;t1d_endothelial_cell:1.17,p=0.046	False	0.697050672079687	0.2387771765395056	0.5819581822185158	0.9460303616141402															False	False	0.0	20.0													0.0		0.0	"""LRRC61"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	78.0	"[{""doi"": ""10.1126/sciadv.aeb2473"", ""id"": ""41719390"", ""title"": ""Systematic analysis of functional genetic and epigenetic variants in colorectal cancer."", ""year"": ""2026""}, {""doi"": ""10.1186/s13578-025-01527-2"", ""id"": ""41495845"", ""title"": ""IL-27 signaling mediates skin inflammation in experimental psoriasis and atopic dermatitis."", ""year"": ""2026""}, {""doi"": ""10.21203/rs.3.rs-5051024/v1"", ""id"": ""PPR929242"", ""title"": ""Disulfidptosis and pentose phosphate pathway-associated prognosis signature guides immunotherapy for lung adenocarcinoma patients"", ""year"": ""2024""}]"	LRRC61 autoimmune	0.0	[]	inhibit_or_reduce	4.0	0.0	True	False	False	False	7.680023793775736	too_few_guides;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
FAM49B	4	0.8303292742060054	-0.4052069832833535	0.7903403938506244	0.6232189443573029	0.8219007118067845	0.0230479371905629	-0.6291401309098584	True	False	0.25	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	FAM49B	9.0	6.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0032668493854675	0.1537289124959392	1.1065720539452557	1.4982393039202782			ibd_crohn_myeloid:0.623,p=0.0033;psoriasis_skin_stromal:0.565,p=0.022;ibd_uc_myeloid:0.438,p=0.023;ibd_crohn_stromal:1.11,p=0.026;ibd_crohn_epithelial:0.619,p=0.029;ibd_uc_stromal:1.07,p=0.037	False	0.1048061004481475	0.3952262652337288	0.3462797066387407	0.9141270983319502															False	False	0.0	15.0	1.0	2e-10	0.0		0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY						0.0		0.0	"""FAM49B"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	402.0	"[{""doi"": ""10.1038/s41514-025-00296-z"", ""id"": ""41419490"", ""title"": ""Age-related nigral downregulation of the Parkinson's risk factor FAM49B primes human microglia for inflammaging."", ""year"": ""2025""}, {""doi"": ""10.62347/lvdv6967"", ""id"": ""41113986"", ""title"": ""FAM49B suppresses ovarian cancer cell growth through regulating MAPK signaling."", ""year"": ""2025""}, {""doi"": ""10.1007/s10735-025-10589-y"", ""id"": ""40897904"", ""title"": ""FAM49B mediates tumor progression and poor prognosis of gastric cancer through activating PI3K/AKT pathway."", ""year"": ""2025""}]"	FAM49B autoimmune	0.0	[]	inhibit_or_reduce	3.0	0.0	False	False	False	False	5.290340393850625	no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
HSPA9	4	-1.087421415709971	0.5285901389466264	-1.32074907892021	-0.4237413582062854	-1.2227651227965042	0.661464457736264	0.4650595797525934	False	True	0.25	0.25	0.125		False	0.8221627590893646	0.8757238508867174	0.920009505703422	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	HSPA9	17.0	0.0	3.0	0.0	0.0	0.0	3.0		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0266857241829577	-0.5415797450444133		False	0.0876942881131412	0.1899582956132322	0.6649976737655932	0.9565589890801192							1.7129444009183796	0.1064722004591899	1.6064722004591898	0.0	0.0				False	False	0.0	-11.91435277995408										CHEMBL4295757	Stress-70 protein, mitochondrial	SINGLE PROTEIN	60.0	30.45	1.0	"""HSPA9"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	2959.0	"[{""doi"": ""10.1186/s13040-025-00499-w"", ""id"": ""41316447"", ""title"": ""Bioinformatics analysis of Rickettsia typhi autoimmune associations and screening of Streptomyces-derived inhibitors."", ""year"": ""2025""}, {""doi"": ""10.1016/j.cstres.2025.02.001"", ""id"": ""39938773"", ""title"": ""Increased intracellular stress responses and decreased KLF2 in adult patients with atopic dermatitis."", ""year"": ""2025""}, {""doi"": ""10.1186/s12931-025-03490-5"", ""id"": ""41559617"", ""title"": ""Revisiting the INSPIRE trial: antibody profiling reveals high prevalence of occult autoimmunity."", ""year"": ""2026""}]"	HSPA9 autoimmune	0.0	[]	activate_or_restore	3.0	0.0	False	False	True	True	4.82074907892021	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
CCDC121	4	0.6599562719645746	-0.1934270415891927	0.6827272084298491	0.5665245637192033	0.7533879802099459	-0.0860108379600836	-0.6668322081509164	True	False	0.25	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	CCDC121	17.0	2.0	0.0	1.0	0.0	2.0	0.0	psoriasis;type 1 diabetes mellitus		0.0005710430890544	0.0965251076465464	1.7564789040090492	1.7293039756331006			t1d_stellate_cell:1.76,p=0.00057;psoriasis_keratinocyte:0.7,p=0.036	False	0.4429917115479078	0.5046135897539198	0.2380875945504296	0.9004758652001262															False	False	0.0	10.0													0.0		0.0	"""CCDC121"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	59.0	"[{""doi"": ""10.62347/kpgf8790"", ""id"": ""41552323"", ""title"": ""A set of downregulated pleiotropic genes are possible multi-omics biomarkers underlying the irritable bowel syndrome-non-alcoholic fatty liver disease comorbidity."", ""year"": ""2025""}, {""doi"": ""10.3390/ani15040612"", ""id"": ""40003092"", ""title"": ""Heterozygosity-Rich Regions in Canine Genome: Can They Serve as Indicators of Balancing Selection?"", ""year"": ""2025""}, {""doi"": ""10.1167/iovs.66.6.7"", ""id"": ""40459497"", ""title"": ""Cross-Tissue Transcriptome-Wide Association Study Identifies Novel Genes Associated With POAG."", ""year"": ""2025""}]"	CCDC121 autoimmune	0.0	[]	inhibit_or_reduce	2.0	0.0	True	False	False	False	4.682727208429849	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
MAX	4	-0.0294674867629143	0.6936004401227192	-0.6962067831918147	0.1041108574943625	-0.0885507259677571	0.6614318041864093	0.5050540854214702	False	True	0.875	0.125	0.125		False	1.0	0.8757238508867174	0.920009505703422	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	MAX	17.0	0.0	3.0	0.0	0.0	0.0	3.0		Crohn disease;psoriasis;ulcerative colitis					0.003969901813536	-0.8344774778895783		False	-0.0557257111771161	-0.1742035791597135	0.6953831089056697	0.9646161727383372															False	False	0.0	-12.0										CHEMBL1250363	Protein max	SINGLE PROTEIN	13.0	1000.0	12.0	"""MAX"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	1080453.0	"[{""doi"": ""10.1080/21645515.2025.2590257"", ""id"": ""41327805"", ""title"": ""Risk of autoimmune disease flares after recombinant zoster vaccine: A vaccine safety analysis based on the Vaccine Adverse Event Reporting System database."", ""year"": ""2025""}, {""doi"": ""10.1186/s12863-026-01414-w"", ""id"": ""41851628"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""doi"": ""10.5152/archrheumatol.2025.25030"", ""id"": ""41578773"", ""title"": ""Effect of Nutritional Ingredients on Disease Activation in Psoriatic Arthritis."", ""year"": ""2025""}]"	MAX autoimmune	5.0	"[{""conditions"": ""Multiple Sclerosis;Rehabilitation;Gait Disorders, Neurologic;Neuronal Plasticity"", ""nct_id"": ""NCT04066972"", ""status"": ""COMPLETED"", ""title"": ""Vigorous Cool Room Treadmill Training""}, {""conditions"": ""Anti-NMDAR Encephalitis"", ""nct_id"": ""NCT03274375"", ""status"": ""RECRUITING"", ""title"": ""Immunoadsorption Therapy in Managing NMDAR Antibodies Encephalitis""}, {""conditions"": ""Neuromyelitis Optica Spectrum Disorders;Multiple Sclerosis;Myasthenia Gravis"", ""nct_id"": ""NCT07392528"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Universal Chimeric Antigen Receptor T-Cell \uff08UCAR T-cell\uff09 Therapy Targeting CD19/ BCMA\uff08QT-019C\uff09 in Patients With r/ r Neurological Autoimmune Diseases""}]"	activate_or_restore	3.0	0.0	False	False	True	True	4.196206783191815	no_ms_directional_anchor;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
ABTB2	4	0.5352876822513474	-0.4070857420182476	0.8670671833295949	0.6123282971752857	0.3436913892139339	-0.2721079328109961	-0.1862487458676871	True	False	0.625	0.125	0.25		False	0.9600924529799222	0.8757238508867174	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	ABTB2	17.0	2.0	0.0	0.0	0.0	2.0	0.0	type 1 diabetes mellitus;ulcerative colitis		0.0263317532007643	0.3337020979290255	1.3108533563067253	1.2297519785791402			t1d_stellate_cell:1.31,p=0.026;ibd_uc_myeloid:1.26,p=0.03	False	-0.1477415366285122	-0.0629868697702489	0.8826494351185098	0.9840278968329756															False	False	0.0	8.0													0.0		0.0	"""ABTB2"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	243.0	"[{""doi"": ""10.1016/j.omton.2025.201080"", ""id"": ""41322190"", ""title"": ""Mechanistic and functional characterization of ABTB2 as a novel target for pancreatic cancer therapy."", ""year"": ""2025""}, {""doi"": ""10.1002/pro.70573"", ""id"": ""41994963"", ""title"": ""The double histone fold: Structure, functional implications across the tree of life and relevance to protein design."", ""year"": ""2026""}, {""doi"": ""10.1186/s13048-025-01643-0"", ""id"": ""40128862"", ""title"": ""Zishen Yutai pill ameliorates ovarian reserve by mediating PI3K-Akt pathway and apoptosis level in ovary."", ""year"": ""2025""}]"	ABTB2 autoimmune	0.0	[]	inhibit_or_reduce	2.0	0.0	False	False	False	False	3.8670671833295946	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
TPX2	4	0.5186302340775455	-0.2539902244298024	0.832988507912001	0.7465870228101625	0.3090778549168604	-0.159688705281523	-0.325828819130141	True	False	0.125	0.375	0.125		False	0.8221627590893646	0.9645063778899814	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	TPX2	17.0	2.0	0.0	0.0	0.0	2.0	0.0	Crohn disease;psoriasis		0.0245307180607819	0.2226775208431315	1.4302575643728876	2.1390657026284794			ibd_crohn_epithelial:1.39,p=0.025;psoriasis_keratinocyte:1.43,p=0.046	False	0.388655050343254	0.1307943150621055	0.7566394056553223	0.9709375242067292															False	False	0.0	8.0										CHEMBL5389	Targeting protein for Xklp2	SINGLE PROTEIN	1.0	10000.0	2.0	"""TPX2"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	4770.0	"[{""doi"": ""10.1016/j.jtauto.2025.100327"", ""id"": ""41209054"", ""title"": ""Identification of key oxidative phosphorylation-related genes in systemic lupus erythematosus based on transcriptomics and bioinformatics analysis."", ""year"": ""2025""}, {""doi"": ""10.1186/s13062-025-00712-0"", ""id"": ""41361459"", ""title"": ""KIF4A in disease pathogenesis and therapeutics: from molecular mechanisms to clinical translation."", ""year"": ""2025""}, {""doi"": ""10.1093/ibd/izaf275"", ""id"": ""41267169"", ""title"": ""Mucosal B Cell Expansion and Maturation Contribute to Colitis Pathogenesis."", ""year"": ""2026""}]"	TPX2 autoimmune	0.0	[]	inhibit_or_reduce	2.0	0.0	True	False	True	True	3.8329885079120007	insufficient_directional_cross_disease_state_support;no_chembl_target;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
MTX3	3	0.0994552404038098	0.761077133929893	-1.103835809402245	-0.5523855475511268	0.8834854905711356	0.4177378727550156	1.1044163951047703	False	True	1.0	0.25	0.25		False	1.0	0.8757238508867174	0.920009505703422	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	MTX3	17.0	0.0	1.0	0.0	0.0	0.0	1.0		Sjogren syndrome					0.0169631449623841	-2.1611825180623128		False	-0.2287479778756118	-0.5610904049203239	0.1982298883392895	0.8993702893651148							0.0805546300487147	-1.4194453699512852	1.5	0.0	1.0		MS		False	False	0.0	-3.995972268497564													0.0		0.0	"""MTX3"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	313.0	"[{""doi"": ""10.64898/2026.03.15.711473"", ""id"": ""PPR1219594"", ""title"": ""Characterization of human Metaxin proteins reveals functional diversification of SAM37 homologs MTX1 and MTX3"", ""year"": ""2026""}, {""doi"": ""10.1007/s12031-026-02533-w"", ""id"": ""42068475"", ""title"": ""Identification of Mitochondrial Dysfunction Genes as Diagnostic Biomarkers for Ischemic Stroke by Integrated Bioinformatics Analysis and Machine Learning."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1701395"", ""id"": ""41816337"", ""title"": ""PBMC transcriptomic signatures reflect immune dynamics and disease activity in psoriatic arthritis."", ""year"": ""2026""}]"	MTX3 autoimmune	0.0	[]	activate_or_restore	1.0	0.0	True	False	False	False	3.603835809402245	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
MCMBP	4	0.7895848804258438	-0.0853932187534879	1.043248837727032	0.5819035116207789	0.6647393776762445	-0.0930680363031279	-0.2351382792697158	True	False	0.125	0.625	0.125		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	MCMBP	17.0	1.0	0.0	0.0	0.0	1.0	0.0	Crohn disease		0.0273582958265549	0.2328613088540153	0.3429519970181918	1.3922335194281534			ibd_crohn_epithelial:0.343,p=0.027	False	0.1090013411621377	0.4016499379884834	0.3668729499595036	0.9141270983319502															False	False	0.0	4.0										CHEMBL5724633	Mini-chromosome maintenance complex-binding protein	SINGLE PROTEIN	1.0	10000.0	1.0	"""MCMBP"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	185.0	"[{""doi"": ""10.3389/fimmu.2025.1621927"", ""id"": ""41346611"", ""title"": ""Multiomics profiling Identifies MCMBP as a prognostic biomarker and a potential immune-related target in pancreatic ductal adenocarcinoma via the JAK-STAT3 pathway."", ""year"": ""2025""}, {""doi"": ""10.1038/s41467-025-65269-y"", ""id"": ""41253827"", ""title"": ""DNA replication fork speed acts as a pacer in cortical neurogenesis."", ""year"": ""2025""}, {""doi"": ""10.1038/s41467-025-64258-5"", ""id"": ""41145411"", ""title"": ""CRL4<sup>DCAF12</sup> regulation of MCMBP ensures optimal licensing of DNA replication."", ""year"": ""2025""}]"	MCMBP autoimmune	0.0	[]	inhibit_or_reduce	1.0	0.0	False	False	True	False	3.543248837727032	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
EFR3A	4	0.6844697530989772	-0.0758388820741726	0.8947628318325367	0.487777114277655	0.6958611679944962	0.0271960288050721	-0.0968066153267253	True	False	0.25	0.625	0.25		False	0.8221627590893646	0.9889744952178532	0.920009505703422	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	EFR3A	17.0	1.0	0.0	0.0	0.0	1.0	0.0	Crohn disease		0.0260062737686466	0.2273391523603786	0.7241219488549584	1.3984794520113295			ibd_crohn_epithelial:0.724,p=0.026	False	0.2644865146297235	0.943562013900004	0.0409895429330483	0.8573807218486817															True	True	0.0	11.0	1.0	3e-07	0.0		0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY						0.0		0.0	"""EFR3A"" autoimmune OR ""multiple sclerosis"" OR ""inflammatory bowel disease"" OR psoriasis OR lupus"	286.0	"[{""doi"": null, ""id"": ""PMC12979485"", ""title"": ""Mendelian randomization studies in atopic dermatitis: causal insights across omics layers"", ""year"": null}, {""doi"": ""10.1016/j.jbc.2025.110886"", ""id"": ""41197736"", ""title"": ""Development of an inhibitory TTC7B selective nanobody that blocks EFR3 recruitment of PI4KA."", ""year"": ""2025""}, {""doi"": ""10.3390/cells14060445"", ""id"": ""40136694"", ""title"": ""EFR3A, an Intriguing Gene, and Protein with a Scaffolding Function."", ""year"": ""2025""}]"	EFR3A autoimmune	0.0	[]	inhibit_or_reduce	1.0	0.0	True	False	False	False	3.3947628318325367	insufficient_directional_cross_disease_state_support;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	NO_GO_CRISPR_RESCUE
