combo	n_compartments	auc_oriented	exact_perm_p_auc_ge_observed	is_tb_only	includes_b_plasma	includes_t_cell
t_cell_like	1	1.0	0.015873015873015872	True	False	True
b_plasma_like;myeloid_apc_like	2	1.0	0.015873015873015872	False	True	False
epithelial_like;myeloid_apc_like	2	1.0	0.015873015873015872	False	False	False
epithelial_like;t_cell_like	2	1.0	0.015873015873015872	False	False	True
myeloid_apc_like;t_cell_like	2	1.0	0.015873015873015872	False	False	True
b_plasma_like;epithelial_like;myeloid_apc_like	3	1.0	0.015873015873015872	False	True	False
b_plasma_like;epithelial_like;t_cell_like	3	1.0	0.015873015873015872	False	True	True
b_plasma_like;myeloid_apc_like;t_cell_like	3	1.0	0.015873015873015872	False	True	True
epithelial_like;myeloid_apc_like;stromal_endothelial_like	3	1.0	0.015873015873015872	False	False	False
epithelial_like;myeloid_apc_like;t_cell_like	3	1.0	0.015873015873015872	False	False	True
myeloid_apc_like;stromal_endothelial_like;t_cell_like	3	1.0	0.015873015873015872	False	False	True
b_plasma_like;epithelial_like;myeloid_apc_like;stromal_endothelial_like	4	1.0	0.015873015873015872	False	True	False
b_plasma_like;epithelial_like;myeloid_apc_like;t_cell_like	4	1.0	0.015873015873015872	False	True	True
epithelial_like;myeloid_apc_like;stromal_endothelial_like;t_cell_like	4	1.0	0.015873015873015872	False	False	True
b_plasma_like;epithelial_like;myeloid_apc_like;stromal_endothelial_like;t_cell_like	5	1.0	0.015873015873015872	False	True	True
b_plasma_like	1	0.95	0.031746031746031744	True	True	False
b_plasma_like;epithelial_like	2	0.95	0.031746031746031744	False	True	False
b_plasma_like;t_cell_like	2	0.95	0.031746031746031744	True	True	True
b_plasma_like;myeloid_apc_like;stromal_endothelial_like	3	0.95	0.031746031746031744	False	True	False
epithelial_like;stromal_endothelial_like;t_cell_like	3	0.95	0.031746031746031744	False	False	True
b_plasma_like;myeloid_apc_like;stromal_endothelial_like;t_cell_like	4	0.95	0.031746031746031744	False	True	True
epithelial_like	1	0.9	0.06349206349206349	False	False	False
b_plasma_like;stromal_endothelial_like	2	0.9	0.06349206349206349	False	True	False
epithelial_like;stromal_endothelial_like	2	0.9	0.06349206349206349	False	False	False
myeloid_apc_like;stromal_endothelial_like	2	0.9	0.06349206349206349	False	False	False
b_plasma_like;epithelial_like;stromal_endothelial_like	3	0.9	0.06349206349206349	False	True	False
b_plasma_like;stromal_endothelial_like;t_cell_like	3	0.9	0.06349206349206349	False	True	True
b_plasma_like;epithelial_like;stromal_endothelial_like;t_cell_like	4	0.9	0.06349206349206349	False	True	True
stromal_endothelial_like;t_cell_like	2	0.85	0.1111111111111111	False	False	True
myeloid_apc_like	1	0.8	0.19047619047619047	False	False	False
stromal_endothelial_like	1	0.75	0.2857142857142857	False	False	False
