case	observed_class	check	status	detail	score_values_read
full_small	FULL_LABELS_SMALL_COHORT	policy_mapped	PASS	gafson_sized_effect_estimate_only	false
full_small	FULL_LABELS_SMALL_COHORT	confidence_band_exists	PASS	gafson_sized_effect_estimate_only	false
full_small	FULL_LABELS_SMALL_COHORT	primary_template_exists	PASS	batch_or_confounder_metadata_needed	false
full_small	FULL_LABELS_SMALL_COHORT	secondary_template_exists	PASS	batch_or_confounder_metadata_needed	false
full_small	FULL_LABELS_SMALL_COHORT	score_values_read_false	PASS	gafson_sized_effect_estimate_only	false
partial_below_floor	PARTIAL_LABELS_BELOW_PLANNING_FLOOR	policy_mapped	PASS	below_planning_floor	false
partial_below_floor	PARTIAL_LABELS_BELOW_PLANNING_FLOOR	confidence_band_exists	PASS	below_planning_floor	false
partial_below_floor	PARTIAL_LABELS_BELOW_PLANNING_FLOOR	primary_template_exists	PASS	below_planning_floor_labeled_pairs	false
partial_below_floor	PARTIAL_LABELS_BELOW_PLANNING_FLOOR	secondary_template_exists	PASS	below_planning_floor_labeled_pairs	false
partial_below_floor	PARTIAL_LABELS_BELOW_PLANNING_FLOOR	score_values_read_false	PASS	below_planning_floor	false
context_no_labels	RESPONSE_LABELS_ABSENT_CONTEXT_ONLY	policy_mapped	PASS	no_mapped_response_groups	false
context_no_labels	RESPONSE_LABELS_ABSENT_CONTEXT_ONLY	confidence_band_exists	PASS	no_mapped_response_groups	false
context_no_labels	RESPONSE_LABELS_ABSENT_CONTEXT_ONLY	primary_template_exists	PASS	response_labels_absent_or_unmapped	false
context_no_labels	RESPONSE_LABELS_ABSENT_CONTEXT_ONLY	secondary_template_exists	PASS	response_labels_absent_or_unmapped	false
context_no_labels	RESPONSE_LABELS_ABSENT_CONTEXT_ONLY	score_values_read_false	PASS	no_mapped_response_groups	false
partial_effect_size_only	PARTIAL_LABELS_EFFECT_SIZE_ONLY	policy_mapped	PASS	gafson_sized_effect_estimate_only	false
partial_effect_size_only	PARTIAL_LABELS_EFFECT_SIZE_ONLY	confidence_band_exists	PASS	gafson_sized_effect_estimate_only	false
partial_effect_size_only	PARTIAL_LABELS_EFFECT_SIZE_ONLY	primary_template_exists	PASS	below_planning_floor_labeled_pairs	false
partial_effect_size_only	PARTIAL_LABELS_EFFECT_SIZE_ONLY	secondary_template_exists	PASS	below_planning_floor_labeled_pairs	false
partial_effect_size_only	PARTIAL_LABELS_EFFECT_SIZE_ONLY	score_values_read_false	PASS	gafson_sized_effect_estimate_only	false
partial_limited_decision	PARTIAL_LABELS_LIMITED_DECISION_CAUTION	policy_mapped	PASS	small_to_mid_caution	false
partial_limited_decision	PARTIAL_LABELS_LIMITED_DECISION_CAUTION	confidence_band_exists	PASS	small_to_mid_caution	false
partial_limited_decision	PARTIAL_LABELS_LIMITED_DECISION_CAUTION	primary_template_exists	PASS	batch_or_confounder_metadata_needed	false
partial_limited_decision	PARTIAL_LABELS_LIMITED_DECISION_CAUTION	secondary_template_exists	PASS	batch_or_confounder_metadata_needed	false
partial_limited_decision	PARTIAL_LABELS_LIMITED_DECISION_CAUTION	score_values_read_false	PASS	small_to_mid_caution	false
single_class_block	SINGLE_CLASS_LABELS_BLOCK_RESPONSE_VALIDATION	policy_mapped	PASS	no_mapped_response_groups	false
single_class_block	SINGLE_CLASS_LABELS_BLOCK_RESPONSE_VALIDATION	confidence_band_exists	PASS	no_mapped_response_groups	false
single_class_block	SINGLE_CLASS_LABELS_BLOCK_RESPONSE_VALIDATION	primary_template_exists	PASS	response_labels_absent_or_unmapped	false
single_class_block	SINGLE_CLASS_LABELS_BLOCK_RESPONSE_VALIDATION	secondary_template_exists	PASS	response_labels_absent_or_unmapped	false
single_class_block	SINGLE_CLASS_LABELS_BLOCK_RESPONSE_VALIDATION	score_values_read_false	PASS	no_mapped_response_groups	false
too_few_one_arm	PARTIAL_LABELS_TOO_FEW_OR_SINGLE_ARM	policy_mapped	PASS	below_planning_floor	false
too_few_one_arm	PARTIAL_LABELS_TOO_FEW_OR_SINGLE_ARM	confidence_band_exists	PASS	below_planning_floor	false
too_few_one_arm	PARTIAL_LABELS_TOO_FEW_OR_SINGLE_ARM	primary_template_exists	PASS	below_planning_floor_labeled_pairs	false
too_few_one_arm	PARTIAL_LABELS_TOO_FEW_OR_SINGLE_ARM	secondary_template_exists	PASS	below_planning_floor_labeled_pairs	false
too_few_one_arm	PARTIAL_LABELS_TOO_FEW_OR_SINGLE_ARM	score_values_read_false	PASS	below_planning_floor	false
