seed	n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	single_measurement_reliability	planned_measurements	measurement_error_correlation	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_events	median_measurements_available	median_empirical_reliability
54951	120	0.15	1.0	0.4	1	0.0	400	387	0.9675	22	0.055	0.03659849414955068	0.08186744780797323	0.025	0.03	0.014657182556929063	0.003421580287366112	108.0	16.0	1.0	0.4012203882691491
54951	120	0.15	1.0	0.4	2	0.0	400	394	0.985	36	0.09	0.06571729376939447	0.12208278758472865	0.0525	0.0375	0.04011452835370542	0.010134470240009543	119.0	18.0	1.8220338983050848	0.5398565190833235
54951	120	0.15	1.0	0.4	2	0.5	400	396	0.99	31	0.0775	0.05513293467684451	0.10790495403563602	0.0225	0.055	0.011348152735263873	0.003035584665638329	119.0	18.0	1.8227816550348952	0.4582060499564963
54951	120	0.15	1.0	0.4	3	0.0	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.0275	0.025	0.09551041186475794	0.0223733656533059	120.0	18.0	2.7	0.6300620835013291
54951	120	0.15	1.0	0.4	3	0.5	400	397	0.9925	20	0.05	0.03259742983714726	0.07596363506371961	0.0225	0.0275	-0.044113361288222054	-0.011394621522415596	120.0	18.0	2.7	0.4938726379522469
54951	120	0.15	1.0	0.7	1	0.0	400	387	0.9675	15	0.0375	0.022855029814710867	0.060943842444513396	0.0175	0.02	-0.021971349187143135	-0.0061405957082914416	108.0	16.0	1.0	0.7040225056911081
54951	120	0.15	1.0	0.7	2	0.0	400	397	0.9925	31	0.0775	0.05513293467684451	0.10790495403563602	0.0425	0.035	-0.021279721892512544	-0.005848361016807013	119.0	18.0	1.8220338983050848	0.8010323329747715
54951	120	0.15	1.0	0.7	2	0.5	400	397	0.9925	15	0.0375	0.022855029814710867	0.060943842444513396	0.0125	0.025	0.028250508834693606	0.007162646300706858	119.0	18.0	1.8166666666666667	0.7505437964236051
54951	120	0.15	1.0	0.7	3	0.0	400	397	0.9925	19	0.0475	0.030617076962711882	0.07299154940982647	0.0175	0.03	-0.01583581047617061	-0.004188544606449529	120.0	17.0	2.7	0.8558804180234989
54951	120	0.15	1.0	0.7	3	0.5	400	396	0.99	20	0.05	0.03259742983714726	0.07596363506371961	0.0275	0.0225	-0.011189762708764633	-0.002927788138590101	120.0	18.0	2.7083333333333335	0.7694492398480999
54951	120	0.15	1.5	0.4	1	0.0	400	391	0.9775	45	0.1125	0.08514845878595949	0.14722356932312028	0.11	0.0025	0.7653811754184592	0.20698372000941032	108.0	16.0	1.0	0.3974798323072848
54951	120	0.15	1.5	0.4	2	0.0	400	397	0.9925	57	0.1425	0.1116383145426319	0.18016297590639008	0.1375	0.005	0.8404392570587147	0.21385961938162487	119.0	18.0	1.8166666666666667	0.5299759373623887
54951	120	0.15	1.5	0.4	2	0.5	400	397	0.9925	54	0.135	0.10496299061600528	0.1719809842480312	0.1325	0.0025	0.8786772858915533	0.2240985721825572	119.0	18.0	1.815126050420168	0.4599454228017753
54951	120	0.15	1.5	0.4	3	0.0	400	397	0.9925	71	0.1775	0.14317591908715524	0.217959510758466	0.1775	0.0	0.986577452240932	0.2613522498068958	120.0	17.0	2.7083333333333335	0.6297809581255814
54951	120	0.15	1.5	0.4	3	0.5	400	396	0.99	62	0.155	0.12283258671753924	0.19373089637312538	0.1525	0.0025	0.936014305781768	0.23833776991576572	120.0	18.0	2.7	0.49254800439776025
54951	120	0.15	1.5	0.7	1	0.0	400	390	0.975	63	0.1575	0.1250811291822658	0.19643479243672732	0.155	0.0025	1.0377029851642008	0.27851099155633563	108.0	16.0	1.0	0.7020126084766705
54951	120	0.15	1.5	0.7	2	0.0	400	398	0.995	92	0.23	0.19144383051896455	0.27369280842155563	0.23	0.0	1.2029871966146437	0.33727426325093096	119.0	18.0	1.8197391688770999	0.8018240512106374
54951	120	0.15	1.5	0.7	2	0.5	400	398	0.995	80	0.2	0.16373705973387687	0.24197031686670106	0.2	0.0	1.2372911574570216	0.3278983795267927	119.0	18.0	1.817816091954023	0.7515240703144757
54951	120	0.15	1.5	0.7	3	0.0	400	400	1.0	88	0.22	0.1821738927340146	0.2631529920931915	0.22	0.0	1.3156925071967618	0.34434108290422005	120.0	18.0	2.7058823529411766	0.8597312639346095
54951	120	0.15	1.5	0.7	3	0.5	400	400	1.0	96	0.24	0.20074599691279923	0.284200396141035	0.24	0.0	1.2043505178702605	0.32156961509152776	120.0	18.0	2.7	0.7702191852070934
54951	120	0.15	1.7	0.4	1	0.0	400	391	0.9775	75	0.1875	0.15228915456130324	0.2286560293976321	0.185	0.0025	1.0903321520481974	0.2820480094205714	108.0	16.0	1.0	0.40759862967918253
54951	120	0.15	1.7	0.4	2	0.0	400	399	0.9975	96	0.24	0.20074599691279923	0.284200396141035	0.24	0.0	1.1978899568255903	0.2995676946686142	119.0	18.0	1.8166666666666667	0.5287899141431613
54951	120	0.15	1.7	0.4	2	0.5	400	399	0.9975	89	0.2225	0.18448827447183322	0.2657910488837013	0.22	0.0025	1.0878354347250334	0.27742069202568426	119.0	18.0	1.8166666666666667	0.45366931388959686
54951	120	0.15	1.7	0.4	3	0.0	400	400	1.0	100	0.25	0.2100790142364741	0.2946771329306741	0.25	0.0	1.277429304903405	0.3287907482783804	120.0	18.0	2.7	0.6294420666456824
54951	120	0.15	1.7	0.4	3	0.5	400	399	0.9975	92	0.23	0.19144383051896455	0.27369280842155563	0.23	0.0	1.232489063102734	0.3090484328933849	120.0	18.0	2.7058823529411766	0.490822240200091
54951	120	0.15	1.7	0.7	1	0.0	400	394	0.985	119	0.2975	0.25479754409145056	0.34405493511393953	0.2975	0.0	1.437013595204823	0.4050209746841744	108.0	16.0	1.0	0.6992634582034012
54951	120	0.15	1.7	0.7	2	0.0	400	394	0.985	122	0.305	0.2619126095600189	0.3517971852303568	0.305	0.0	1.546581680547856	0.4184273187996165	119.0	18.0	1.8220338983050848	0.7997984692130642
54951	120	0.15	1.7	0.7	2	0.5	400	399	0.9975	123	0.3075	0.2642873977313039	0.3543748355874003	0.305	0.0025	1.5168119449526678	0.3997479722478059	119.0	18.0	1.8166666666666667	0.7487554305012233
54951	120	0.15	1.7	0.7	3	0.0	400	395	0.9875	158	0.395	0.3483102375425738	0.4436873442676285	0.395	0.0	1.6757059441815743	0.4431330699585008	120.0	18.0	2.7083333333333335	0.8575180001277565
54951	120	0.15	1.7	0.7	3	0.5	400	398	0.995	127	0.3175	0.27380177308238884	0.36467021434962943	0.3175	0.0	1.5671692022017765	0.4125236746591552	120.0	18.0	2.7	0.7693665944524954
54951	120	0.3	1.0	0.4	1	0.0	400	400	1.0	18	0.045	0.028651458653886006	0.07000472919032381	0.035	0.01	-0.025839264703737333	-0.004697634669533348	108.0	32.0	1.0	0.4083644017238253
54951	120	0.3	1.0	0.4	2	0.0	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.025	0.0175	0.14453508177828667	0.02910528365277438	119.0	36.0	1.8220338983050848	0.5356458977172303
54951	120	0.3	1.0	0.4	2	0.5	400	400	1.0	19	0.0475	0.030617076962711882	0.07299154940982647	0.0175	0.03	0.011207479696719674	0.002044769921400281	119.0	36.0	1.8166666666666667	0.45346271288109463
54951	120	0.3	1.0	0.4	3	0.0	400	400	1.0	25	0.0625	0.04268914141220244	0.09063411613030699	0.035	0.0275	-0.018606896238618068	-0.0033577202187783243	120.0	36.0	2.7	0.631850324045734
54951	120	0.3	1.0	0.4	3	0.5	400	400	1.0	22	0.055	0.03659849414955068	0.08186744780797323	0.025	0.03	-0.004775531234793278	-0.0008335813344318634	120.0	36.0	2.7083333333333335	0.4906111073995242
54951	120	0.3	1.0	0.7	1	0.0	400	400	1.0	27	0.0675	0.04680146916375965	0.09642666543540682	0.025	0.0425	-0.10324321039042508	-0.01986142959206079	108.0	32.0	1.0	0.6988805575582149
54951	120	0.3	1.0	0.7	2	0.0	400	400	1.0	23	0.0575	0.038617542757733075	0.08480083772811935	0.0375	0.02	-0.01550689123309739	-0.002926676223350147	119.0	36.0	1.8235294117647058	0.8018248257097571
54951	120	0.3	1.0	0.7	2	0.5	400	400	1.0	16	0.04	0.024769063069711758	0.06398224771784103	0.0275	0.0125	0.023516696536248133	0.004734629723995446	119.0	35.0	1.8166666666666667	0.7459461242014409
54951	120	0.3	1.0	0.7	3	0.0	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.02	0.03	-0.003133490110625318	-0.000594157203895173	120.0	36.0	2.7083333333333335	0.8546002365910921
54951	120	0.3	1.0	0.7	3	0.5	400	400	1.0	12	0.03	0.017243020965143054	0.05169853570909567	0.0175	0.0125	-0.02887412692452551	-0.0052876238785277314	120.0	36.0	2.7058823529411766	0.7738683786763967
54951	120	0.3	1.5	0.4	1	0.0	400	400	1.0	72	0.18	0.14545031532583302	0.22063755304811672	0.1775	0.0025	0.9478461619356462	0.18112844425468036	108.0	32.0	1.0	0.4093283020597994
54951	120	0.3	1.5	0.4	2	0.0	400	400	1.0	95	0.2375	0.19841751180740802	0.2815764427180976	0.2375	0.0	1.2343413350463555	0.22978886672857374	119.0	36.0	1.8212733594089525	0.524542372934957
54951	120	0.3	1.5	0.4	2	0.5	400	400	1.0	84	0.21	0.1729377251738417	0.25257940554005026	0.21	0.0	1.2101585272462334	0.21741806970838057	119.0	35.0	1.8166666666666667	0.4566328854469318
54951	120	0.3	1.5	0.4	3	0.0	400	400	1.0	110	0.275	0.23353872471100914	0.3207418077394244	0.275	0.0	1.3964517770020728	0.25531873521676013	120.0	36.0	2.7083333333333335	0.6352111885822814
54951	120	0.3	1.5	0.4	3	0.5	400	400	1.0	98	0.245	0.20540872953011524	0.289442540580376	0.245	0.0	1.2193012265216396	0.22081720476546518	120.0	36.0	2.7083333333333335	0.4934179616025007
54951	120	0.3	1.5	0.7	1	0.0	400	400	1.0	120	0.3	0.25716767195619705	0.34663724577752153	0.3	0.0	1.4142613865872424	0.2830257851451221	108.0	32.0	1.0	0.7033912487445013
54951	120	0.3	1.5	0.7	2	0.0	400	400	1.0	150	0.375	0.328957079463163	0.4234209941204111	0.375	0.0	1.7015821896230758	0.3174009126449866	119.0	35.0	1.8166666666666667	0.7978150633728522
54951	120	0.3	1.5	0.7	2	0.5	400	400	1.0	144	0.36	0.3144979076102711	0.40816553480333195	0.36	0.0	1.5971486847591048	0.2987447329930727	119.0	36.0	1.8220338983050848	0.748397257134344
54951	120	0.3	1.5	0.7	3	0.0	400	400	1.0	163	0.4075	0.3604480792409669	0.4563116952108779	0.4075	0.0	1.659919784249518	0.31809018891276264	120.0	35.0	2.7	0.855464589486595
