n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	single_measurement_reliability	planned_measurements	measurement_error_correlation	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_events_across_seeds	median_measurements_available_across_seeds	median_empirical_reliability_across_seeds
120	0.15	1.0	0.4	1	0.0	1200	1168	0.9733333333333334	58	0.04833333333333333	0.037574011009416555	0.06197519286838732	0.04	0.055	0.024166666666666666	0.024166666666666666	0.0733715252781208	0.02021781093635614	108.0	16.0	1.0	0.4021054161406942
120	0.15	1.0	0.4	2	0.0	1200	1188	0.99	66	0.055	0.043463582072856735	0.06937640846357733	0.035	0.09	0.0325	0.0225	0.04011452835370542	0.010134470240009543	119.0	18.0	1.8220338983050848	0.5393314269118351
120	0.15	1.0	0.4	2	0.5	1200	1188	0.99	75	0.0625	0.050151184342747165	0.07764094118464589	0.0425	0.0775	0.023333333333333334	0.03916666666666667	0.011348152735263873	0.003035584665638329	119.0	18.0	1.8220338983050848	0.4582060499564963
120	0.15	1.0	0.4	3	0.0	1200	1191	0.9925	52	0.043333333333333335	0.03319710174469772	0.0563840121391335	0.0325	0.0525	0.0175	0.025833333333333333	0.07082878705515412	0.020414911439710148	120.0	18.0	2.7	0.6300620835013291
120	0.15	1.0	0.4	3	0.5	1200	1192	0.9933333333333333	57	0.0475	0.03684195434139706	0.06104590120407803	0.04	0.0525	0.024166666666666666	0.023333333333333334	-0.05123034507225807	-0.013900740196982148	120.0	18.0	2.7	0.4911976542669138
120	0.15	1.0	0.7	1	0.0	1200	1163	0.9691666666666666	51	0.0425	0.032471408616991965	0.05544835693451049	0.0375	0.0475	0.024166666666666666	0.018333333333333333	-0.021971349187143135	-0.0061405957082914416	108.0	16.0	1.0	0.7022606747640653
120	0.15	1.0	0.7	2	0.0	1200	1191	0.9925	78	0.065	0.052393091788581946	0.08038307873579742	0.0475	0.0775	0.034166666666666665	0.030833333333333334	0.023602351554907218	0.00656227641187481	119.0	18.0	1.8166666666666667	0.7990102011452116
120	0.15	1.0	0.7	2	0.5	1200	1189	0.9908333333333333	62	0.051666666666666666	0.04051171663917239	0.06568288056794659	0.0375	0.07	0.0225	0.029166666666666667	0.010018504603431044	0.0027511460045824224	119.0	18.0	1.8166666666666667	0.7505437964236051
120	0.15	1.0	0.7	3	0.0	1200	1189	0.9908333333333333	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.045	0.06	0.025833333333333333	0.025	-0.01583581047617061	-0.004188544606449529	120.0	18.0	2.7	0.8558804180234989
120	0.15	1.0	0.7	3	0.5	1200	1190	0.9916666666666667	55	0.04583333333333333	0.035380848837991884	0.05918431004282566	0.0425	0.05	0.025833333333333333	0.02	-0.011189762708764633	-0.002927788138590101	120.0	18.0	2.7083333333333335	0.7701800978976562
120	0.15	1.5	0.4	1	0.0	1200	1168	0.9733333333333334	148	0.12333333333333334	0.10592176716010682	0.1431487866272868	0.1125	0.135	0.11666666666666667	0.006666666666666667	0.7653811754184592	0.20698372000941032	108.0	16.0	1.0	0.4041553448875404
120	0.15	1.5	0.4	2	0.0	1200	1192	0.9933333333333333	201	0.1675	0.1474401453212842	0.18968187007953458	0.1425	0.1925	0.16416666666666666	0.0033333333333333335	0.9477034555004046	0.23753516224296697	119.0	18.0	1.8166666666666667	0.5299759373623887
120	0.15	1.5	0.4	2	0.5	1200	1193	0.9941666666666666	176	0.14666666666666667	0.12777809299790138	0.16781021409469798	0.1325	0.1725	0.14166666666666666	0.005	0.87088907511516	0.21487409042666825	119.0	18.0	1.8205128205128205	0.4599454228017753
120	0.15	1.5	0.4	3	0.0	1200	1190	0.9916666666666667	228	0.19	0.1688064797517849	0.21317194062191078	0.1775	0.2	0.1875	0.0025	1.0262437375661968	0.27701550411297016	120.0	18.0	2.7	0.6297809581255814
120	0.15	1.5	0.4	3	0.5	1200	1192	0.9933333333333333	182	0.15166666666666667	0.13248529214456123	0.17307110494201078	0.1425	0.1575	0.15	0.0016666666666666668	0.936014305781768	0.23833776991576572	120.0	18.0	2.7	0.49254800439776025
120	0.15	1.5	0.7	1	0.0	1200	1178	0.9816666666666667	212	0.17666666666666667	0.15612961995290825	0.199267227103527	0.1575	0.1875	0.175	0.0016666666666666668	1.0377029851642008	0.29049834604290314	108.0	16.0	1.0	0.7020126084766705
120	0.15	1.5	0.7	2	0.0	1200	1192	0.9933333333333333	266	0.22166666666666668	0.1990743272668342	0.24603532973535494	0.2125	0.23	0.22166666666666668	0.0	1.2029871966146437	0.32120756676579887	119.0	18.0	1.8197391688770999	0.8018240512106374
120	0.15	1.5	0.7	2	0.5	1200	1198	0.9983333333333333	236	0.19666666666666666	0.17516062875835742	0.2201085782739684	0.185	0.205	0.19583333333333333	0.0008333333333333334	1.0725522993550851	0.28232171670072553	119.0	18.0	1.815126050420168	0.7497197894742911
120	0.15	1.5	0.7	3	0.0	1200	1196	0.9966666666666667	280	0.23333333333333334	0.21027697421450603	0.25809155944028594	0.22	0.2575	0.23333333333333334	0.0	1.296204718992754	0.34434108290422005	120.0	18.0	2.7058823529411766	0.8597312639346095
120	0.15	1.5	0.7	3	0.5	1200	1195	0.9958333333333333	281	0.23416666666666666	0.21107814655240437	0.25895173543471633	0.23	0.24	0.23416666666666666	0.0	1.2043505178702605	0.3094828301594675	120.0	18.0	2.7	0.7702191852070934
120	0.15	1.7	0.4	1	0.0	1200	1167	0.9725	200	0.16666666666666666	0.14665129381791034	0.1888093732505796	0.155	0.1875	0.165	0.0016666666666666668	1.0308967236615127	0.2685093603058058	108.0	16.0	1.0	0.40356576446687165
120	0.15	1.7	0.4	2	0.0	1200	1194	0.995	280	0.23333333333333334	0.21027697421450603	0.25809155944028594	0.22	0.24	0.23333333333333334	0.0	1.278539261675756	0.317618854099643	119.0	18.0	1.8212733594089525	0.5287899141431613
120	0.15	1.7	0.4	2	0.5	1200	1193	0.9941666666666666	255	0.2125	0.19029089860118653	0.23654392674538605	0.1675	0.2475	0.21166666666666667	0.0008333333333333334	1.158418058947086	0.2941960808628805	119.0	18.0	1.8197391688770999	0.45685944174170334
120	0.15	1.7	0.4	3	0.0	1200	1193	0.9941666666666666	333	0.2775	0.25290624744298024	0.3035137478252368	0.25	0.3	0.2775	0.0	1.3380334472370956	0.35830158813631924	120.0	18.0	2.7	0.6294420666456824
120	0.15	1.7	0.4	3	0.5	1200	1194	0.995	251	0.20916666666666667	0.18710115728788673	0.23308827472937071	0.1875	0.23	0.20916666666666667	0.0	1.1857207932522003	0.2926897689742234	120.0	18.0	2.7	0.49242647376649773
120	0.15	1.7	0.7	1	0.0	1200	1173	0.9775	328	0.2733333333333333	0.24887078188453626	0.2992424717220368	0.2475	0.2975	0.2733333333333333	0.0	1.393527315655345	0.3809779995688295	108.0	16.0	1.0	0.7003289886296843
120	0.15	1.7	0.7	2	0.0	1200	1188	0.99	405	0.3375	0.3113023127100932	0.36473476248579567	0.305	0.375	0.3375	0.0	1.546581680547856	0.4184273187996165	119.0	18.0	1.8205128205128205	0.7997984692130642
120	0.15	1.7	0.7	2	0.5	1200	1192	0.9933333333333333	373	0.31083333333333335	0.28528495352056926	0.33758897504079877	0.2925	0.3325	0.31	0.0008333333333333334	1.5168119449526678	0.3997479722478059	119.0	18.0	1.8166666666666667	0.7473846911465237
120	0.15	1.7	0.7	3	0.0	1200	1189	0.9908333333333333	447	0.3725	0.34559308359205254	0.40022062156164473	0.3375	0.395	0.3725	0.0	1.6757059441815743	0.4431330699585008	120.0	18.0	2.7083333333333335	0.8575180001277565
120	0.15	1.7	0.7	3	0.5	1200	1190	0.9916666666666667	375	0.3125	0.28690815198489283	0.33928847324113265	0.2875	0.3325	0.31166666666666665	0.0008333333333333334	1.5348269816341091	0.410019858726347	120.0	18.0	2.7	0.7699203317348702
120	0.3	1.0	0.4	1	0.0	1200	1200	1.0	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.045	0.0625	0.03166666666666667	0.019166666666666665	-0.025839264703737333	-0.004697634669533348	108.0	32.0	1.0	0.39987596877313925
