analysis	dataset_path	disease_name	compartment	role	gene	family	is_minimum_candidate	is_state_control	target_module	model	n_units	spearman_r	spearman_p	covariates	spearman_fdr
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	hla_cd74_ciita_state	raw	10	0.0303030303030303	0.9337729580941466		0.9751871772152448
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	cd74_hla_surface_state	raw	10	0.16363636363636364	0.6514773427962428		0.8409459418632406
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	myeloid_abundance	raw	10	0.01818181818181818	0.9602404181286242		0.9797885100567639
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	lipid_loader_phagocytic	raw	10	0.5151515151515151	0.12755286970323432		0.3373142950119085
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	generic_nfkb	raw	10	0.09090909090909088	0.8027717312071619		0.9247174370127342
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	ifn_apc_upstream	raw	10	-0.16363636363636364	0.6514773427962428		0.8289696219481603
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	hla_cd74_ciita_state	residual_non_ifn_confounders	10	-0.12727272727272726	0.7260570147627894	myeloid_abundance,generic_nfkb,lipid_loader_phagocytic	0.8710973430001748
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	cd74_hla_surface_state	residual_non_ifn_confounders	10	0.006060606060606061	0.9867429111949892	myeloid_abundance,generic_nfkb,lipid_loader_phagocytic	0.9898638692694067
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	hla_cd74_ciita_state	residual_with_ifn_confounders	10	0.17575757575757575	0.6271883447764844	ifn_apc_upstream,myeloid_abundance,generic_nfkb,lipid_loader_phagocytic	0.8349763533101571
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2A1	vesicle_sorting_trafficking	False	False	cd74_hla_surface_state	residual_with_ifn_confounders	10	0.2606060606060606	0.46708905438634013	ifn_apc_upstream,myeloid_abundance,generic_nfkb,lipid_loader_phagocytic	0.7241262263267522
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2M1	vesicle_sorting_trafficking	True	False	hla_cd74_ciita_state	raw	10	-0.4666666666666666	0.17393859716506654		0.421868214701473
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2M1	vesicle_sorting_trafficking	True	False	cd74_hla_surface_state	raw	10	-0.5030303030303029	0.13833369839449194		0.4055288875901297
gse111972_ms_grey_matter_microglia	data/raw_v3/gse111972/GSE111972_norm_data.txt.gz	MS	grey matter microglia	myeloid_apc	AP2M1	vesicle_sorting_trafficking	True	False	myeloid_abundance	raw	10	0.10303030303030303	0.7769984634438898		0.9062400470392239
