analysis	dataset_path	disease_name	compartment	role	unit_id	disease	group	n_observations	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	hla_cd74_ciita_state	0.0831594940745975
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	cd74_hla_surface_state	-0.0196146818004827
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	ifn_apc_upstream	1.322553085544976
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	myeloid_abundance	0.02389526204030603
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	generic_nfkb	0.564141759547823
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_1	Crohn disease	case	81	lipid_loader_phagocytic	-0.22579646527088273
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	hla_cd74_ciita_state	0.3062302121567808
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	cd74_hla_surface_state	0.31139505753228824
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	ifn_apc_upstream	0.7949514384638188
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	myeloid_abundance	0.36027319740702135
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	generic_nfkb	0.7348702339734512
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_2	Crohn disease	case	38	lipid_loader_phagocytic	-0.017655122209142723
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	hla_cd74_ciita_state	0.3196486807910428
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	cd74_hla_surface_state	0.4164446927222549
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	ifn_apc_upstream	1.3199253867531526
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	myeloid_abundance	0.36762056076021127
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	generic_nfkb	0.7327517539294116
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_3	Crohn disease	case	406	lipid_loader_phagocytic	-0.06259919997741933
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	hla_cd74_ciita_state	0.19877713520825493
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	cd74_hla_surface_state	0.31614791002801174
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	ifn_apc_upstream	0.9590832019807063
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	myeloid_abundance	0.20899858489677584
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	generic_nfkb	0.26631966888803943
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_4	Crohn disease	case	323	lipid_loader_phagocytic	0.013581322128978862
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	hla_cd74_ciita_state	-0.45750218838415274
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	cd74_hla_surface_state	-0.5495612950112869
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	ifn_apc_upstream	0.15833699131176962
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	myeloid_abundance	-0.002225471299024176
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	generic_nfkb	2.3348485998186086
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_5	Crohn disease	case	647	lipid_loader_phagocytic	-0.1427567020543336
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	hla_cd74_ciita_state	0.3782426489036206
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	cd74_hla_surface_state	0.5094781820984351
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	ifn_apc_upstream	0.6759809853327782
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	myeloid_abundance	0.2638239592837874
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	generic_nfkb	0.002659115271214064
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD_6	Crohn disease	case	438	lipid_loader_phagocytic	0.016278591226453868
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	hla_cd74_ciita_state	0.17271771055041996
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	cd74_hla_surface_state	0.2687466530931093
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	ifn_apc_upstream	0.24153971659492837
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	myeloid_abundance	0.2880569005492675
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	generic_nfkb	0.02513113754765916
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_1	normal	control	60	lipid_loader_phagocytic	0.08472336136007387
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	112	hla_cd74_ciita_state	-0.38888742942888316
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	112	cd74_hla_surface_state	-0.5594963691459002
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	112	ifn_apc_upstream	0.04117770725336174
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	HC_2	normal	control	112	myeloid_abundance	-0.37023184997981906
