gene	target_chembl_id	pref_name	target_type	organism	accessions	activity_records_returned	activity_values_nM_count	unique_molecules_in_returned_records	assay_type_counts	best_standard_value_nM	median_standard_value_nM
CTSS	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	Homo sapiens	['P25774']	1000	999	896	{'IC50': 551, 'Kd': 48, 'Ki': 400}	0.1	188.0
CTSS	CHEMBL4098	Cathepsin S	SINGLE PROTEIN	Mus musculus	['O70370']	80	80	72	{'IC50': 80}	0.2	1.8
CTSS	CHEMBL1075217	Cathepsin S	SINGLE PROTEIN	Rattus norvegicus	['Q02765']	10	10	10	{'IC50': 10}	1.7	246.0
CTSS	CHEMBL2111368	Cathepsin (S and K)	SELECTIVITY GROUP	Homo sapiens	['P25774', 'P43235']	0	0	0	{}		
CTSL	CHEMBL2113	Procathepsin L	SINGLE PROTEIN	Bos taurus	['P25975']	54	54	54	{'Ki': 54}	22.0	5350.0
CTSL	CHEMBL3837	Procathepsin L	SINGLE PROTEIN	Homo sapiens	['P07711']	1000	1000	934	{'Ki': 475, 'IC50': 525}	0.025	1000.0
CTSL	CHEMBL5291	Procathepsin L	SINGLE PROTEIN	Mus musculus	['P06797']	15	15	15	{'IC50': 10, 'Ki': 5}	3.95	59.0
CTSL	CHEMBL2305	Procathepsin L	SINGLE PROTEIN	Rattus norvegicus	['P07154']	30	30	30	{'IC50': 30}	0.7	265.5
CTSL	CHEMBL2111380	Cathepsin (L and K)	SELECTIVITY GROUP	Homo sapiens	['P43235', 'P07711']	0	0	0	{}		
CTSB	CHEMBL3232689	Cathepsin B	SINGLE PROTEIN	Capra hircus	['H9B8T9']	51	51	45	{'Ki': 46, 'IC50': 5}	0.02	5680.0
CTSB	CHEMBL2323	Cathepsin B	SINGLE PROTEIN	Bos taurus	['P07688']	125	125	124	{'Ki': 101, 'IC50': 24}	4.0	2100.0
CTSB	CHEMBL5187	Cathepsin B	SINGLE PROTEIN	Mus musculus	['P10605']	12	12	12	{'IC50': 12}	69.0	1512.0
CTSB	CHEMBL4072	Cathepsin B	SINGLE PROTEIN	Homo sapiens	['P07858']	1000	1000	926	{'IC50': 625, 'Ki': 375}	0.03	3100.0
CTSB	CHEMBL2602	Cathepsin B	SINGLE PROTEIN	Rattus norvegicus	['P00787']	30	30	30	{'IC50': 30}	7.3	2254.5
CTSB	CHEMBL2111396	Cathepsin (B and K)	SELECTIVITY GROUP	Homo sapiens	['P43235', 'P07858']	0	0	0	{}		
CTSD	CHEMBL4106	Cathepsin D	SINGLE PROTEIN	Bos taurus	['P80209']	320	320	303	{'IC50': 277, 'Ki': 43}	0.5	1800.0
CTSD	CHEMBL2581	Cathepsin D	SINGLE PROTEIN	Homo sapiens	['P07339']	1000	1000	927	{'IC50': 704, 'Ki': 296}	0.01	2000.0
JAK1	CHEMBL2835	Tyrosine-protein kinase JAK1	SINGLE PROTEIN	Homo sapiens	['P23458']	1000	1000	634	{'IC50': 356, 'Kd': 204, 'Ki': 257, 'EC50': 183}	0.09	380.0
JAK1	CHEMBL2968	Tyrosine-protein kinase JAK1	SINGLE PROTEIN	Mus musculus	['P52332']	10	10	8	{'IC50': 10}	14.0	85.0
JAK1	CHEMBL4523618	JAK1/TYK2	PROTEIN COMPLEX	Mus musculus	['P52332', 'Q9R117']	2	2	2	{'IC50': 2}	112.0	205.5
JAK1	CHEMBL4742275	Protein cereblon/JAK1	PROTEIN-PROTEIN INTERACTION	Homo sapiens	['P23458', 'Q96SW2']	0	0	0	{}		
JAK1	CHEMBL3038492	JAK2/JAK1	PROTEIN COMPLEX	Homo sapiens	['P23458', 'O60674']	101	101	69	{'IC50': 91, 'EC50': 10}	3.0	633.0
JAK1	CHEMBL3301391	JAK1/TYK2	PROTEIN COMPLEX	Homo sapiens	['P23458', 'P29597']	202	202	149	{'IC50': 201, 'EC50': 1}	0.53	173.0
JAK1	CHEMBL3351191	Jak1 protein	SINGLE PROTEIN	Rattus norvegicus	['Q5FVF5']	1	1	1	{'IC50': 1}	29.0	29.0
JAK1	CHEMBL3885649	Tyrosine-protein kinase JAK1/JAK2	PROTEIN FAMILY	Mus musculus	['P52332', 'Q62120']	4	4	3	{'IC50': 4}	110.0	175.0
JAK1	CHEMBL3885650	Tyrosine-protein kinase JAK1/JAK3	PROTEIN FAMILY	Mus musculus	['P52332', 'Q62137']	5	5	4	{'IC50': 5}	42.0	70.0
JAK1	CHEMBL3038491	JAK3/JAK1	PROTEIN COMPLEX	Homo sapiens	['P52333', 'P23458']	322	322	217	{'IC50': 312, 'EC50': 10}	2.0	194.5
JAK2	CHEMBL2971	Tyrosine-protein kinase JAK2	SINGLE PROTEIN	Homo sapiens	['O60674']	1000	1000	808	{'IC50': 765, 'Kd': 128, 'Ki': 107}	0.036	270.0
JAK2	CHEMBL1075225	Tyrosine-protein kinase JAK2	SINGLE PROTEIN	Rattus norvegicus	['Q62689']	19	19	9	{'IC50': 19}	570.0	630.0
JAK2	CHEMBL1649049	Tyrosine-protein kinase JAK2	SINGLE PROTEIN	Mus musculus	['Q62120']	75	75	71	{'IC50': 74, 'EC50': 1}	10.0	384.0
JAK2	CHEMBL4742263	Protein cereblon/Tyrosine-protein kinase JAK2	PROTEIN-PROTEIN INTERACTION	Homo sapiens	['O60674', 'Q96SW2']	22	22	13	{'EC50': 22}	0.2	2.7
JAK2	CHEMBL3301392	JAK2/TYK2	PROTEIN COMPLEX	Homo sapiens	['O60674', 'P29597']	69	69	55	{'IC50': 68, 'EC50': 1}	0.053	380.0
JAK2	CHEMBL3038492	JAK2/JAK1	PROTEIN COMPLEX	Homo sapiens	['P23458', 'O60674']	101	101	69	{'IC50': 91, 'EC50': 10}	3.0	633.0
JAK2	CHEMBL3885649	Tyrosine-protein kinase JAK1/JAK2	PROTEIN FAMILY	Mus musculus	['P52332', 'Q62120']	4	4	3	{'IC50': 4}	110.0	175.0
JAK2	CHEMBL4802035	JAK2/JAK3	PROTEIN FAMILY	Homo sapiens	['P52333', 'O60674']	0	0	0	{}		
JAK2	CHEMBL5482983	JAK2-STAT3	PROTEIN COMPLEX	Homo sapiens	['O60674', 'P40763']	0	0	0	{}		
JAK2	CHEMBL3301390	JAK1/JAK2/TYK2	PROTEIN COMPLEX	Homo sapiens	['P23458', 'O60674', 'P29597']	39	39	31	{'IC50': 39}	7.943	100.0
STAT1	CHEMBL5045	Signal transducer and activator of transcription 1	SINGLE PROTEIN	Rattus norvegicus	['Q6P6Q7']	0	0	0	{}		
STAT1	CHEMBL1667670	Signal transducer and activator of transcription 1	SINGLE PROTEIN	Mus musculus	['P42225']	9	9	9	{'Ki': 3, 'IC50': 6}	6300.0	20000.0
STAT1	CHEMBL5291972	JAK1/STAT1	PROTEIN COMPLEX	Homo sapiens	['P23458', 'P42224']	1	1	1	{'IC50': 1}	191.0	191.0
STAT1	CHEMBL4523693	Protein cereblon/STAT1	PROTEIN-PROTEIN INTERACTION	Homo sapiens	['P42224', 'Q96SW2']	0	0	0	{}		
STAT1	CHEMBL6101	Signal transducer and activator of transcription 1-alpha/beta	SINGLE PROTEIN	Homo sapiens	['P42224']	692	692	599	{'IC50': 417, 'EC50': 257, 'Ki': 11, 'Kd': 7}	2.0	50000.0
STAT1	CHEMBL3885638	Signal transducer and activator of transcription 1/ 3	PROTEIN COMPLEX	Mus musculus	['P42227', 'P42225']	6	6	6	{'IC50': 6}	1460.0	3925.0
