dataset	cell_state	endpoint	model	n	coef	p	r2	status	formula
GSE282122_IBD_myeloid_antiTNF	DC	baseline	M0_clinical	29	-0.2098930872997785	0.4211906911825196	0.24412237953823324	ok	cd58_pre ~ remission + generic_nfkb_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	DC	baseline	M1_t_synapse	29	-0.1897841363878794	0.4762100428781579	0.2559819938809389	ok	cd58_pre ~ remission + generic_nfkb_score_pre + t_synapse_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	DC	baseline	M2_full_mixture	29	-0.08316525773075442	0.7903372161866677	0.33430837106968603	ok	cd58_pre ~ remission + generic_nfkb_score_pre + t_synapse_score_pre + apc_hla_score_pre + myeloid_score_pre + b_cell_score_pre + stromal_injury_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	DC	delta	M0_clinical	29	-0.20549383511322092	0.35213367834254256	0.5958150453490926	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	DC	delta	M1_t_synapse	29	-0.28714405463682224	0.2488436052823648	0.6110573368646282	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + t_synapse_score_pre + t_synapse_score_delta + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	DC	delta	M2_full_mixture	29	-0.3186803159456322	0.37961930978324665	0.6702378618837216	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + t_synapse_score_pre + t_synapse_score_delta + apc_hla_score_pre + apc_hla_score_delta + myeloid_score_pre + myeloid_score_delta + b_cell_score_pre + b_cell_score_delta + stromal_injury_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline	M0_clinical	29	0.18177812670183702	0.17319632161569984	0.6888241555288016	ok	cd58_pre ~ remission + generic_nfkb_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline	M1_t_synapse	29	0.1992106807203726	0.1342673417566626	0.7102506950998153	ok	cd58_pre ~ remission + generic_nfkb_score_pre + t_synapse_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	baseline	M2_full_mixture	29	0.03980282186840142	0.8261311889835752	0.7888131000804784	ok	cd58_pre ~ remission + generic_nfkb_score_pre + t_synapse_score_pre + apc_hla_score_pre + myeloid_score_pre + b_cell_score_pre + stromal_injury_score_pre + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta	M0_clinical	29	0.2535102920324657	0.3284080873503236	0.5265811964415796	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta	M1_t_synapse	29	0.2519138755266118	0.3595737045391437	0.535221614217213	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + t_synapse_score_pre + t_synapse_score_delta + C(Disease) + baseline_inflammation_score
GSE282122_IBD_myeloid_antiTNF	Mono_macro	delta	M2_full_mixture	29	0.13016235645511726	0.8042855682725863	0.6118894579560133	ok	cd58_delta ~ remission + cd58_pre + generic_nfkb_score_pre + generic_nfkb_score_delta + t_synapse_score_pre + t_synapse_score_delta + apc_hla_score_pre + apc_hla_score_delta + myeloid_score_pre + myeloid_score_delta + b_cell_score_pre + b_cell_score_delta + stromal_injury_score_pre + C(Disease) + baseline_inflammation_score
