deconvolution_call	candidate_promotion_call	n_compounds	max_opposite_queries	best_rank	example_compounds	example_names	example_aliases
NO_GO_UNRESOLVED	NO_GO	44	2	1	BRD-K05197617;BRD-K35024477;BRD-K05153001;BRD-A26595446;BRD-A36275421;BRD-K39345836;BRD-K07005393;BRD-A18411371	BRD-K05197617;BRD-K35024477;BRD-K05153001;BRD-A26595446;BRD-A36275421;BRD-K39345836;BRD-K07005393;BRD-A18411371	nan;nan;nan;nan;nan;nan;nan;nan
NO_GO_STEROID_PRIOR	NO_GO	3	1	1	BRD-K94353609;BRD-K30697463;BRD-A95513702	fluocinolone;BRD-K30697463;BRD-A95513702	nan;desoximetasone;androsta-1,4-dien-3,17-dione
NO_GO_UNRESOLVED_TOOL_COMPOUND	NO_GO	3	1	8	BRD-K43637719;BRD-A97833537;BRD-K89930444	KU-C104141;EMF-sumo1-1;AG-592	nan;nan;nan
NO_GO_UNRESOLVED_KINASE_TOOL	NO_GO	2	1	1	BRD-U33728988;BRD-K81142122	QL-X-138;STK-249718	nan;nan
NO_GO_PRIOR_GENERIC_LIPID_MEDIATOR	NO_GO	2	2	14	BRD-K92301463;BRD-K05396879	BRD-K92301463;BRD-K05396879	16,16-dimethylprostaglandin-e2;15-delta-prostaglandin-j2
NO_GO_PLEIOTROPIC_PURINE_SIGNALING	NO_GO	1	2	3	BRD-A20131130	BRD-A20131130	2',5'-dideoxyadenosine
NO_GO_ONCOLOGY_CELL_CYCLE	NO_GO	1	2	11	BRD-K53561341	KIN-001-220	aurora-a-inhibitor-i
NO_GO_ANTIMETABOLITE_SAFETY_PRIOR	NO_GO	1	1	18	BRD-K88429204	pyrimethamine	nan
NO_GO_PLEIOTROPIC_NATURAL_PRODUCT	NO_GO	1	2	23	BRD-K33583600	BRD-K33583600	isoliquiritigenin
NO_GO_GENERIC_NFKB_TOOL	NO_GO	1	1	24	BRD-K15025317	BAY-11-7082	nan
NO_GO_ANTIPARASITIC_MICROTUBULE	NO_GO	1	1	49	BRD-K77987382	mebendazole	nan
PARK_ALIAS_NEEDS_EXTERNAL_TARGETING	PARK_EXTERNAL_TARGET_LOOKUP_ONLY	1	1	26	BRD-A72180425	K784-3188	K-784-3188
