seed	rho	configuration	n_replicates	n_reject	rejection_rate	mc_standard_error	upper_two_se	gate_pass
57031	0.0	all_null	250000	427	0.001708	8.258529496223889e-05	0.001873170589924478	True
57031	0.0	one_arbitrarily_nonnull	250000	12153	0.048612	0.00043011102499703493	0.049472222049994075	True
57031	0.5	all_null	250000	2535	0.01014	0.0002003714590454439	0.010540742918090887	True
57031	0.5	one_arbitrarily_nonnull	250000	10742	0.042968	0.0004055699741154416	0.043779139948230884	True
57031	0.9	all_null	250000	4450	0.0178	0.00026444780203283973	0.01832889560406568	True
57031	0.9	one_arbitrarily_nonnull	250000	7231	0.028924	0.0003351859318288881	0.029594371863657775	True
57032	0.0	all_null	250000	389	0.001556	7.883092956447996e-05	0.00171366185912896	True
57032	0.0	one_arbitrarily_nonnull	250000	12366	0.049464	0.00043366951796961704	0.050331339035939233	True
57032	0.5	all_null	250000	2561	0.010244	0.00020138580351156831	0.010646771607023136	True
57032	0.5	one_arbitrarily_nonnull	250000	10910	0.04364	0.00040858561110249586	0.04445717122220499	True
57032	0.9	all_null	250000	4446	0.017784	0.00026433107531276	0.018312662150625523	True
57032	0.9	one_arbitrarily_nonnull	250000	7243	0.028972	0.0003354556496230165	0.029642911299246035	True
57033	0.0	all_null	250000	448	0.001792	8.458814895716775e-05	0.0019611762979143354	True
57033	0.0	one_arbitrarily_nonnull	250000	12225	0.0489	0.000431317933779712	0.04976263586755942	True
57033	0.5	all_null	250000	2566	0.010264	0.00020158025998594207	0.010667160519971885	True
57033	0.5	one_arbitrarily_nonnull	250000	10495	0.04198	0.00040108692125273793	0.04278217384250548	True
57033	0.9	all_null	250000	4544	0.018176	0.00026717509632448905	0.01871035019264898	True
57033	0.9	one_arbitrarily_nonnull	250000	7242	0.028968	0.0003354331824730523	0.029638866364946104	True
