source	rows	supportive_rows	path
direct_ratio_decision	1		results_v3/wave74_ephx2_direct_ratio_audit/ephx2_direct_ratio_decision.tsv
final_decision	1		results_v3/wave74_ephx2_oxylipin_specificity/final_decision.tsv
gene_evidence	10	0	results_v3/wave74_ephx2_oxylipin_specificity/ephx2_gene_evidence.tsv
module_specificity_margins	23		results_v3/wave74_ephx2_oxylipin_specificity/module_specificity_margins.tsv
metabolite_cross_disease_stats	7		results_v3/wave74_ephx2_oxylipin_specificity/metabolite_cross_disease_stats.tsv
