context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag	candidate_strong_support_flag
psoriasis_dendritic	LAMP3	ENSG00000078081	1404	30	30	8	0.0008416026830673	0.134614810347557	0.9517013430595398	-2.187689145406087e-05	0.0005927130563023	0.0080120650023066	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.456825634832924	0.1266027453452504	True	True
sjogren_APC	CTSL	ENSG00000135047	6899	30	30	6	0.0007617871160618	0.0446489490568637	0.5239836573600769	-0.0003063480059305	0.0010373475951341	-0.0082778289952936	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.029679084428995	0.0529267780521573	True	True
IBD_myeloid	CD300E	ENSG00000186407	15493	30	30	11	0.0006546974182128	0.0745452940464019	0.5358491539955139	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.9451323905283155	0.05776639104005879	True	True
IBD_myeloid	CD300LF	ENSG00000186074	15420	30	30	4	0.0005615353584289	0.0259183906018733	0.3409867286682129	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.7899827353940465	0.0091394875955302	True	True
IBD_myeloid	CTSB	ENSG00000164733	11238	30	30	25	0.0004594087658915	0.0740414634346962	0.7438310384750366	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.6199037821273444	0.05726256042835309	True	True
IBD_myeloid	ACSL3	ENSG00000123983	5378	30	30	3	0.000397960335249	0.0227537602186203	0.3713037669658661	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5175691746182316	0.005974857212277199	True	True
IBD_stromal	CD44	ENSG00000026508	457	30	30	3	8.030732715269551e-05	0.0106743732467293	0.5617672204971313	-0.0001054520408312	0.0004337186848319	-0.0118200320527345	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.428294593893025	0.0224944052994638	True	False
sjogren_duct	UGCG	ENSG00000148154	8924	30	30	3	0.0002222458570031	0.018618481233716	0.4950737953186035	-2.832214037577311e-06	0.0005748807780173	-0.0007546138115382	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.3915213025854623	0.0193730950452542	True	False
sjogren_APC	LGALS8	ENSG00000116977	4608	30	30	6	6.08364753134083e-05	0.0217141211032867	0.4397519528865814	-0.0003063480059305	0.0010373475951341	-0.0082778289952936	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.3539647491026781	0.0299919500985803	True	False
sjogren_APC	CTSB	ENSG00000164733	11238	30	30	18	-3.860725337290205e-05	-0.002895307727158	0.8774884343147278	-0.0003063480059305	0.0010373475951341	-0.0082778289952936	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.2581012900723855	0.0053825212681356	True	False
IBD_epithelial	FABP5	ENSG00000164687	11227	30	30	5	0.0002452373446431	0.0514863803982734	0.5899984240531921	0.000135829548041	0.0004366928323041	0.0123068067555626	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.2505371934428996	0.0391795736427108	True	False
t1d_stellate	PLIN2	ENSG00000147872	8901	30	30	9	0.000189595753909	0.0300874188542366	0.7091019749641418	-8.48288337389628e-05	0.0011080274369903	-0.0069835771602811	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.24766948767385552	0.0370709960145177	True	False
t1d_ductal	UGCG	ENSG00000148154	8924	30	30	12	0.0001465082168579	0.0351277999579906	0.4575774669647217	-1.4826655387878418e-05	0.000674605583154	0.0102326707060759	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.23915436852966074	0.0248951292519147	True	False
psoriasis_macrophage	CTSL	ENSG00000135047	6899	30	30	7	0.0001109838485717	0.0250812154263257	0.5529058575630188	2.3436049620310465e-05	0.0005395084364804	0.0231548104677737	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.16227327142931544	0.0019264049585520013	True	False
t1d_stellate	CTSB	ENSG00000164733	11238	30	30	8	2.8312206268310547e-05	-0.004182687960565	0.5294562578201294	-8.48288337389628e-05	0.0011080274369903	-0.0069835771602811	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.1021103234723093	0.0028008891997161004	True	False
t1d_stellate	LGALS8	ENSG00000116977	4608	30	30	5	1.850128137448337e-05	0.0118211135268211	0.3281541764736175	-8.48288337389628e-05	0.0011080274369903	-0.0069835771602811	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.09325591737522178	0.0188046906871022	True	False
IBD_stromal	CTSB	ENSG00000164733	11238	30	30	4	-6.529688835144043e-05	-0.0054368437267839	0.3780495822429657	-0.0001054520408312	0.0004337186848319	-0.0118200320527345	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.09258340459858869	0.0063831883259506	True	False
t1d_endothelial	GBA2	ENSG00000070610	1117	30	30	3	0.0001674095838097	0.0206533167511224	0.4650886952877044	0.0001220429937044	0.0007119963500216	0.0063570471742423	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.06371744757388673	0.0142962695768801	True	False
t1d_ductal	LGALS8	ENSG00000116977	4608	30	30	4	9.5367431640625e-06	0.0221693441271781	0.4280023574829101	-1.4826655387878418e-05	0.000674605583154	0.0102326707060759	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.03611502655823588	0.011936673421102198	True	False
IBD_stromal	UGCG	ENSG00000148154	8924	30	30	11	-9.056655107997358e-05	0.0035697044804692	0.3264849483966827	-0.0001054520408312	0.0004337186848319	-0.0118200320527345	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.03432060981416034	0.015389736533203701	True	False
t1d_ductal	CTSB	ENSG00000164733	11238	30	30	1	0.0016382336616516	0.1952613890171051	0.6520076394081116	-1.4826655387878418e-05	0.000674605583154	0.0102326707060759	positive_shift_means_deleted_embedding_moved_toward_control_centroid	2.450410074151603	0.1850287183110292	False	False
sjogren_acinar	CTSL	ENSG00000135047	6899	30	30	1	0.0022291541099548	-0.0673127323389053	0.8364119529724121	-9.347846110661824e-05	0.0010211506139933	-0.0096642198060483	positive_shift_means_deleted_embedding_moved_toward_control_centroid	2.2745249713737703	-0.05764851253285701	False	False
t1d_acinar	APOE	ENSG00000130203	6144	30	30	1	0.0016016960144042	-0.0121333515271544	0.387302815914154	-2.3672481377919517e-05	0.0007598105536372	-0.000811569353876	positive_shift_means_deleted_embedding_moved_toward_control_centroid	2.1391759932808365	-0.011321782173278401	False	False
t1d_acinar	FABP5	ENSG00000164687	11227	30	30	1	0.001184344291687	0.0920060575008392	0.4641155302524566	-2.3672481377919517e-05	0.0007598105536372	-0.000811569353876	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.5898920688613287	0.0928176268547152	False	False
t1d_acinar	CTSB	ENSG00000164733	11238	30	30	1	0.0011696815490722	0.0451247543096542	0.5520123839378357	-2.3672481377919517e-05	0.0007598105536372	-0.000811569353876	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.5705941760581692	0.045936323663530204	False	False
sjogren_duct	CTSL	ENSG00000135047	6899	30	30	1	0.0008418560028076	0.0230407230556011	0.4683236479759216	-2.832214037577311e-06	0.0005748807780173	-0.0007546138115382	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.469327639999398	0.023795336867139298	False	False
psoriasis_macrophage	CD300E	ENSG00000186407	15493	30	30	1	0.0006108880043029	0.038743108510971	0.3987792432308197	2.3436049620310465e-05	0.0005395084364804	0.0231548104677737	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.0888651871969963	0.0155882980431973	False	False
sjogren_duct	APOE	ENSG00000130203	6144	30	30	1	0.0005067586898803	-0.0276779402047395	0.4187570214271545	-2.832214037577311e-06	0.0005748807780173	-0.0007546138115382	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8864288447343808	-0.026923326393201302	False	False
sjogren_duct	LGALS8	ENSG00000116977	4608	30	30	2	0.0004689097404479	0.0125791868194937	0.4916997849941253	-2.832214037577311e-06	0.0005748807780173	-0.0007546138115382	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8205909338497329	0.0133338006310319	False	False
sjogren_APC	GPNMB	ENSG00000136235	7137	30	30	2	0.0004815757274627	0.0553647316992282	0.7366327047348022	-0.0003063480059305	0.0010373475951341	-0.0082778289952936	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.7595561382598505	0.0636425606945218	False	False
IBD_myeloid	APOE	ENSG00000130203	6144	30	30	1	0.0005361437797546	0.0334310457110405	0.9421608448028564	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.7476962650887482	0.016652142704697396	False	False
IBD_myeloid	UGCG	ENSG00000148154	8924	30	30	1	0.0004467964172363	0.036326989531517	0.2168092280626297	8.717775344848632e-05	0.0006004657870704	0.0167789030063431	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5988995069017166	0.0195480865251739	False	False
t1d_endothelial	PLIN2	ENSG00000147872	8901	30	30	1	0.0005126595497131	-0.0303835999220609	0.5268405079841614	0.0001220429937044	0.0007119963500216	0.0063570471742423	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5486215708786284	-0.0367406470963032	False	False
psoriasis_keratinocyte	CHI3L1	ENSG00000133048	6605	30	30	2	0.0001610219478607	0.0295470170676708	0.3838599324226379	-0.000140265127023	0.0005712425554997	-0.0055408724758308	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5274240722842264	0.0350878895435016	False	False
t1d_ductal	CTSL	ENSG00000135047	6899	30	30	1	0.0003085732460021	0.0524318441748619	0.383666455745697	-1.4826655387878418e-05	0.000674605583154	0.0102326707060759	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.4793910834208916	0.042199173468786	False	False
