n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	seed
2000	1999	85	0.0425	0.03450117971009799	0.05225291855224844	0.016	0.0265	-0.060992014319977944	-0.012552643822238158	23.0	162.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.15	1.0	55201
2000	2000	103	0.0515	0.042644720050338814	0.062074871360945055	0.024	0.0275	-0.028552491635154262	-0.004185435109662202	46.0	162.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.3	1.0	55201
2000	2000	87	0.0435	0.03540128785854411	0.0533489763092398	0.015	0.0285	-0.08251637572986156	-0.013100783506039396	40.0	288.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.15	1.0	55201
2000	2000	89	0.0445	0.03630266512840682	0.054443764944814586	0.02	0.0245	-0.07752903179888793	-0.00881381530336229	82.0	288.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.3	1.0	55201
2000	2000	106	0.053	0.04401045720579706	0.06370338306364304	0.017	0.036	-0.10174618584675557	-0.013081177682857147	57.0	405.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	55201
2000	2000	114	0.057	0.047662768878229574	0.06803573501296051	0.0225	0.0345	-0.14916402028378278	-0.01390547245543582	115.0	405.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	55201
2000	2000	98	0.049	0.04037353995030726	0.05935563669738288	0.022	0.027	-0.06790677816664878	-0.01492138186579597	23.0	162.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	180	0.15	1.0	55201
2000	2000	88	0.044	0.03585182041641652	0.05389652670408614	0.0195	0.0245	-0.10307453813285207	-0.01568069776323018	46.0	162.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	180	0.3	1.0	55201
2000	2000	81	0.0405	0.03270494331440327	0.05005682313706816	0.019	0.0215	-0.05759605011092182	-0.009277149503439257	40.0	288.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	320	0.15	1.0	55201
2000	2000	111	0.0555	0.04629144858684901	0.06641280644618483	0.022	0.0335	-0.11820061883637309	-0.013401868266730853	82.0	288.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	320	0.3	1.0	55201
2000	2000	112	0.056	0.04674833393876454	0.06695400404698805	0.02	0.036	-0.12418538485963573	-0.016202918012717428	57.0	405.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	450	0.15	1.0	55201
2000	2000	114	0.057	0.047662768878229574	0.06803573501296051	0.02	0.037	-0.16697616680367766	-0.01588312160182906	115.0	405.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	450	0.3	1.0	55201
2000	2000	112	0.056	0.04674833393876454	0.06695400404698805	0.0255	0.0305	-0.04143703210540675	-0.008004467364980124	23.0	162.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	180	0.15	1.0	55201
2000	2000	107	0.0535	0.04446618753651597	0.06424573568564287	0.018	0.0355	-0.06751173984635048	-0.010285265425120692	46.0	162.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	180	0.3	1.0	55201
2000	2000	130	0.065	0.055007837621403224	0.07665999351328683	0.029	0.036	-0.12870135848865802	-0.020857536190453288	41.0	288.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	320	0.15	1.0	55201
2000	2000	110	0.055	0.04583478836864504	0.06587138371167006	0.022	0.033	-0.10657298101653871	-0.011601914128403239	82.0	288.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	320	0.3	1.0	55201
2000	2000	98	0.049	0.04037353995030726	0.05935563669738288	0.0175	0.0315	-0.07616012346546258	-0.010413584587150738	58.0	405.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	450	0.15	1.0	55201
2000	2000	105	0.0525	0.04355496702511128	0.06316079029161008	0.0185	0.034	-0.13581327640649266	-0.012818330582028073	115.0	405.0	switch_weak_joint	none	none	weak_joint	balanced	guarded_within_site_stratified	450	0.3	1.0	55201
2000	1995	90	0.045	0.03675381704471326	0.05499069598122689	0.02	0.025	-0.1551164192678344	-0.034236745043671316	20.0	162.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	180	0.15	1.0	55201
2000	2000	104	0.052	0.043099720209557914	0.06261795415444468	0.0155	0.0365	-0.13537571823553804	-0.021313932613348362	42.0	162.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	180	0.3	1.0	55201
2000	2000	111	0.0555	0.04629144858684901	0.06641280644618483	0.014	0.0415	-0.21988102572252943	-0.03654194338422741	37.0	288.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	320	0.15	1.0	55201
2000	2000	107	0.0535	0.04446618753651597	0.06424573568564287	0.0085	0.045	-0.2676043255023193	-0.030992164405475885	74.0	288.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	320	0.3	1.0	55201
2000	2000	99	0.0495	0.040827254610808245	0.059900004989600644	0.0125	0.037	-0.24396832209383956	-0.034716027635753995	51.0	405.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	450	0.15	1.0	55201
2000	2000	129	0.0645	0.05454732717628902	0.07612242100568228	0.0145	0.05	-0.3066182186376123	-0.030086263957391602	104.0	405.0	weak_joint_all	weak_joint	weak_joint	weak_joint	balanced	guarded_within_site_stratified	450	0.3	1.0	55201
2000	2000	95	0.0475	0.03901402059617837	0.05772090719335553	0.0215	0.026	-0.08070217486327258	-0.018131783206316643	23.0	162.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.15	1.0	55207
2000	2000	97	0.0485	0.03992009344287708	0.05881100025209431	0.0225	0.026	-0.09450922167100244	-0.014455125675439473	46.0	162.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.3	1.0	55207
2000	2000	95	0.0475	0.03901402059617837	0.05772090719335553	0.02	0.0275	-0.05899063309717851	-0.009420051508416467	41.0	288.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.15	1.0	55207
2000	2000	108	0.054	0.0449221548758202	0.0647878512990574	0.021	0.033	-0.12171688631774549	-0.013554787189381889	82.0	288.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.3	1.0	55207
2000	2000	104	0.052	0.043099720209557914	0.06261795415444468	0.0175	0.0345	-0.1422907135169773	-0.018512933419515203	57.0	405.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	55207
2000	2000	122	0.061	0.05132898110812262	0.07235418640481744	0.0225	0.0385	-0.18785124800006492	-0.017330795717744082	115.0	405.0	attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	55207
2000	1999	106	0.053	0.04401045720579706	0.06370338306364304	0.0175	0.0355	-0.08475065317769503	-0.017697484003077364	23.0	162.0	death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	180	0.15	1.0	55207
