stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_z_across_seeds	median_one_step_log_hr_across_seeds	median_events_across_seeds	median_usable_n_across_seeds
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.15	1.0	6000	5997	263	0.043833333333333335	0.03893850259784853	0.04931190548750559	0.0415	0.0475	0.016833333333333332	0.027	-0.08070217486327258	-0.018131783206316643	23.0	162.0
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	180	0.3	1.0	6000	6000	295	0.049166666666666664	0.0439783576912876	0.05493189217019682	0.0475	0.0515	0.02033333333333333	0.028833333333333332	-0.07708826808504135	-0.011374533011017951	46.0	162.0
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.15	1.0	6000	6000	291	0.0485	0.043347347327911	0.05423042231155714	0.0435	0.0545	0.017833333333333333	0.030666666666666665	-0.08251637572986156	-0.013100783506039396	41.0	288.0
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	320	0.3	1.0	6000	6000	288	0.048	0.042874274410302136	0.05370413506265379	0.0445	0.054	0.0195	0.0285	-0.11707606467787735	-0.013266781741399105	82.0	288.0
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.15	1.0	6000	6000	308	0.051333333333333335	0.04603102574791475	0.057209784835122623	0.049	0.053	0.018	0.03333333333333333	-0.10687296098307204	-0.014041711216128818	57.0	405.0
attendance_weak_joint	weak_joint	none	none	balanced	guarded_within_site_stratified	450	0.3	1.0	6000	6000	342	0.057	0.05141215748643862	0.06315473498373722	0.053	0.061	0.021333333333333333	0.035666666666666666	-0.14916402028378278	-0.01390547245543582	115.0	405.0
death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	180	0.15	1.0	6000	5998	286	0.04766666666666667	0.04255898179197121	0.053353187569976576	0.041	0.053	0.019833333333333335	0.027833333333333335	-0.0843916042435207	-0.016841265197073383	23.0	162.0
death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	180	0.3	1.0	6000	6000	297	0.0495	0.044293966979636154	0.05528252299285642	0.0425	0.062	0.021333333333333333	0.028166666666666666	-0.047859462483571064	-0.006995011447080131	46.0	162.0
death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	320	0.15	1.0	6000	6000	278	0.04633333333333333	0.04129854152218354	0.05194866739573166	0.0405	0.051	0.02	0.026333333333333334	-0.05759605011092182	-0.009277149503439257	40.0	288.0
death_weak_joint	none	weak_joint	none	balanced	guarded_within_site_stratified	320	0.3	1.0	6000	6000	312	0.052	0.0466631769709851	0.05791011383406855	0.0465	0.0555	0.019666666666666666	0.03233333333333333	-0.11969351512766932	-0.013401868266730853	82.0	288.0
