row	field	value	status
1	relationship_class	converges	PASS
1	synthesis_status	CORROBORATION_FROM_INDEPENDENT_SOURCE	PASS
1	converges_requires_corroboration_status	CORROBORATION_FROM_INDEPENDENT_SOURCE	PASS
2	relationship_class	converges	PASS
2	synthesis_status	CORROBORATION_FROM_INDEPENDENT_SOURCE	PASS
2	converges_requires_corroboration_status	CORROBORATION_FROM_INDEPENDENT_SOURCE	PASS
3	relationship_class	insufficient-overlap	PASS
3	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
4	relationship_class	insufficient-overlap	PASS
4	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
5	relationship_class	insufficient-overlap	PASS
5	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
6	relationship_class	insufficient-overlap	PASS
6	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
7	relationship_class	insufficient-overlap	PASS
7	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
8	relationship_class	insufficient-overlap	PASS
8	synthesis_status	RESOURCE_CAN_QUEUE_FUTURE_CHECK	PASS
9	relationship_class	insufficient-overlap	PASS
9	synthesis_status	RESOURCE_CAN_QUEUE_FUTURE_CHECK	PASS
10	relationship_class	insufficient-overlap	PASS
10	synthesis_status	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	PASS
11	relationship_class	insufficient-overlap	PASS
11	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
12	relationship_class	insufficient-overlap	PASS
12	synthesis_status	NO_DIRECT_EXTERNAL_CORROBORATION	PASS
