accession	role	filename	url	bytes	sha256
GSE284005	human_chronic_active_ms_merfish_raw	GSE284005_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE284nnn/GSE284005/suppl/GSE284005_RAW.tar	32901120	3ce260f688412e14a9e0403e24ee0bc0a4d3c8344684e5cfb0836677b8f63816
GSE284005	human_chronic_active_ms_merfish_metadata_soft	GSE284005_family.soft.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE284nnn/GSE284005/soft/GSE284005_family.soft.gz	4252	80f14d47c104cba9caa10c33eba0beaba275a5c48d0e5f396fe66281ce12850a
GSE301908	independent_human_chronic_active_ms_snrnaseq_seurat_object	GSE301908_sn_all.rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE301nnn/GSE301908/suppl/GSE301908_sn_all.rds	1407794254	64b053005da89f319f7503c42ea320b9e88c372125acffc5eb882132679a5a83
