gene	wave55_genetic_diseases	wave55_n_genetic_diseases	wave55_ms_genetic	wave62_call	manual_blocker	prior_context_blocker	strong_l2g_diseases	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	wave104_call	wave104_missing_gates	wave103_bridge_call	wave103_bridge_positive_disease_count	wave96_call	wave96_failures
TNFSF14	MS	1	0.8588999105274142	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	HVEM_LIGHT_axis_directionality_prior_art		MS	MS	0.9683961868286132	0.99996835676439	0.4652328150134472	0.1529206114338398	0.8989378106274888	PARK_MS_GENETICS_NARROW_OR_WEAK	cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality;prior_or_safety	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE			
TNFRSF14	AITD;AS;Celiac;Crohn;Psoriasis;RA;UC	7	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	HVEM_LIGHT_axis_directionality_prior_art	prior_branch_blocker_or_directionality_unresolved	Celiac;RA	Celiac;MS;RA;T1D	0.0652648583054542	0.9398596564252308	0.1181719314021272	0.5322230065988012	0.9357323188472788	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety				
LTBR	Celiac;Crohn	2	0.0	NO_GO_WAVE62_TARGET_RESOLUTION				Crohn;MS	0.1860812157392501	0.9968393804296816	-0.4419991674012227	0.0346281449012922	0.8506970233122761	PARK_MS_GENETICS_NARROW_OR_WEAK	cross_autoimmune_genetics;lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality				
