analysis	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	tissue_up_trend	tissue_down_trend
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TNFSF14	3	3	-0.1235202172750817	-0.0113671087178525	-0.1121531085572292	-1.9769424250184373	-3.026562620097227	0.0539814067649712	0.4523459235481085	False	False
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TNFSF14	6	6	0.7573295227773684	0.0105897632505025	0.7467397595268659	1.2537895406732409	2.352596118648207	0.0627614094902648	0.4718652239195185	True	False
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	TNFSF14	6	6	0.5195226651919199	0.0105897632505025	0.5089329019414174	1.1201968181946556	2.1019242872226513	0.0847980926116163	0.5095817774173009	True	False
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TNFSF14	5	19	0.484755508323921	0.0024506426847748	0.4823048656391461	1.9460222627660515	2.018886629842264	0.11273964189089	0.565412929420364	False	False
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TNFSF14	5	17	0.5164273400731763	-0.010678764283964	0.5271061043571403	1.4612400237546554	1.545963563605822	0.1966111701462083	0.6332766702412878	False	False
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TNFSF14	5	18	0.6024832045390245	-0.0202057357431431	0.6226889402821676	1.421225102712618	1.4532136381279757	0.2196355527224867	0.6589539973724172	False	False
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TNFSF14	3	3	-0.0940323324925419	0.03315877037331	-0.127191102865852	-0.8761520484233369	-1.3413284098321463	0.3086720435415765	0.6971279160335306	False	False
sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	TNFSF14	11	14	0.0416083639713283	0.0118536263924397	0.0297547375788886	0.4329050047567614	1.007909303080674	0.3333524319032385	0.7000024535402347	False	False
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TNFSF14	4	17	0.0098881334704582	-0.0221305598282105	0.0320186932986688	0.3656417657060101	0.9468526177798912	0.3720961990362668	0.7002360501784015	False	False
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TNFSF14	6	6	0.1144053141442843	0.0171591374428292	0.097246176701455	0.4942788350545375	0.9274590600387836	0.3765593711196237	0.7018964370424519	False	False
ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	TNFSF14	6	6	-0.0181322325337342	0.0171591374428292	-0.0352913699765635	-0.2053570698270899	-0.3853296185201553	0.7108884616088305	0.9018670432524633	False	False
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TNFSF14	3	3	0.0154333035457039	0.0006913517858806	0.0147419517598232	0.2615112001649004	0.4003556265167763	0.7226071225956398	0.9087099344498504	False	False
ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	TNFSF14	6	6	0.006777970040268	-0.0026249840307965	0.0094029540710645	0.1678450940841299	0.3149425833177991	0.763693555810872	0.9334634488445532	False	False
sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TNFSF14	10	14	0.031987847626144	0.0212151496563369	0.0107726979698071	0.1013705352582736	0.2552215817845958	0.801160038392266	0.9555149349466808	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	TNFSF14	6	6	-0.0051832099589402	-0.0026249840307965	-0.0025582259281437	-0.0825343165782971	-0.1548664321550503	0.8806796636206198	0.9885830731917584	False	False
ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	TNFSF14	18	18	0.0119103345956801	0.0081208747927605	0.0037894598029196	0.0471148292098661	0.1445568623484528	0.8863207340353538	0.9885830731917584	False	False
sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	TNFSF14	9	13	0.0515939453429725	0.0447220846812998	0.0068718606616726	0.0315058522215431	0.0698786192217156	0.9453822321092208	1.0	False	False
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TNFSF14	3	19	0.082913511097173	0.0848621159588692	-0.0019486048616962	-0.0053724786626856	-0.0167897892683049	0.9870320747779896	1.0	False	False
