marker_compartment	module	n_genes_present	genes_present
b_plasma_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
b_plasma_like	hla_ii_apc	2	CIITA,RFX5
b_plasma_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
b_plasma_like	mif_cd74_receptor_state	2	CD44,CXCR4
b_plasma_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
b_plasma_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
b_plasma_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
b_plasma_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
b_plasma_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
b_plasma_like	published_nonresponse_macrophage_inflammation	8	IL1B,IL6,CXCL1,CXCL8,S100A9,MMP9,MMP12,FCGR3A
b_plasma_like	tofacitinib_responder_baseline_jakstat	10	STAT1,STAT2,IRF1,IRF7,JAK1,JAK2,TYK2,CXCL10,GBP1,NLRC5
epithelial_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
epithelial_like	hla_ii_apc	2	CIITA,RFX5
epithelial_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
epithelial_like	mif_cd74_receptor_state	2	CD44,CXCR4
epithelial_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
epithelial_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
epithelial_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
epithelial_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
epithelial_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
epithelial_like	published_nonresponse_macrophage_inflammation	8	IL1B,IL6,CXCL1,CXCL8,S100A9,MMP9,MMP12,FCGR3A
epithelial_like	tofacitinib_responder_baseline_jakstat	10	STAT1,STAT2,IRF1,IRF7,JAK1,JAK2,TYK2,CXCL10,GBP1,NLRC5
myeloid_apc_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
myeloid_apc_like	hla_ii_apc	2	CIITA,RFX5
myeloid_apc_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
myeloid_apc_like	mif_cd74_receptor_state	2	CD44,CXCR4
myeloid_apc_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
myeloid_apc_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
myeloid_apc_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
myeloid_apc_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
myeloid_apc_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
myeloid_apc_like	published_nonresponse_macrophage_inflammation	8	IL1B,IL6,CXCL1,CXCL8,S100A9,MMP9,MMP12,FCGR3A
myeloid_apc_like	tofacitinib_responder_baseline_jakstat	10	STAT1,STAT2,IRF1,IRF7,JAK1,JAK2,TYK2,CXCL10,GBP1,NLRC5
stromal_endothelial_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
stromal_endothelial_like	hla_ii_apc	2	CIITA,RFX5
stromal_endothelial_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
stromal_endothelial_like	mif_cd74_receptor_state	2	CD44,CXCR4
stromal_endothelial_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
stromal_endothelial_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
stromal_endothelial_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
stromal_endothelial_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
stromal_endothelial_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
stromal_endothelial_like	published_nonresponse_macrophage_inflammation	8	IL1B,IL6,CXCL1,CXCL8,S100A9,MMP9,MMP12,FCGR3A
stromal_endothelial_like	tofacitinib_responder_baseline_jakstat	10	STAT1,STAT2,IRF1,IRF7,JAK1,JAK2,TYK2,CXCL10,GBP1,NLRC5
t_cell_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
t_cell_like	hla_ii_apc	2	CIITA,RFX5
t_cell_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t_cell_like	mif_cd74_receptor_state	2	CD44,CXCR4
t_cell_like	mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
t_cell_like	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
t_cell_like	complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
t_cell_like	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
t_cell_like	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
t_cell_like	published_nonresponse_macrophage_inflammation	8	IL1B,IL6,CXCL1,CXCL8,S100A9,MMP9,MMP12,FCGR3A
t_cell_like	tofacitinib_responder_baseline_jakstat	10	STAT1,STAT2,IRF1,IRF7,JAK1,JAK2,TYK2,CXCL10,GBP1,NLRC5
