dataset	path	gene	status	n_cells	n_features	feature_hits	pct_detected	mean_expression
ibd_human_10x	data/raw_v3/cell_state/ibd_human_10x.h5ad	GPR25	ok	46700	32354	1	4.282655246252677e-05	4.282655246252677e-05
ibd_human_10x	data/raw_v3/cell_state/ibd_human_10x.h5ad	KIF21B	ok	46700	32354	1	0.019379014989293362	0.020107066381156318
ibd_human_10x	data/raw_v3/cell_state/ibd_human_10x.h5ad	CXCL17	ok	46700	32354	1	0.0002997858672376874	0.0006423982869379015
ibd_gse282122_myeloid	data/raw_v3/wave67_gse282122_myeloid/myeloid_final.h5ad	GPR25	ok	30858	33075	1	0.0	0.0
ibd_gse282122_myeloid	data/raw_v3/wave67_gse282122_myeloid/myeloid_final.h5ad	KIF21B	ok	30858	33075	1	0.01633287964223216	0.016754164236178624
ibd_gse282122_myeloid	data/raw_v3/wave67_gse282122_myeloid/myeloid_final.h5ad	CXCL17	ok	30858	33075	1	3.240650722665111e-05	3.240650722665111e-05
ra_binvignat_blood	data/raw_v3/cell_state/ra_binvignat_blood.h5ad	GPR25	ok	108717	21648	1	4.599096737400775e-05	0.00012486687819895473
ra_binvignat_blood	data/raw_v3/cell_state/ra_binvignat_blood.h5ad	KIF21B	ok	108717	21648	1	0.006677888462705925	0.02008549312156738
ra_binvignat_blood	data/raw_v3/cell_state/ra_binvignat_blood.h5ad	CXCL17	ok	108717	21648	1	0.0001287747086472217	0.00044626799585654396
sjogren_salivary	data/raw_v3/cell_state/sjogren_salivary.h5ad	GPR25	ok	94227	31969	1	0.0001591900410710306	0.0002512413595353971
sjogren_salivary	data/raw_v3/cell_state/sjogren_salivary.h5ad	KIF21B	ok	94227	31969	1	0.004213229753679943	0.0072784055370437705
sjogren_salivary	data/raw_v3/cell_state/sjogren_salivary.h5ad	CXCL17	ok	94227	31969	1	0.1340486272512125	0.23457484092743158
psoriasis_skin	data/raw_v3/cell_state/psoriasis_skin.h5ad	GPR25	ok	24126	28082	1	8.289811821271657e-05	8.289811821271657e-05
psoriasis_skin	data/raw_v3/cell_state/psoriasis_skin.h5ad	KIF21B	ok	24126	28082	1	0.02171930697173174	0.025574069468623062
psoriasis_skin	data/raw_v3/cell_state/psoriasis_skin.h5ad	CXCL17	gene_absent	24126	28082	0	0.0	0.0
