dataset	celltype_column	celltype	gene	n_cells	pct_detected	mean_expression
ibd_human_10x	cell_type	T cell of anorectum	GPR25	12128	0.0	0.0
ibd_human_10x	cell_type	colon epithelial cell	GPR25	12347	0.0	0.0
ibd_human_10x	cell_type	myeloid cell	GPR25	3771	0.0	0.0
ibd_human_10x	cell_type	plasma cell	GPR25	15633	0.00012793449753726091	0.00012793449753726091
ibd_human_10x	cell_type	stromal cell of lamina propria of colon	GPR25	2821	0.0	0.0
ibd_human_10x	cell_type	T cell of anorectum	KIF21B	12128	0.040897097625329816	0.042793535620052774
ibd_human_10x	cell_type	colon epithelial cell	KIF21B	12347	0.0076941767230906295	0.007856159390945168
ibd_human_10x	cell_type	myeloid cell	KIF21B	3771	0.008220631132325643	0.008750994431185362
ibd_human_10x	cell_type	plasma cell	KIF21B	15633	0.017399091665067486	0.017846862406447898
ibd_human_10x	cell_type	stromal cell of lamina propria of colon	KIF21B	2821	0.0038993264799716413	0.0038993264799716413
ibd_human_10x	cell_type	T cell of anorectum	CXCL17	12128	0.00016490765171503957	0.00016490765171503957
ibd_human_10x	cell_type	colon epithelial cell	CXCL17	12347	0.0008099133392726978	0.002105774682109014
ibd_human_10x	cell_type	myeloid cell	CXCL17	3771	0.0	0.0
ibd_human_10x	cell_type	plasma cell	CXCL17	15633	0.00012793449753726091	0.00012793449753726091
ibd_human_10x	cell_type	stromal cell of lamina propria of colon	CXCL17	2821	0.0	0.0
ra_binvignat_blood	cell_type	CD4-positive, alpha-beta T cell	GPR25	595	0.0	0.0
ra_binvignat_blood	cell_type	CD8-positive, alpha-beta memory T cell	GPR25	2292	0.0	0.0
ra_binvignat_blood	cell_type	central memory CD4-positive, alpha-beta T cell	GPR25	21531	4.6444661186196645e-05	0.00010887620109227501
ra_binvignat_blood	cell_type	classical monocyte	GPR25	15391	0.0	0.0
ra_binvignat_blood	cell_type	effector memory CD4-positive, alpha-beta T cell	GPR25	12531	7.980209081477934e-05	0.00018499826226246993
ra_binvignat_blood	cell_type	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	GPR25	2702	0.0	0.0
ra_binvignat_blood	cell_type	gamma-delta T cell	GPR25	1424	0.0	0.0
ra_binvignat_blood	cell_type	memory B cell	GPR25	6177	0.0	0.0
ra_binvignat_blood	cell_type	myeloid dendritic cell	GPR25	6047	0.000165371258475277	0.0004370706188239124
ra_binvignat_blood	cell_type	naive B cell	GPR25	6760	0.0	0.0
ra_binvignat_blood	cell_type	naive thymus-derived CD4-positive, alpha-beta T cell	GPR25	17043	0.0	0.0
ra_binvignat_blood	cell_type	naive thymus-derived CD8-positive, alpha-beta T cell	GPR25	2882	0.0	0.0
ra_binvignat_blood	cell_type	natural killer cell	GPR25	9698	0.00020622808826562179	0.0006465002737676613
ra_binvignat_blood	cell_type	non-classical monocyte	GPR25	2171	0.0	0.0
ra_binvignat_blood	cell_type	plasmablast	GPR25	1473	0.0	0.0
ra_binvignat_blood	cell_type	CD4-positive, alpha-beta T cell	KIF21B	595	0.018487394957983194	0.055931199498537205
ra_binvignat_blood	cell_type	CD8-positive, alpha-beta memory T cell	KIF21B	2292	0.010907504363001745	0.030044821128379195
ra_binvignat_blood	cell_type	central memory CD4-positive, alpha-beta T cell	KIF21B	21531	0.007106033161488087	0.021358527810988494
ra_binvignat_blood	cell_type	classical monocyte	KIF21B	15391	0.0022740562666493406	0.0059736309503224784
ra_binvignat_blood	cell_type	effector memory CD4-positive, alpha-beta T cell	KIF21B	12531	0.007581198627404038	0.023655936063672566
ra_binvignat_blood	cell_type	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	KIF21B	2702	0.0055514433752775726	0.015455727750155593
ra_binvignat_blood	cell_type	gamma-delta T cell	KIF21B	1424	0.006320224719101123	0.018315321776304353
ra_binvignat_blood	cell_type	memory B cell	KIF21B	6177	0.005989962765096325	0.017849616910215912
ra_binvignat_blood	cell_type	myeloid dendritic cell	KIF21B	6047	0.005291880271208864	0.014334085107105949
ra_binvignat_blood	cell_type	naive B cell	KIF21B	6760	0.005473372781065089	0.016729900470146768
ra_binvignat_blood	cell_type	naive thymus-derived CD4-positive, alpha-beta T cell	KIF21B	17043	0.00698233879011911	0.0220655734316743
ra_binvignat_blood	cell_type	naive thymus-derived CD8-positive, alpha-beta T cell	KIF21B	2882	0.009368494101318528	0.02675667568513869
ra_binvignat_blood	cell_type	natural killer cell	KIF21B	9698	0.011342544854609197	0.03559169006682003
ra_binvignat_blood	cell_type	non-classical monocyte	KIF21B	2171	0.00783049286043298	0.020766694718162785
ra_binvignat_blood	cell_type	plasmablast	KIF21B	1473	0.0027155465037338763	0.008111867626265288
ra_binvignat_blood	cell_type	CD4-positive, alpha-beta T cell	CXCL17	595	0.0	0.0
ra_binvignat_blood	cell_type	CD8-positive, alpha-beta memory T cell	CXCL17	2292	0.0	0.0
ra_binvignat_blood	cell_type	central memory CD4-positive, alpha-beta T cell	CXCL17	21531	9.288932237239329e-05	0.0003085329863603335
ra_binvignat_blood	cell_type	classical monocyte	CXCL17	15391	0.00012994607237996233	0.0004076171080880707
ra_binvignat_blood	cell_type	effector memory CD4-positive, alpha-beta T cell	CXCL17	12531	0.00015960418162955868	0.0005474424487756205
ra_binvignat_blood	cell_type	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CXCL17	2702	0.0003700962250185048	0.0012980870720547804
ra_binvignat_blood	cell_type	gamma-delta T cell	CXCL17	1424	0.0	0.0
ra_binvignat_blood	cell_type	memory B cell	CXCL17	6177	0.00048567265662943174	0.001719527555666098
ra_binvignat_blood	cell_type	myeloid dendritic cell	CXCL17	6047	0.0	0.0
ra_binvignat_blood	cell_type	naive B cell	CXCL17	6760	0.0	0.0
ra_binvignat_blood	cell_type	naive thymus-derived CD4-positive, alpha-beta T cell	CXCL17	17043	0.0001760253476500616	0.0006496477230595554
ra_binvignat_blood	cell_type	naive thymus-derived CD8-positive, alpha-beta T cell	CXCL17	2882	0.0	0.0
ra_binvignat_blood	cell_type	natural killer cell	CXCL17	9698	0.00010311404413281089	0.0003649575805192044
ra_binvignat_blood	cell_type	non-classical monocyte	CXCL17	2171	0.0	0.0
ra_binvignat_blood	cell_type	plasmablast	CXCL17	1473	0.0	0.0
sjogren_salivary	cell_type	B cell	GPR25	1117	0.0	0.0
sjogren_salivary	cell_type	CD4-positive, alpha-beta T cell	GPR25	3270	0.0009174311926605505	0.0018503927309578712
sjogren_salivary	cell_type	CD8-positive, alpha-beta cytotoxic T cell	GPR25	2032	0.0	0.0
sjogren_salivary	cell_type	CD8-positive, alpha-beta regulatory T cell	GPR25	74	0.0	0.0
sjogren_salivary	cell_type	IgA plasma cell	GPR25	8916	0.0005607895917451772	0.0005273218945624744
sjogren_salivary	cell_type	IgG plasma cell	GPR25	1975	0.0	0.0
sjogren_salivary	cell_type	acinar cell of salivary gland	GPR25	47033	2.12616673399528e-05	4.2982694584773886e-06
sjogren_salivary	cell_type	alternatively activated macrophage	GPR25	504	0.0	0.0
sjogren_salivary	cell_type	dendritic cell	GPR25	404	0.0	0.0
sjogren_salivary	cell_type	duct epithelial cell	GPR25	3064	0.0	0.0
sjogren_salivary	cell_type	effector CD8-positive, alpha-beta T cell	GPR25	2422	0.002064409578860446	0.0043943225106948865
sjogren_salivary	cell_type	endothelial cell	GPR25	5750	0.0	0.0
sjogren_salivary	cell_type	fibroblast	GPR25	11625	0.0	0.0
sjogren_salivary	cell_type	inflammatory macrophage	GPR25	787	0.0	0.0
sjogren_salivary	cell_type	ionocyte	GPR25	405	0.0	0.0
sjogren_salivary	cell_type	mature NK T cell	GPR25	402	0.0	0.0
sjogren_salivary	cell_type	myoepithelial cell	GPR25	3862	0.0	0.0
sjogren_salivary	cell_type	pro-T cell	GPR25	111	0.009009009009009009	0.018703817247270462
sjogren_salivary	cell_type	smooth muscle cell	GPR25	474	0.0	0.0
sjogren_salivary	cell_type	B cell	KIF21B	1117	0.012533572068039392	0.027915317455144896
sjogren_salivary	cell_type	CD4-positive, alpha-beta T cell	KIF21B	3270	0.020489296636085626	0.047345818219199455
sjogren_salivary	cell_type	CD8-positive, alpha-beta cytotoxic T cell	KIF21B	2032	0.02312992125984252	0.05474113590839341
sjogren_salivary	cell_type	CD8-positive, alpha-beta regulatory T cell	KIF21B	74	0.013513513513513514	0.030911168536624394
sjogren_salivary	cell_type	IgA plasma cell	KIF21B	8916	0.004374158815612382	0.004053334249689099
sjogren_salivary	cell_type	IgG plasma cell	KIF21B	1975	0.0030379746835443038	0.0036219417294369467
sjogren_salivary	cell_type	acinar cell of salivary gland	KIF21B	47033	0.001169391703697404	0.0008852675240629827
sjogren_salivary	cell_type	alternatively activated macrophage	KIF21B	504	0.007936507936507936	0.009774484449908846
sjogren_salivary	cell_type	dendritic cell	KIF21B	404	0.009900990099009901	0.012078994571572483
sjogren_salivary	cell_type	duct epithelial cell	KIF21B	3064	0.0013054830287206266	0.0005617942417881818
