context	cell_state	disease_filter	gene	ensembl_id	token_id	n_nonremission_cells	n_remission_cells	random_mean_shift_to_remission_cosine	random_sd_shift_to_remission_cosine	random_mean_projection_to_remission	n_nonremission_cells_with_token	mean_shift_to_remission_cosine	mean_projection_to_remission	mean_embedding_delta_norm	cosine_shift_z_vs_random	projection_minus_random	interpretation	support_flag	strong_support_flag
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	PRKDC	ENSG00000253729	18628	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	3	1.7285346984863281e-06	0.0070191933773458	0.2545519173145294	0.0308612466047205	-0.008838037471933704	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	BLK	ENSG00000136573	7195	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	0						token_not_detected_in_selected_nonremission_cells	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	FYN	ENSG00000010810	274	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	0						token_not_detected_in_selected_nonremission_cells	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	SRC	ENSG00000197122	16407	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	8	3.6619603633880615e-05	0.021604500710964203	0.3229472041130066	0.0996221609779181	0.005747269861684699	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	True	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	MAPK14	ENSG00000112062	3960	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	0						token_not_detected_in_selected_nonremission_cells	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	JAK1	ENSG00000162434	10566	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	2	1.7940998077392578e-05	0.08339209854602814	0.327051043510437	0.06281165225837798	0.06753486769674863	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	JAK2	ENSG00000096968	2058	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	2	0.00018155574798583984	-0.03230595216155052	0.24160441756248474	0.38525232696164924	-0.04816318301083003	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	SYK	ENSG00000165025	11314	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	3	0.00019778807472903281	0.031217725947499275	0.3492124080657959	0.41724187796489204	0.015360495098219771	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	True	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	GSK3B	ENSG00000082701	1571	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	0						token_not_detected_in_selected_nonremission_cells	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	RGS14	ENSG00000169220	12316	36	36	-1.3931261168585884e-05	0.0005074259010871228	0.015857230849279504	0						token_not_detected_in_selected_nonremission_cells	False	False
