route	source	query	count	top_hits	status	mode	url	raw_path
CD300_family_modulation	cached_Wave32C_PubMed	"(CD300A OR CD300F OR CD300LF OR CD300E OR ""CD300 family"") AND (autoimmune OR ""multiple sclerosis"" OR lupus OR colitis OR psoriasis OR rheumatoid)"	26	38677094: CD300e: Emerging role and mechanism as an immune-activating receptor. | 19592130: The CD300 molecules regulate monocyte and dendritic cell functions. | 25980030: The Biology and Disease Relevance of CD300a, an Inhibitory Receptor for Phosphatidylserine and Phosphatidylethanolamine. | 37033950: CD300b regulates intestinal inflammation and promotes repair in colitis. | 26259611: CD300f immunoreceptor contributes to peripheral nerve regeneration by the modulation of macrophage inflammatory phenotype.		cached_prior_wave		
CD300_family_modulation	cached_Wave32C_PubMed	(CD300A OR CD300F OR CD300LF) AND (agonist OR antibody OR phosphatidylserine OR ceramide OR efferocytosis OR macrophage)	145	37864797: CD300f immune receptor contributes to healthy aging by regulating inflammaging, metabolism, and cognitive decline. | 40705472: Immunoreceptor CD300a regulates ischemic tissue damage and adverse remodeling in the mouse heart and kidney. | 28073916: Ceramide-CD300f Binding Inhibits Lipopolysaccharide-induced Skin Inflammation. | 39368806: Universal protection of allogeneic T-cell therapies from natural killer cells via CD300a agonism. | 40935207: CD300f enables microglial damage sensing, efferocytosis, and apoptotic cell metabolization after brain injury.		cached_prior_wave		
CD300_family_modulation	cached_Wave32C_EuropePMC	CD300F autoimmune efferocytosis macrophage	42	41126210: Efferocytosis: the art of cellular clearance and novel perspectives in disease therapy. [] | 41403915: Efferocytosis in Health and Disease. [] | 41608581: Targeting efferocytosis for tissue regeneration: From microenvironment reprogramming to clinical translation. [] | 40310290: Phosphatidylserine-binding receptor, CD300f, on macrophages mediates host invasion of pathogenic and non-pathogenic rickettsiae. [] | 41717712: Polydopamine-Encapsulated Probiotics Restore Gut Homeostasis and Reinstate Macrophage Efferocytosis in Systemic Lupus Erythematosus. []		cached_prior_wave		
CD300_family_modulation	cached_Wave32C_EuropePMC	CD300A CD300F antibody autoimmune disease	39	40507267: CD300a: An Innate Immune Checkpoint Shaping Tumor Immunity and Therapeutic Opportunity. [] | 41020590: Viral apoptotic mimicry and the role of phosphatidylserine receptors. [] | 41368640: Mast cell metabolism in cancer: an underexplored frontier demanding more attention. [] | 40563506: The Role of LAIR1 as a Regulatory Receptor of Antitumor Immune Cell Responses and Tumor Cell Growth and Expansion. [] | 37033950: CD300b regulates intestinal inflammation and promotes repair in colitis. []		cached_prior_wave		
CD300_family_modulation	cached_Wave32C_ClinicalTrials.gov	CD300 autoimmune	0			cached_prior_wave		
CD300_family_modulation	cached_Wave32C_ClinicalTrials.gov	CD300F antibody	0			cached_prior_wave		
CD300_family_modulation	cached_Wave32C_ClinicalTrials.gov	CD300A antibody	0			cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_PubMed	"(FPR2 OR ALX OR resolvin OR ""lipoxin A4"" OR annexin A1) AND (""multiple sclerosis"" OR EAE OR autoimmune OR colitis OR arthritis OR psoriasis)"	545	28900017: Omega-3 fatty acids and inflammatory processes: from molecules to man. | 35499059: Extracellular vesicles-mediated interaction within intestinal microenvironment in inflammatory bowel disease. | 29757195: Resolvins in inflammation: emergence of the pro-resolving superfamily of mediators. | 37994307: Enhancement of efferocytosis through biased FPR2 signaling attenuates intestinal inflammation. | 25149823: Marine omega-3 fatty acids and inflammatory processes: Effects, mechanisms and clinical relevance.		cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_PubMed	"(""specialized pro-resolving mediator"" OR resolvin OR maresin OR protectin) AND (autoimmune OR ""multiple sclerosis"" OR colitis OR arthritis)"	335	28900017: Omega-3 fatty acids and inflammatory processes: from molecules to man. | 29757195: Resolvins in inflammation: emergence of the pro-resolving superfamily of mediators. | 25149823: Marine omega-3 fatty acids and inflammatory processes: Effects, mechanisms and clinical relevance. | 22765297: Omega-3 polyunsaturated fatty acids and inflammatory processes: nutrition or pharmacology? | 38176897: ATP citrate lyase (ACLY)-dependent immunometabolism in mucosal T cells drives experimental colitis in vivo.		cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_EuropePMC	FPR2 agonist autoimmune colitis arthritis multiple sclerosis	52	41205263: Resolution Pharmacology: State-of-the-art and therapeutic landscape. [] | 40733247: Bioactive Compounds as Modulators of N-Formyl Peptide Signaling in Chronic Diseases. [] | 41588161: Mitochondria as Inducers of Neutrophil Extracellular Traps. [] | 41459510: Macrophage polarization: molecular mechanisms, disease implications, and targeted therapeutic strategies. [] | 40406415: Molecular dynamics of inflammation resolution: therapeutic implications. []		cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_EuropePMC	specialized pro-resolving mediator autoimmune disease clinical trial	1064	41978837: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. [] | 41486400: Pro-resolving lipid mediators in diseases: exploring the molecular basis and clinical implication. [] | 41596068: Specialized Pro-Resolving Lipid Mediators and Dietary Omega-3/6 Fatty Acids in Selected Inflammatory Skin Diseases: A Systematic Review. [] | PMC13082970: The role of ALOX15 in inflammation-related diseases [] | 41451243: Inflammation-resolution signalling in cardiac repair, remodelling, and heart failure. []		cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_ClinicalTrials.gov	resolvin autoimmune	1	NCT05834855: Non-inferiority Study of Rituximab Compared to Ocrelizumab in Relapsing MS | RECRUITING | Multiple Sclerosis; Multiple Sclerosis, Relapsing-Remitting; Demyelinating Autoimmune Diseases, CNS | ['PHASE3']		cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_ClinicalTrials.gov	FPR2 agonist	0			cached_prior_wave		
specialized_pro_resolving_mediator_FPR2_axis	cached_Wave32C_ClinicalTrials.gov	annexin A1 autoimmune	0			cached_prior_wave		
FPR2_ANXA1_BIASED_RESOLUTION	EuropePMC	"""FPR2"" ""biased agonist"" efferocytosis autoimmune"	9	41205263: Resolution Pharmacology: State-of-the-art and therapeutic landscape. (2025) | 41608581: Targeting efferocytosis for tissue regeneration: From microenvironment reprogramming to clinical translation. (2026) | 41993634: Advancements in nanomedicine for the therapeutic regulation of efferocytosis: opportunities and challenges. (2026) | 40862723: Lipoxins as Modulators of Diseases. (2025) | 40040696: The role of efferocytosis in inflammatory bowel disease. (2025)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FPR2%22+%22biased+agonist%22+efferocytosis+autoimmune&format=json&pageSize=5&resultType=lite	results_v3/wave48_resolution_reopener_audit/raw_api/europepmc__FPR2_biased_agonist_efferocytosis_autoimmune.json
FPR2_ANXA1_BIASED_RESOLUTION	EuropePMC	"""annexin A1"" FPR2 autoimmune multiple sclerosis EAE"	20	41486400: Pro-resolving lipid mediators in diseases: exploring the molecular basis and clinical implication. (2026) | 40862723: Lipoxins as Modulators of Diseases. (2025) | 40406415: Molecular dynamics of inflammation resolution: therapeutic implications. (2025) | 39651728: Inflammaging and Immunosenescence in the Post-COVID Era: Small Molecules, Big Challenges. (2025) | 35146757: Annexin-A1: The culprit or the solution? (2022)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22annexin+A1%22+FPR2+autoimmune+multiple+sclerosis+EAE&format=json&pageSize=5&resultType=lite	results_v3/wave48_resolution_reopener_audit/raw_api/europepmc__annexin_A1_FPR2_autoimmune_multiple_sclerosis_EAE.json
FPR2_ANXA1_BIASED_RESOLUTION	EuropePMC	"""resolvin D1"" ""multiple sclerosis"" EAE FPR2"	18	41486400: Pro-resolving lipid mediators in diseases: exploring the molecular basis and clinical implication. (2026) | 41035295: NLRP3 inflammasome: a key driver of neuroinflammation and a novel therapeutic target for neuropathic pain. (2025) | 40406415: Molecular dynamics of inflammation resolution: therapeutic implications. (2025) | 35956787: Specialized Pro-Resolving Mediators in Neuroinflammation: Overview of Studies and Perspectives of Clinical Applications. (2022) | 32495237: Specialized Pro-Resolving Lipid Mediators: Emerging Therapeutic Candidates for Multiple Sclerosis. (2021)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22resolvin+D1%22+%22multiple+sclerosis%22+EAE+FPR2&format=json&pageSize=5&resultType=lite	results_v3/wave48_resolution_reopener_audit/raw_api/europepmc__resolvin_D1_multiple_sclerosis_EAE_FPR2.json
CD300_RECEPTOR_SPECIFIC_TUNING	EuropePMC	CD300A CD300F CD300LF autoimmune efferocytosis macrophage	3	41020590: Viral apoptotic mimicry and the role of phosphatidylserine receptors. (2025) | 36389786: Differential regulation of Type 1 and Type 2 mouse eosinophil activation by apoptotic cells. (2022) | 26287597: Phagocytosis of apoptotic cells in homeostasis. (2015)	200	cache	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=CD300A+CD300F+CD300LF+autoimmune+efferocytosis+macrophage&format=json&pageSize=5&resultType=lite	results_v3/wave48_resolution_reopener_audit/raw_api/europepmc_CD300A_CD300F_CD300LF_autoimmune_efferocytosis_macrophage.json
