gene	target_chembl_id	pref_name	target_type	organism	accession
CTSH	CHEMBL2225	Pro-cathepsin H	SINGLE PROTEIN	Homo sapiens	P09668
CTSS	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	Homo sapiens	P25774
CTSB	CHEMBL4072	Cathepsin B	SINGLE PROTEIN	Homo sapiens	P07858
CTSL	CHEMBL3837	Procathepsin L	SINGLE PROTEIN	Homo sapiens	P07711
CTSC	CHEMBL2252	Dipeptidyl peptidase 1/cathepsin C	SINGLE PROTEIN	Homo sapiens	P53634
CTSZ	CHEMBL4160	Cathepsin Z	SINGLE PROTEIN	Homo sapiens	Q9UBR2
