molecule_chembl_id	CTSH_best_nM	CTSS_best_nM	CTSS_over_CTSH_ratio	CTSB_best_nM	CTSB_over_CTSH_ratio	CTSL_best_nM	CTSL_over_CTSH_ratio	CTSC_best_nM	CTSC_over_CTSH_ratio	CTSZ_best_nM	CTSZ_over_CTSH_ratio	n_comparators_assayed	min_comparator_over_CTSH_ratio	median_comparator_over_CTSH_ratio	has_10x_margin_over_all_assayed_comparators	has_100x_margin_over_all_assayed_comparators	CTSH_activity_types	CTSH_documents	canonical_smiles	pref_name	max_phase	molecule_type	mw_freebase	alogp	hba	hbd	psa	num_ro5_violations
CHEMBL114161	40.0			460.0	11.5	740.0	18.5					2	11.5	15.0	True	False	IC50	CHEMBL1138109	CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1			Small molecule	277.36	3.10	3.0	1.0	55.40	0.0
CHEMBL567341	125.89	15.85	0.12590356660576693	10715.19	85.11549765668441	117.49	0.9332750814202875	34.67	0.2753991579950751	933.25	7.413217888632934	5	0.12590356660576693	0.9332750814202875	False	False	IC50	CHEMBL1156759	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21			Small molecule	300.27	2.74	6.0	1.0	79.42	0.0
CHEMBL374508	190.0	7.0	0.03684210526315789	4.6	0.02421052631578947	2.3	0.012105263157894735	770.0	4.052631578947368			4	0.012105263157894735	0.03052631578947368	False	False	IC50	CHEMBL1156470	CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N	E-64		Small molecule	357.41	-1.46	5.0	5.0	172.43	0.0
CHEMBL567134	645.65	104.71	0.16217765042979942			562.34	0.8709672423139473	588.84	0.912011151552699	316.23	0.4897854874932239	4	0.16217765042979942	0.6803763649035857	False	False	IC50	CHEMBL1156759	CCNc1nc(C#N)nc2c1ncn2-c1cc(F)cc(F)c1			Small molecule	300.27	2.40	6.0	1.0	79.42	0.0
CHEMBL390474	2653.0	16.0	0.00603090840557859	1.0	0.0003769317753486619	22.0	0.008292499057670561	18.0	0.006784771956275914			4	0.0003769317753486619	0.006407840180927252	False	False	IC50	CHEMBL1144593	Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C			Small molecule	247.29	2.28	3.0	0.0	38.77	0.0
CHEMBL230474	6591.0	17.0	0.002579274768623881	5.0	0.0007586102260658474	26.0	0.0039447731755424065	29.0	0.004399939311181915			4	0.0007586102260658474	0.0032620239720831438	False	False	IC50	CHEMBL1144593	O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1			Small molecule	219.24	1.66	3.0	0.0	38.77	0.0
CHEMBL567893	10000.0	10000.0	1.0	10000.0	1.0			10000.0	1.0	10000.0	1.0	4	1.0	1.0	False	False	IC50	CHEMBL1156023	COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O	GRASSYSTATIN A		Small molecule	1174.44					
CHEMBL568171	16218.1	5623.41	0.3467366707567471	10000.0	0.6165950388763172	204.17	0.012589020908737767			3162.28	0.19498461595378005	4	0.012589020908737767	0.27086064335526355	False	False	IC50	CHEMBL1156759	N#Cc1nc(Nc2cc(F)cc(F)c2)nc(NC2CCCC2)n1			Small molecule	316.32	3.12	6.0	2.0	86.52	0.0
CHEMBL5848986	110.0	9980.0	90.72727272727273	485.0	4.409090909090909	700.0	6.363636363636363					3	4.409090909090909	6.363636363636363	False	False	IC50	CHEMBL5727839,CHEMBL5729097	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F				404.40	2.99	4.0	2.0	81.42	0.0
CHEMBL514348	137.0	5.5	0.040145985401459854	1100.0	8.02919708029197			70.0	0.5109489051094891			3	0.040145985401459854	0.5109489051094891	False	False	Ki	CHEMBL1140981	CCC[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1			Small molecule	400.54	3.22	4.0	2.0	89.26	0.0
