axis_family	disease_name	analysis	compartment	module	passes_basic_residual_controls	raw_delta	raw_p	n_covariates_tested	n_covariates_residual_nominal_positive	n_covariates_residual_fdr_lt_0_10	all_covariate_residual_p_le_0_10	all_residual_deltas_positive	median_residual_hedges_g	min_residual_p	max_residual_p	covariates_tested
C1Q_COMPLEMENT	Crohn disease	ibd_crohn_myeloid	colon myeloid	c1q_phagolysosomal	False	-0.018519451229074314	0.8535021056516939	5	0	0	False	False	-0.4687247299256633	0.24376009666448883	0.670308778719227	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
C1Q_COMPLEMENT	Sjogren syndrome	sjogren_gland_apc	salivary gland APC	c1q_core	False	-0.008700723754768824	0.9411780839850492	5	0	0	False	False	0.08288851160405607	0.4949403829427321	0.970943075323654	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
C1Q_COMPLEMENT	multiple sclerosis	GSE111972_all	all microglia	c1q_phagolysosomal	False	-0.24446547611976935	0.2474458764500905	5	0	0	False	False	-0.47518856934871034	0.06427808908231132	0.24648368749447347	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
C1Q_COMPLEMENT	psoriasis	psoriasis_skin_apc	skin APC	c1q_phagolysosomal	False	0.06519720318351727	0.7236841514624407	5	0	0	False	False	0.26599405525353126	0.16462420183166615	0.7895506534241968	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
C1Q_COMPLEMENT	ulcerative colitis	ibd_uc_myeloid	colon myeloid	c1q_phagolysosomal	False	0.021978526646769966	0.7844703754376555	5	0	0	False	False	-0.24443907444882385	0.32775187362954505	0.9592644633910482	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	Crohn disease	ibd_crohn_epithelial	colon epithelial	osm_osmr_core	True	0.16545169269271143	3.0199452361777326e-05	5	4	1	False	True	1.4121213478418446	0.00019544897786409433	0.14861413005622642	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	Sjogren syndrome	sjogren_gland_apc	salivary gland APC	osm_ligand_inflammatory	False	-0.00014716677421547364	0.9982966174247317	5	0	0	False	False	0.053820479047246315	0.6262853756875434	0.9209091473199115	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	multiple sclerosis	GSE111972_grey_matter	grey matter microglia	osm_osmr_core	False	0.14890692990577614	0.5458861065859265	5	0	0	False	False	0.32900480557368655	0.24048721843423476	0.9020715120840564	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	psoriasis	psoriasis_keratinocyte	skin keratinocyte	osmr_receptor_response	False	0.1076438063153112	0.4132593776031348	5	1	0	False	True	0.45048198563646696	0.03213983442982749	0.8537505656034824	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	type 1 diabetes mellitus	t1d_ductal_cell	pancreatic ductal cell	osmr_receptor_response	True	0.36774845612339285	0.02806514168721159	5	3	0	False	True	1.2021422097639232	0.03217285028468041	0.8534582989692333	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
OSM_OSMR	ulcerative colitis	ibd_uc_epithelial	colon epithelial	osm_osmr_core	True	0.1546089880331638	0.0014446335204546519	5	3	2	False	True	1.1174290087413672	0.000267653300785864	0.6030225434577353	hif_nampt_metabolic,ifn_apc,inflammatory_nfkb,lipid_loader_repair,lysosomal_apc
