analysis	module	n_genes_present	genes_present	status	path
ibd_crohn_myeloid	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	c1q_core	3	C1QA,C1QB,C1QC	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	c1q_phagolysosomal	12	C1QA,C1QB,C1QC,C3,C3AR1,C5AR1,TYROBP,TREM2,APOE,CD68,CSF1R,CX3CR1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_crohn_myeloid	lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	osm_ligand_inflammatory	7	OSM,IL1B,TNF,CSF2,CCL2,CXCL8,NFKBIA	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	osmr_receptor_response	11	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CXCL1,CXCL2,CXCL8,CCL2,SERPINE1	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
ibd_uc_myeloid	osm_osmr_core	6	OSM,OSMR,IL6ST,LIFR,STAT3,SOCS3	completed	data/raw_v3/cell_state/ibd_human_10x.h5ad
