lead	truth	pathology	severity	cohorts	existing_guarded_clean_pass_rate	calibrated_guarded_clean_pass_rate	existing_batch_flag_rate	calibrated_batch_flag_rate
postpartum_apc_arm	planted	batch_response_correlated	0.0	90	0.8444444444444444	0.9111111111111111	0.15555555555555556	0.08888888888888889
postpartum_apc_arm	planted	batch_response_correlated	0.25	90	0.43333333333333335	0.45555555555555555	0.5666666666666667	0.5444444444444444
postpartum_apc_arm	planted	batch_response_correlated	0.5	90	0.1111111111111111	0.1111111111111111	0.8888888888888888	0.8888888888888888
postpartum_apc_arm	planted	batch_response_correlated	0.75	90	0.0	0.0	1.0	1.0
postpartum_apc_arm	planted	batch_response_correlated	1.0	90	0.0	0.0	1.0	1.0
postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.0	90	0.8444444444444444	0.9111111111111111	0.15555555555555556	0.08888888888888889
postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.25	90	0.6777777777777778	0.7222222222222222	0.32222222222222224	0.2777777777777778
postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.5	90	0.2222222222222222	0.2222222222222222	0.7777777777777778	0.7777777777777778
postpartum_apc_arm	planted	combined_steroid_dmt_batch	0.75	90	0.022222222222222223	0.022222222222222223	0.9777777777777777	0.9777777777777777
postpartum_apc_arm	planted	combined_steroid_dmt_batch	1.0	90	0.0	0.0	1.0	1.0
postpartum_apc_arm	planted	dmt_restart_imbalance	0.0	90	0.8777777777777778	0.9333333333333333	0.12222222222222222	0.06666666666666667
postpartum_apc_arm	planted	dmt_restart_imbalance	0.25	90	0.8555555555555555	0.8888888888888888	0.14444444444444443	0.1111111111111111
postpartum_apc_arm	planted	dmt_restart_imbalance	0.5	90	0.8888888888888888	0.9333333333333333	0.1111111111111111	0.06666666666666667
postpartum_apc_arm	planted	dmt_restart_imbalance	0.75	90	0.8222222222222222	0.9	0.17777777777777778	0.1
postpartum_apc_arm	planted	dmt_restart_imbalance	1.0	90	0.8111111111111111	0.8888888888888888	0.18888888888888888	0.1111111111111111
postpartum_apc_arm	planted	missing_postpartum_timepoint	0.0	90	0.7888888888888889	0.8666666666666667	0.2111111111111111	0.13333333333333333
postpartum_apc_arm	planted	missing_postpartum_timepoint	0.25	90	0.8555555555555555	0.9	0.14444444444444443	0.1
postpartum_apc_arm	planted	missing_postpartum_timepoint	0.5	90	0.8444444444444444	0.9555555555555556	0.15555555555555556	0.044444444444444446
postpartum_apc_arm	planted	missing_postpartum_timepoint	0.75	90	0.7777777777777778	0.8666666666666667	0.2222222222222222	0.13333333333333333
postpartum_apc_arm	planted	missing_postpartum_timepoint	1.0	90	0.7222222222222222	0.8111111111111111	0.2777777777777778	0.18888888888888888
postpartum_apc_arm	planted	module_coverage_loss	0.0	90	0.8555555555555555	0.9111111111111111	0.14444444444444443	0.08888888888888889
postpartum_apc_arm	planted	module_coverage_loss	0.25	90	0.7666666666666667	0.8444444444444444	0.23333333333333334	0.15555555555555556
postpartum_apc_arm	planted	module_coverage_loss	0.5	90	0.9	0.9333333333333333	0.1	0.06666666666666667
postpartum_apc_arm	planted	module_coverage_loss	0.75	90	0.0	0.0	0.14444444444444443	0.05555555555555555
postpartum_apc_arm	planted	module_coverage_loss	1.0	90	0.0	0.0	0.18888888888888888	0.1
postpartum_apc_arm	planted	steroid_response_correlated	0.0	90	0.9111111111111111	0.9444444444444444	0.08888888888888889	0.05555555555555555
